Track Name,spotify_id,Artist,Streams,Danceability,Valence,Energy
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,15032815.0,0.825,0.931,0.652
Believer,0CcQNd8CINkwQfe1RDtGV6,Imagine Dragons,7907824.0,0.779,0.708,0.787
Something Just Like This,6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,6557188.0,0.617,0.446,0.635
Thunder,0tKcYR2II1VCQWT79i5NrW,Imagine Dragons,6224326.0,0.6,0.298,0.81
It Ain't Me (with Selena Gomez),3eR23VReFzcdmS7TYCrhCe,Kygo,6108059.0,0.64,0.515,0.533
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3NdDpSvN911VPGivFlV5d0,ZAYN,6032724.0,0.735,0.0862,0.451
Symphony (feat. Zara Larsson),1x5sYLZiu9r5E43kMlt9f8,Clean Bandit,5339612.0,0.707,0.457,0.629
Attention,4iLqG9SeJSnt0cSPICSjxv,Charlie Puth,5275498.0,0.774,0.777,0.626
There's Nothing Holdin' Me Back,79cuOz3SPQTuFrp8WgftAu,Shawn Mendes,5145854.0,0.857,0.966,0.8
Galway Girl,0afhq8XCExXpqazXczTSve,Ed Sheeran,5035253.0,0.624,0.781,0.876
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,Luis Fonsi,4945509.0,0.694,0.813,0.815
Despacito (Featuring Daddy Yankee),4aWmUDTfIPGksMNLV2rQP2,Luis Fonsi,4694021.0,0.66,0.846,0.786
New Rules,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,4593478.0,0.762,0.608,0.7
Swalla (feat. Nicki Minaj & Ty Dolla $ign),6kex4EBAj0WHXDKZMEJaaF,Jason Derulo,4515892.0,0.696,0.782,0.817
Castle on the Hill,6PCUP3dWmTjcTtXY02oFdT,Ed Sheeran,4515844.0,0.461,0.471,0.834
Stay (with Alessia Cara),0dA2Mk56wEzDgegdC6R17g,Zedd,4477000.0,0.679,0.498,0.634
