Track Name,spotify_id,Artist,Streams,Danceability,Valence,Energy
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,8117922.0,0.825,0.931,0.652
Despacito (Featuring Daddy Yankee),4aWmUDTfIPGksMNLV2rQP2,Luis Fonsi,6078227.0,0.66,0.846,0.786
HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,3635103.0,0.908,0.421,0.621
Something Just Like This,6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,3617308.0,0.617,0.446,0.635
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3NdDpSvN911VPGivFlV5d0,ZAYN,3496596.0,0.735,0.0862,0.451
Attention,4iLqG9SeJSnt0cSPICSjxv,Charlie Puth,3473913.0,0.774,0.777,0.626
Unforgettable,3B54sVLJ402zGa6Xm4YGNe,French Montana,3378930.0,0.726,0.733,0.769
Believer,0CcQNd8CINkwQfe1RDtGV6,Imagine Dragons,3334598.0,0.779,0.708,0.787
Congratulations,3a1lNhkSLSkpJE4MSHpDu9,Post Malone,3333958.0,0.63,0.492,0.804
Felices los 4,0qYTZCo5Bwh1nsUFGZP3zn,Maluma,3296934.0,0.755,0.737,0.789
Swalla (feat. Nicki Minaj & Ty Dolla $ign),6kex4EBAj0WHXDKZMEJaaF,Jason Derulo,3264041.0,0.696,0.782,0.817
Paris,72jbDTw1piOOj770jWNeaG,The Chainsmokers,3201976.0,0.653,0.219,0.658
Mi Gente,2rb5MvYT7ZIxbKW5hfcHx8,J Balvin,3183115.0,0.543,0.294,0.677
New Rules,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,3152816.0,0.762,0.608,0.7
Scared to Be Lonely,3ebXMykcMXOcLeJ9xZ17XH,Martin Garrix,3117069.0,0.584,0.195,0.54
It Ain't Me (with Selena Gomez),3eR23VReFzcdmS7TYCrhCe,Kygo,2981901.0,0.64,0.515,0.533
Starboy,5aAx2yezTd8zXrkmtKl66Z,The Weeknd,2921965.0,0.681,0.535,0.594
Wild Thoughts (feat. Rihanna & Bryson Tiller),1OAh8uOEOvTDqkKFsKksCi,DJ Khaled,2905625.0,0.671,0.632,0.672
1-800-273-8255,5tz69p7tJuGPeMGwNTxYuV,Logic,2867836.0,0.62,0.357,0.574
There's Nothing Holdin' Me Back,79cuOz3SPQTuFrp8WgftAu,Shawn Mendes,2783648.0,0.857,0.966,0.8
I Feel It Coming,5GXAXm5YOmYT0kL5jHvYBt,The Weeknd,2782229.0,0.773,0.585,0.819
Me Rehúso,6De0lHrwBfPfrhorm9q1Xl,Danny Ocean,2780169.0,0.744,0.426,0.804
Rockabye (feat. Sean Paul & Anne-Marie),5knuzwU65gJK7IF5yJsuaW,Clean Bandit,2759091.0,0.72,0.742,0.763
Thunder,0tKcYR2II1VCQWT79i5NrW,Imagine Dragons,2751121.0,0.6,0.298,0.81
Olha a Explosão,6m2LNopVJKsvBB9l7Z1rwn,MC Kevinho,2748320.0,0.774,0.388,0.611
2U (feat. Justin Bieber),3A7qX2QjDlPnazUsRk5y0M,David Guetta,2704741.0,0.548,0.557,0.65
