Track Name,spotify_id,Artist,Streams,Danceability,Valence,Energy
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,59445132.0,0.825,0.931,0.652
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,Luis Fonsi,46409938.0,0.694,0.813,0.815
Something Just Like This,6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,32322579.0,0.617,0.446,0.635
It Ain't Me (with Selena Gomez),3eR23VReFzcdmS7TYCrhCe,Kygo,29502871.0,0.64,0.515,0.533
Symphony (feat. Zara Larsson),1x5sYLZiu9r5E43kMlt9f8,Clean Bandit,29171954.0,0.707,0.457,0.629
Jag trodde änglarna fanns,3qy7P1Vr6eGIwHP9DCUHwK,Kamferdrops,27242199.0,0.642,0.593,0.893
Perfect,0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,25711725.0,0.599,0.168,0.448
All I Need,6vBgJ1SLmpB4VMcEVy1ovL,Joakim Lundell,25026157.0,0.698,0.473,0.833
Helt seriöst,7shcnBgfWJ6AT7jmvAw4xO,Kaliffa,24788408.0,0.624,0.611,0.647
Solo Dance,6HUnnBwYZqcED1eQztxMBN,Martin Jensen,24175596.0,0.744,0.36,0.836
Without You (feat. Sandro Cavazza),6WbADFqMvR8N5u0BvtsWQE,Avicii,23910653.0,0.652,0.279,0.855
Castle on the Hill,6PCUP3dWmTjcTtXY02oFdT,Ed Sheeran,23741822.0,0.461,0.471,0.834
Galway Girl,0afhq8XCExXpqazXczTSve,Ed Sheeran,23627063.0,0.624,0.781,0.876
Scared to Be Lonely,3ebXMykcMXOcLeJ9xZ17XH,Martin Garrix,22531671.0,0.584,0.195,0.54
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3NdDpSvN911VPGivFlV5d0,ZAYN,21572096.0,0.735,0.0862,0.451
Thunder,0tKcYR2II1VCQWT79i5NrW,Imagine Dragons,21345112.0,0.6,0.298,0.81
"How Far I'll Go - From ""Moana""",5hYTyyh2odQKphUbMqc5gN,Alessia Cara,21085656.0,0.314,0.159,0.555
Tårarna i halsen,3QKxz43voebR2NmdKxHQg0,Tjuvjakt,19775087.0,0.776,0.692,0.541
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",3DXncPQOG4VBw3QHh3S817,DJ Khaled,19405366.0,0.609,0.811,0.668
Pretty Girl - Cheat Codes X CADE Remix,1NDxZ7cFAo481dtYWdrUnR,Maggie Lindemann,19356517.0,0.703,0.733,0.868
Dusk Till Dawn - Radio Edit,1j4kHkkpqZRBwE0A4CN4Yv,ZAYN,19307255.0,0.258,0.0967,0.437
Silence,7vGuf3Y35N4wmASOKLUVVU,Marshmello,18953988.0,0.52,0.286,0.761
Paris,72jbDTw1piOOj770jWNeaG,The Chainsmokers,18557361.0,0.653,0.219,0.658
Despacito (Featuring Daddy Yankee),4aWmUDTfIPGksMNLV2rQP2,Luis Fonsi,18550947.0,0.66,0.846,0.786
rockstar,7wGoVu4Dady5GV0Sv4UIsx,Post Malone,18333909.0,0.577,0.119,0.522
1-800-273-8255,5tz69p7tJuGPeMGwNTxYuV,Logic,17929349.0,0.62,0.357,0.574
2U (feat. Justin Bieber),3A7qX2QjDlPnazUsRk5y0M,David Guetta,17922268.0,0.548,0.557,0.65
Rockabye (feat. Sean Paul & Anne-Marie),5knuzwU65gJK7IF5yJsuaW,Clean Bandit,17872149.0,0.72,0.742,0.763
