Track Name,spotify_id,Artist,Streams,Danceability,Valence,Energy
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,1187409.0,0.825,0.931,0.652
Something Just Like This,6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,686081.0,0.617,0.446,0.635
Thunder,0tKcYR2II1VCQWT79i5NrW,Imagine Dragons,685989.0,0.6,0.298,0.81
Believer,0CcQNd8CINkwQfe1RDtGV6,Imagine Dragons,666420.0,0.779,0.708,0.787
It Ain't Me (with Selena Gomez),3eR23VReFzcdmS7TYCrhCe,Kygo,639650.0,0.64,0.515,0.533
Havana,0ofbQMrRDsUaVKq2mGLEAb,Camila Cabello,500362.0,0.768,0.418,0.517
There's Nothing Holdin' Me Back,79cuOz3SPQTuFrp8WgftAu,Shawn Mendes,486860.0,0.857,0.966,0.8
New Rules,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,471981.0,0.762,0.608,0.7
Symphony (feat. Zara Larsson),1x5sYLZiu9r5E43kMlt9f8,Clean Bandit,468272.0,0.707,0.457,0.629
Galway Girl,0afhq8XCExXpqazXczTSve,Ed Sheeran,466949.0,0.624,0.781,0.876
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3NdDpSvN911VPGivFlV5d0,ZAYN,466321.0,0.735,0.0862,0.451
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,Luis Fonsi,466011.0,0.694,0.813,0.815
Scared to Be Lonely,3ebXMykcMXOcLeJ9xZ17XH,Martin Garrix,460473.0,0.584,0.195,0.54
Paris,72jbDTw1piOOj770jWNeaG,The Chainsmokers,449272.0,0.653,0.219,0.658
Stay (with Alessia Cara),0dA2Mk56wEzDgegdC6R17g,Zedd,444742.0,0.679,0.498,0.634
More Than You Know,3PEgB3fkiojxms35ntsTgs,Axwell /\ Ingrosso,442623.0,0.644,0.544,0.743
Despacito (Featuring Daddy Yankee),4aWmUDTfIPGksMNLV2rQP2,Luis Fonsi,442148.0,0.66,0.846,0.786
Perfect,0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,416083.0,0.599,0.168,0.448
Solo Dance,6HUnnBwYZqcED1eQztxMBN,Martin Jensen,412203.0,0.744,0.36,0.836
Attention,4iLqG9SeJSnt0cSPICSjxv,Charlie Puth,411195.0,0.774,0.777,0.626
rockstar,7wGoVu4Dady5GV0Sv4UIsx,Post Malone,400107.0,0.577,0.119,0.522
Call On Me - Ryan Riback Extended Remix,78rIJddV4X0HkNAInEcYde,Starley,391759.0,0.67,0.717,0.838
Mi Gente,2rb5MvYT7ZIxbKW5hfcHx8,J Balvin,391159.0,0.543,0.294,0.677
2U (feat. Justin Bieber),3A7qX2QjDlPnazUsRk5y0M,David Guetta,390256.0,0.548,0.557,0.65
HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,378952.0,0.908,0.421,0.621
I Like Me Better,1wjzFQodRWrPcQ0AnYnvQ9,Lauv,378865.0,0.752,0.419,0.505
