Track Name,spotify_id,Artist,Streams,Danceability,Valence,Energy
Me Rehúso,6De0lHrwBfPfrhorm9q1Xl,Danny Ocean,1908760.0,0.744,0.426,0.804
Despacito (Featuring Daddy Yankee),4aWmUDTfIPGksMNLV2rQP2,Luis Fonsi,1628768.0,0.66,0.846,0.786
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,1474335.0,0.825,0.931,0.652
"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",5q2JbCNi4FcnglgPfxcV65,Anuel AA,1288262.0,0.639,0.767,0.869
Ahora Dice,22eADXu8DfOAUEDw4vU8qy,Chris Jedi,1121652.0,0.708,0.427,0.693
Felices los 4,0qYTZCo5Bwh1nsUFGZP3zn,Maluma,1118743.0,0.755,0.737,0.789
Escápate Conmigo,2cnKEkpVUSV4wnjQiTWfH6,Wisin,1101428.0,0.747,0.754,0.864
Otra vez (feat. J Balvin),3QwBODjSEzelZyVjxPOHdq,Zion & Lennox,1065761.0,0.832,0.704,0.772
El Amante,3umS4y3uQDkqekNjVpiRUs,Nicky Jam,979534.0,0.683,0.732,0.691
Una Lady Como Tú,7MHN1aCFtLXjownGhvEQlF,Manuel Turizo,974179.0,0.788,0.86,0.477
Mi Gente,2rb5MvYT7ZIxbKW5hfcHx8,J Balvin,950352.0,0.543,0.294,0.677
Sigo Extrañándote,6qDF4wWL49CAVbgT7yuHl8,J Balvin,936057.0,0.889,0.922,0.853
Reggaetón Lento (Bailemos),3AEZUABDXNtecAOSC1qTfo,CNCO,898191.0,0.761,0.71,0.838
"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",2FrnTVSHjgnEylKGdHRUK1,Ozuna,857387.0,0.805,0.307,0.582
La Rompe Corazones,4okba5wu9mMLXx79DXLKi3,Daddy Yankee,852081.0,0.685,0.891,0.859
Bonita,693iqPOQvhI7PobtR8CC8v,J Balvin,831433.0,0.782,0.884,0.868
Hey DJ,209gZgcfLq2aUuu51vOWBl,CNCO,779342.0,0.792,0.433,0.819
Mayores,7JNh1cfm0eXjqFVOzKLyau,Becky G,759393.0,0.743,0.871,0.855
Me llamas (feat. Maluma) - Remix,5hEM0JchdVzQ5PwvSfITeX,Piso 21,723705.0,0.76,0.745,0.838
Something Just Like This,6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,699843.0,0.617,0.446,0.635
Closer,7BKLCZ1jbUBVqRi2FVlTVw,The Chainsmokers,673597.0,0.748,0.661,0.524
Chantaje (feat. Maluma),6mICuAdrwEjh6Y6lroV2Kg,Shakira,673195.0,0.852,0.907,0.773
Let Me Love You,4pdPtRcBmOSQDlJ3Fk945m,DJ Snake,653397.0,0.476,0.142,0.718
Safari,6rQSrBHf7HlZjtcMZ4S4bO,J Balvin,653011.0,0.508,0.555,0.687
Soy Peor,5MT96Zz0ymUJNm8obKZQr0,Bad Bunny,652830.0,0.732,0.143,0.605
Si Tu Novio Te Deja Sola,0RFFFGtPn6a58RHY3ccVYX,J Balvin,612695.0,0.716,0.535,0.461
It Ain't Me (with Selena Gomez),3eR23VReFzcdmS7TYCrhCe,Kygo,602362.0,0.64,0.515,0.533
Vacaciones,3dQDid3IUNhZy1OehIfYfE,Wisin,591834.0,0.772,0.694,0.909
Scared to Be Lonely,3ebXMykcMXOcLeJ9xZ17XH,Martin Garrix,590076.0,0.584,0.195,0.54
That's What I Like,0KKkJNfGyhkQ5aFogxQAPU,Bruno Mars,575447.0,0.853,0.86,0.56
Paris,72jbDTw1piOOj770jWNeaG,The Chainsmokers,572386.0,0.653,0.219,0.658
SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),7nKBxz47S9SD79N086fuhn,Enrique Iglesias,567731.0,0.684,0.647,0.823
I Feel It Coming,5GXAXm5YOmYT0kL5jHvYBt,The Weeknd,566887.0,0.773,0.585,0.819
Báilame,7lRsNbdOGykkMAgsqs4R1C,Nacho,565702.0,0.817,0.561,0.869
Báilame - Remix,3VClLWqNn80Llv0PJOsKgr,Nacho,559233.0,0.791,0.71,0.866
Se Preparó,1m69ELEgE6k5ZWsap40ozt,Ozuna,555609.0,0.739,0.693,0.821
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3NdDpSvN911VPGivFlV5d0,ZAYN,555423.0,0.735,0.0862,0.451
"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",6stYbAJgTszHAHZMPxWWCY,IAmChino,536751.0,0.761,0.813,0.829
Te Quiero Pa´Mi,3BY2mafsbsoKGqS380Xnuz,Don Omar,533677.0,0.761,0.619,0.82
Rockabye (feat. Sean Paul & Anne-Marie),5knuzwU65gJK7IF5yJsuaW,Clean Bandit,522983.0,0.72,0.742,0.763
Si Tú La Ves (feat. Wisin),4yN6xPLopmTLvc27pO9LIE,Nicky Jam,522554.0,0.685,0.786,0.731
Traicionera,5J1c3M4EldCfNxXwrwt8mT,Sebastian Yatra,504990.0,0.776,0.661,0.669
Que Va,7ofxPmTNMj2GP07g1VZa0O,Alex Sensation,504383.0,0.771,0.817,0.835
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,Luis Fonsi,503263.0,0.694,0.813,0.815
