Track Name,spotify_id,Artist,Streams,Danceability,Valence,Energy
Despacito (Featuring Daddy Yankee),4aWmUDTfIPGksMNLV2rQP2,Luis Fonsi,3428318.0,0.66,0.846,0.786
Me Rehúso,6De0lHrwBfPfrhorm9q1Xl,Danny Ocean,2808433.0,0.744,0.426,0.804
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,2610908.0,0.825,0.931,0.652
Felices los 4,0qYTZCo5Bwh1nsUFGZP3zn,Maluma,2312236.0,0.755,0.737,0.789
El Amante,3umS4y3uQDkqekNjVpiRUs,Nicky Jam,2157353.0,0.683,0.732,0.691
Ahora Dice,22eADXu8DfOAUEDw4vU8qy,Chris Jedi,1995304.0,0.708,0.427,0.693
La Rompe Corazones,4okba5wu9mMLXx79DXLKi3,Daddy Yankee,1959360.0,0.685,0.891,0.859
Otra vez (feat. J Balvin),3QwBODjSEzelZyVjxPOHdq,Zion & Lennox,1945883.0,0.832,0.704,0.772
Reggaetón Lento (Bailemos),3AEZUABDXNtecAOSC1qTfo,CNCO,1878009.0,0.761,0.71,0.838
Escápate Conmigo,2cnKEkpVUSV4wnjQiTWfH6,Wisin,1849212.0,0.747,0.754,0.864
Hey DJ,209gZgcfLq2aUuu51vOWBl,CNCO,1826071.0,0.792,0.433,0.819
Mayores,7JNh1cfm0eXjqFVOzKLyau,Becky G,1767766.0,0.743,0.871,0.855
"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",5q2JbCNi4FcnglgPfxcV65,Anuel AA,1762248.0,0.639,0.767,0.869
Me llamas (feat. Maluma) - Remix,5hEM0JchdVzQ5PwvSfITeX,Piso 21,1756423.0,0.76,0.745,0.838
Mi Gente,2rb5MvYT7ZIxbKW5hfcHx8,J Balvin,1751501.0,0.543,0.294,0.677
Bonita,693iqPOQvhI7PobtR8CC8v,J Balvin,1699672.0,0.782,0.884,0.868
Cuando Se Pone a Bailar,1MpKZi1zTXpERKwxmOu1PH,Rombai,1684301.0,0.588,0.937,0.682
Piel a Piel,2q3B7GLCEA4uYvuo2g5P82,Dame 5,1676122.0,0.771,0.433,0.906
Sigo Extrañándote,6qDF4wWL49CAVbgT7yuHl8,J Balvin,1548637.0,0.889,0.922,0.853
SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),7nKBxz47S9SD79N086fuhn,Enrique Iglesias,1537400.0,0.684,0.647,0.823
Chantaje (feat. Maluma),6mICuAdrwEjh6Y6lroV2Kg,Shakira,1522349.0,0.852,0.907,0.773
Se Preparó,1m69ELEgE6k5ZWsap40ozt,Ozuna,1445467.0,0.739,0.693,0.821
Si Tú La Ves (feat. Wisin),4yN6xPLopmTLvc27pO9LIE,Nicky Jam,1395031.0,0.685,0.786,0.731
Te Quiero Pa´Mi,3BY2mafsbsoKGqS380Xnuz,Don Omar,1377196.0,0.761,0.619,0.82
Vacaciones,3dQDid3IUNhZy1OehIfYfE,Wisin,1369996.0,0.772,0.694,0.909
Báilame - Remix,3VClLWqNn80Llv0PJOsKgr,Nacho,1343405.0,0.791,0.71,0.866
Traicionera,5J1c3M4EldCfNxXwrwt8mT,Sebastian Yatra,1343038.0,0.776,0.661,0.669
Olha a Explosão,6m2LNopVJKsvBB9l7Z1rwn,MC Kevinho,1333588.0,0.774,0.388,0.611
Amor para un Rato,47EEKhimMiDtUfYNR5Ii58,Olvidate!,1318555.0,0.767,0.785,0.82
Safari,6rQSrBHf7HlZjtcMZ4S4bO,J Balvin,1315340.0,0.508,0.555,0.687
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,Luis Fonsi,1289799.0,0.694,0.813,0.815
Que Va,7ofxPmTNMj2GP07g1VZa0O,Alex Sensation,1284935.0,0.771,0.817,0.835
Una Lady Como Tú,7MHN1aCFtLXjownGhvEQlF,Manuel Turizo,1179232.0,0.788,0.86,0.477
Alguien Robo,5i50gKdLAjjIr7UxRT5IVy,Sebastian Yatra,1164616.0,0.745,0.651,0.921
Suena El Dembow,5TysCiZtv1HnSWcTcUFusI,Joey Montana,1137179.0,0.688,0.695,0.859
Vente Pa' Ca (feat. Maluma),7DM4BPaS7uofFul3ywMe46,Ricky Martin,1132699.0,0.663,0.533,0.92
Gyal You A Party Animal - Remix,1AkTW13ysu0AJrwuM6UY0I,Charly Black,1096357.0,0.723,0.701,0.889
Loco Enamorado,4N1c5rmWOzRmB9SMacr5wB,Abraham Mateo,1085505.0,0.69,0.731,0.872
Báilame,7lRsNbdOGykkMAgsqs4R1C,Nacho,1083511.0,0.817,0.561,0.869
"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",6stYbAJgTszHAHZMPxWWCY,IAmChino,1071638.0,0.761,0.813,0.829
Carnavalintro,0tGAPnTFwRJA6FZgYZ0BAe,CHANO,1067676.0,0.608,0.8,0.859
Una y Otra Vez,3VSt7R9LHTomKGP1RhkvuT,Rombai,1054454.0,0.685,0.892,0.799
Besándote,13X0XdLMOdtbXVtAj2ox4h,Piso 21,1054376.0,0.724,0.496,0.809
Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version,2Vdub5mY4lad7w64bFPUez,Pitbull,1033521.0,0.489,0.518,0.962
Rockabye (feat. Sean Paul & Anne-Marie),5knuzwU65gJK7IF5yJsuaW,Clean Bandit,1002187.0,0.72,0.742,0.763
Criminal,2SmgFAhQkQCQPyBiBxR6Te,Natti Natasha,995415.0,0.816,0.822,0.806
Me Enamoré,4qknM1pQz53QOyfDVTjcM9,Shakira,984391.0,0.74,0.948,0.879
Bella y Sensual,0ERbK7qVqveCaBWIiYCrl3,Romeo Santos,972626.0,0.635,0.749,0.713
Andas En Mi Cabeza,5mey7CLLuFToM2P68Qu1gF,Chino & Nacho,952185.0,0.68,0.521,0.954
Lumbra,6VHdcVbiKLYYOcMbIqBcuK,Cali Y El Dandee,898654.0,0.724,0.835,0.84
