Track Name,spotify_id,Artist,Streams
Better Now,7dt6x5M1jzdTEt8oCbisTK,Post Malone,36578384.0
Be Alright,3EPXxR3ImUwfayaurPi3cm,Dean Lewis,34999416.0
Eastside (with Halsey & Khalid),0d2iYfpKoM0QCKvcLCkBao,benny blanco,31985422.0
Love Lies (with Normani),45Egmo7icyopuzJN0oMEdk,Khalid,31853021.0
I Fall Apart,75ZvA4QfFiZvzhj2xkaWAh,Post Malone,31461215.0
God's Plan,2XW4DbS6NddZxRPm5rMCeY,Drake,31117749.0
Youngblood,2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,30405793.0
SAD!,3ee8Jmje8o58CHK66QrVC2,XXXTENTACION,29269201.0
Girls Like You (feat. Cardi B),7fa9MBXhVfQ8P8Df9OEbD8,Maroon 5,26702420.0
IDGAF,76cy1WJvNGJTj78UqeA5zr,Dua Lipa,24971620.0
lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,Billie Eilish,24964883.0
Taste (feat. Offset),5IaHrVsrferBYDm0bDyABy,Tyga,24888371.0
In My Feelings,2G7V7zsVDxg1yRsu7Ew9RJ,Drake,23999747.0
One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,Calvin Harris,23551606.0
Happier,2dpaYNEQHiRxtZbfNsse99,Marshmello,23145165.0
Nevermind,63SevszngYpZOwf63o61K4,Dennis Lloyd,22454544.0
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",5CLGzJsGqhCEECcpnFQA8x,Rudimental,22326705.0
Shotgun,4ofwffwvvnbSkrMSCKQDaC,George Ezra,22090969.0
I Like It,58q2HKrzhC3ozto2nDdN4z,Cardi B,21858648.0
Psycho (feat. Ty Dolla $ign),3swc6WTsr7rl9DqQKQA55C,Post Malone,21231928.0
Jocelyn Flores,7m9OqQk4RVRkw9JJdeAw96,XXXTENTACION,21202300.0
All The Stars (with SZA),3GCdLUSnKSMJhs4Tj6CV3s,Kendrick Lamar,20865139.0
FRIENDS,08bNPGLD8AhKpnnERrAc6G,Marshmello,20797149.0
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,20296068.0
SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,Travis Scott,20076247.0
Jackie Chan,4kWO6O1BUXcZmaxitpVUwp,Tiësto,20063402.0
Ocean (feat. Khalid),3nc420PXjTdBV5TN0gCFkS,Martin Garrix,19311679.0
Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W,Camila Cabello,19182188.0
High Hopes,1rqqCSm0Qe4I9rUvWncaom,Panic! At The Disco,19013862.0
Look Alive (feat. Drake),4qKcDkK6siZ7Jp1Jb4m0aL,BlocBoy JB,18545009.0
Silence,7vGuf3Y35N4wmASOKLUVVU,Marshmello,18442275.0
Young Dumb & Broke,5Z3GHaZ6ec9bsiI5BenrbY,Khalid,18212076.0
Fire,3BZkEOJwKUYRlkLWZB1izC,Peking Duk,18175266.0
Rise,3u1S1OmAUhx5DRlLrXqyp3,Jonas Blue,18095896.0
Lucid Dreams,0s3nnoMeVWz3989MkNQiRf,Juice WRLD,18071590.0
OTW,6Hgh47WXVKtXN5zGOu0hjI,Khalid,17799866.0
Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK,Portugal. The Man,17790001.0
rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt,Post Malone,17773813.0
Go Bang,6PKxFkewPt55P5ao5tVS5o,PNAU,17747429.0
Meant to Be (feat. Florida Georgia Line),7iDa6hUg2VgEL1o1HjmfBn,Bebe Rexha,17730630.0
Moonlight,0JP9xo3adEtGSdUEISiszL,XXXTENTACION,17472856.0
Never Be the Same,4eWQlBRaTjPPUlzacqEeoQ,Camila Cabello,16714815.0
Promises (with Sam Smith),5N5k9nd479b1xpDZ4usjrg,Calvin Harris,16671226.0
Without Me,5p7ujcrUXASCNwRaWNHR1C,Halsey,16654698.0
Freaky Friday (feat. Chris Brown),10Igtw8bSDyyFs7KIsKngZ,Lil Dicky,16559145.0
River (feat. Ed Sheeran),5UEnHoDYpsxlfzWLZIc7LD,Eminem,16547392.0
In My Mind,0E9ZjEAyAwOXZ7wJC0PD33,Dynoro,16478083.0
Call Out My Name,1gm616Plq4ScqNi7TVkZ5N,The Weeknd,16436121.0
"thank u, next",2rPE9A1vEgShuZxxzR2tZH,Ariana Grande,16337415.0
Nice For What,1cTZMwcBJT0Ka3UJPXOeeN,Drake,16204956.0
