Track Name,spotify_id,Artist,Streams
I Like It,58q2HKrzhC3ozto2nDdN4z,Cardi B,410507
One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,Calvin Harris,354000
SAD!,3ee8Jmje8o58CHK66QrVC2,XXXTENTACION,350259
Taste (feat. Offset),5IaHrVsrferBYDm0bDyABy,Tyga,343605
Better Now,7dt6x5M1jzdTEt8oCbisTK,Post Malone,341959
FRIENDS,08bNPGLD8AhKpnnERrAc6G,Marshmello,334101
IDGAF,76cy1WJvNGJTj78UqeA5zr,Dua Lipa,326410
SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,Travis Scott,325470
God's Plan,2XW4DbS6NddZxRPm5rMCeY,Drake,318864
Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W,Camila Cabello,314385
In My Feelings,2G7V7zsVDxg1yRsu7Ew9RJ,Drake,309136
Look Alive (feat. Drake),4qKcDkK6siZ7Jp1Jb4m0aL,BlocBoy JB,304073
rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt,Post Malone,302978
Nevermind,63SevszngYpZOwf63o61K4,Dennis Lloyd,302603
Чужди усмивки,7a4QHep3kxvGT9ZcP0z0G5,ToTo H,284172
Him & I (with Halsey),5k38wzpLb15YgncyWdTZE4,G-Eazy,283814
Solo (feat. Demi Lovato),6kPJZM97LwdG9QIsT7khp6,Clean Bandit,275011
Call Out My Name,1gm616Plq4ScqNi7TVkZ5N,The Weeknd,273585
Praise The Lord (Da Shine) (feat. Skepta),7ycWLEP1GsNjVvcjawXz3z,A$AP Rocky,264178
No Limit,2DQ1ITjI0YoLFzuADN1ZBW,G-Eazy,261624
Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK,Portugal. The Man,261270
In My Mind,0E9ZjEAyAwOXZ7wJC0PD33,Dynoro,260849
Moonlight,0JP9xo3adEtGSdUEISiszL,XXXTENTACION,257436
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,237461
Love Lies (with Normani),45Egmo7icyopuzJN0oMEdk,Khalid,236918
FEFE (feat. Nicki Minaj & Murda Beatz),2E124GmJRnBJuXbTb4cPUB,6ix9ine,234775
Ric Flair Drip (& Metro Boomin),7sO5G9EABYOXQKNPNiE9NR,Offset,234422
Lucky You (feat. Joyner Lucas),60SdxE8apGAxMiRrpbmLY0,Eminem,232939
Girls Like You (feat. Cardi B),7fa9MBXhVfQ8P8Df9OEbD8,Maroon 5,230396
Nonstop,0TlLq3lA83rQOYtrqBqSct,Drake,230310
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",4w8niZpiMy6qz1mntFA5uM,DJ Snake,225705
HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,224366
New Rules,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,224103
Walk It Talk It,6n4U3TlzUGhdSFbUUhTvLP,Migos,222724
no tears left to cry,5SxkdsY1ufZzoq9iXceLw9,Ariana Grande,212137
God is a woman,5OCJzvD7sykQEKHH7qAC3C,Ariana Grande,211672
Pray For Me (with Kendrick Lamar),4ofvoCdXq99vpMZO4Cfp8x,The Weeknd,205829
Eastside (with Halsey & Khalid),0d2iYfpKoM0QCKvcLCkBao,benny blanco,202180
Without Me,5p7ujcrUXASCNwRaWNHR1C,Halsey,200243
XO Tour Llif3,7GX5flRQZVHRAGd6B4TmDO,Lil Uzi Vert,194982
Venom - Music From The Motion Picture,2SL6oP2YAEQbqsrkOzRGO4,Eminem,191688
I Love It (& Lil Pump),4S8d14HvHb70ImctNgVzQQ,Kanye West,184524
River (feat. Ed Sheeran),5UEnHoDYpsxlfzWLZIc7LD,Eminem,184470
APESHIT,0E6PsO3ymCfUh7pJQjBgkj,The Carters,183747
lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,Billie Eilish,180652
Unforgettable,3B54sVLJ402zGa6Xm4YGNe,French Montana,179007
"King's Dead (with Kendrick Lamar, Future & James Blake)",51rXHuKN8Loc4sUlKPODgH,Jay Rock,178413
Youngblood,2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,177789
goosebumps,6gBFPUFcJLzWGx4lenP6h2,Travis Scott,173880
Jocelyn Flores,7m9OqQk4RVRkw9JJdeAw96,XXXTENTACION,173332
