Track Name,spotify_id,Artist,Streams
La player (Bandolera),0VKkyBKCXyR99navhVRqcP,Zion & Lennox,13368558.0
No Es Justo,5qFeMRz4TvetPmzjre9Dq7,J Balvin,12334128.0
Te Boté - Remix,3V8UKqhEK5zBkBb6d6ub8i,Nio Garcia,11115053.0
Me Niego (feat. Ozuna & Wisin),6jA8JUuPCGYjFcgw0AoM5T,Reik,10517477.0
X,39N9RPD9MRb5WmoLzNzPeA,Nicky Jam,10470151.0
Esperándote,1nfyE13arjOuO54HH0zmqj,Manuel Turizo,9975720.0
Te Amo,2RVrdr062uLFxXwIxwdXPH,Piso 21,9685738.0
Dembow,2EzRdhuoPyNJDlep7lnNf2,Danny Ocean,8854874.0
Mocca,0NKoPGc72yUKTIneVhFfg1,Lalo Ebratt,8190049.0
Quiero Repetir,0MIcPSq9n2z5H8TAfEstri,Ozuna,7675577.0
Síguelo Bailando,5Y9fnynLlIvqtM710MHzfz,Ozuna,7487161.0
Amantes,3IyPnNX142pvWx6D5CiimD,Greeicy,7478875.0
Sensualidad,5hcisvFMidkMJlElTO9Qmw,Bad Bunny,7402630.0
Dura,2j2fIJGh4PMdXt9ULI5Tlc,Daddy Yankee,7231540.0
Robarte un Beso,0JcNysfWVWaMS7R6vzGB2k,Carlos Vives,7152912.0
Madura (feat. Bad Bunny),0r9d60ZYPAlFHq8qnUtkXN,Cosculluela,7121660.0
Culpables,3RD0PGolM0mETGHaprwgMn,Manuel Turizo,7053036.0
Vaina Loca,48zFZh27QU5qsrBjn4C2FA,Ozuna,6606220.0
Sin Pijama,2ijef6ni2amuunRoKTlgww,Becky G,6601884.0
Criminal,6Za3190Sbw39BBC77WSS1C,Natti Natasha,6460018.0
Por Perro,2alIsNw1mqEShbWyO1HXZZ,Sebastian Yatra,6428031.0
Downtown,3Ga6eKrUFf12ouh9Yw3v2D,Anitta,6414660.0
Déjala Que Vuelva (feat. Manuel Turizo),33bnxcjePIkcmNjEFTJX0l,Piso 21,6351458.0
Amorfoda,3ITvHA9zhZZdBJsOsAUegF,Bad Bunny,6262092.0
Me Rehúso,6De0lHrwBfPfrhorm9q1Xl,Danny Ocean,6121256.0
I Like It,58q2HKrzhC3ozto2nDdN4z,Cardi B,6090299.0
Déjala Que Vuelva (feat. Manuel Turizo),1j6xOGusnyXq3l6IryKF3G,Piso 21,5859046.0
Ambiente,6VrBWh90BiwWmwKtvwWFcq,J Balvin,5848877.0
Bella,3xcCix7Jv1Rp90YVmgo35D,Wolfine,5832039.0
Ya No Tiene Novio,7uQmJ1jgNzBpATSoWKSPFu,Sebastian Yatra,5720851.0
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",4w8niZpiMy6qz1mntFA5uM,DJ Snake,5500022.0
Se Preparó,1m69ELEgE6k5ZWsap40ozt,Ozuna,5430439.0
Mala Mía,62o8KoI44JfN7aYxgTnPvh,Maluma,5322161.0
MIA (feat. Drake),116H0KvKr2Zl4RPuVBruDO,Bad Bunny,5151840.0
Nena Maldicion (feat. Lenny Tavarez),3TnhQSRwT3AVMdXw5JPq0x,Paulo Londra,5124954.0
Cuando Te Besé,2XXMDz7SPZ4mSFN1PXfHUy,Becky G,5119784.0
Quiere Beber,3rPAD722s5FFNnwjC91t7Z,Anuel AA,5071835.0
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,5031975.0
Te Voy a Amar,6G6DiIkasBrTbARK74U7kv,Andrés Cepeda,4858463.0
Solita,7rwX0O3RlxqqIjQM8evm5E,Ozuna,4679200.0
Más Fuerte,10ei7ybZQsu9Zc7RfZFe2Q,Greeicy,4606990.0
PPP,1DcxnVNFAyVl2sDQ646pXS,Kevin Roldan,4593922.0
Calma - Remix,5iwz1NiezX7WWjnCgY5TH4,Pedro Capó,4585343.0
No Hay Nadie Más,6wos8Ds5FKMe33GjBHRake,Sebastian Yatra,4512832.0
No Hay Nadie Más,3IPJg1sdqLj12kFIndaonN,Sebastian Yatra,4508633.0
BEBE,7ATATJztoWLcqDAcVVof0C,6ix9ine,4490026.0
Una Lady Como Tú,7MHN1aCFtLXjownGhvEQlF,Manuel Turizo,4436089.0
Corazón,4lESS6vuruP6a79KWRaQou,Maluma,4268642.0
Bella - Remix,0SaYeGhSXN0dDWstyNTQ56,Wolfine,4259269.0
Justicia,6ipp8Dhs33KinlF4BStgca,Silvestre Dangond,4243795.0
