Track Name,spotify_id,Artist,Streams
I Like It,58q2HKrzhC3ozto2nDdN4z,Cardi B,171945.0
One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,Calvin Harris,152609.0
Better Now,7dt6x5M1jzdTEt8oCbisTK,Post Malone,148353.0
God's Plan,2XW4DbS6NddZxRPm5rMCeY,Drake,148209.0
FRIENDS,08bNPGLD8AhKpnnERrAc6G,Marshmello,147326.0
IDGAF,76cy1WJvNGJTj78UqeA5zr,Dua Lipa,141123.0
SAD!,3ee8Jmje8o58CHK66QrVC2,XXXTENTACION,134644.0
In My Feelings,2G7V7zsVDxg1yRsu7Ew9RJ,Drake,133245.0
Nevermind,63SevszngYpZOwf63o61K4,Dennis Lloyd,129736.0
Taste (feat. Offset),5IaHrVsrferBYDm0bDyABy,Tyga,122796.0
Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W,Camila Cabello,122022.0
Girls Like You (feat. Cardi B),7fa9MBXhVfQ8P8Df9OEbD8,Maroon 5,121003.0
Solo (feat. Demi Lovato),6kPJZM97LwdG9QIsT7khp6,Clean Bandit,113132.0
Love Lies (with Normani),45Egmo7icyopuzJN0oMEdk,Khalid,112278.0
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",5CLGzJsGqhCEECcpnFQA8x,Rudimental,107553.0
Moonlight,0JP9xo3adEtGSdUEISiszL,XXXTENTACION,106172.0
Look Alive (feat. Drake),4qKcDkK6siZ7Jp1Jb4m0aL,BlocBoy JB,105352.0
Jackie Chan,4kWO6O1BUXcZmaxitpVUwp,Tiësto,101213.0
In My Mind,0E9ZjEAyAwOXZ7wJC0PD33,Dynoro,98096.0
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",4w8niZpiMy6qz1mntFA5uM,DJ Snake,97432.0
rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt,Post Malone,94088.0
no tears left to cry,5SxkdsY1ufZzoq9iXceLw9,Ariana Grande,91168.0
Eastside (with Halsey & Khalid),0d2iYfpKoM0QCKvcLCkBao,benny blanco,90237.0
Call Out My Name,1gm616Plq4ScqNi7TVkZ5N,The Weeknd,88687.0
Youngblood,2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,88050.0
SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,Travis Scott,87978.0
Happier,2dpaYNEQHiRxtZbfNsse99,Marshmello,84680.0
River (feat. Ed Sheeran),5UEnHoDYpsxlfzWLZIc7LD,Eminem,84280.0
New Rules,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,84095.0
Silence,7vGuf3Y35N4wmASOKLUVVU,Marshmello,83650.0
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,80178.0
X,39N9RPD9MRb5WmoLzNzPeA,Nicky Jam,79406.0
Be Alright,3EPXxR3ImUwfayaurPi3cm,Dean Lewis,77310.0
lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,Billie Eilish,75663.0
Lucid Dreams,0s3nnoMeVWz3989MkNQiRf,Juice WRLD,75335.0
Ocean (feat. Khalid),3nc420PXjTdBV5TN0gCFkS,Martin Garrix,75222.0
Fuego,4TwWOcvjY1qt3QJvtveAGm,Eleni Foureira,73216.0
Rise,3u1S1OmAUhx5DRlLrXqyp3,Jonas Blue,72849.0
Never Be the Same,4eWQlBRaTjPPUlzacqEeoQ,Camila Cabello,72276.0
I Love It (& Lil Pump),4S8d14HvHb70ImctNgVzQQ,Kanye West,72274.0
Remind Me to Forget,6xTU6B6nFwKKTSZ9ySXS80,Kygo,72131.0
Promises (with Sam Smith),5N5k9nd479b1xpDZ4usjrg,Calvin Harris,70727.0
Unforgettable,3B54sVLJ402zGa6Xm4YGNe,French Montana,69871.0
Lucky You (feat. Joyner Lucas),60SdxE8apGAxMiRrpbmLY0,Eminem,69748.0
Flames,33IOhptvC2Qoy2UhjiHXLV,David Guetta,69518.0
Without Me,5p7ujcrUXASCNwRaWNHR1C,Halsey,68878.0
"thank u, next",2rPE9A1vEgShuZxxzR2tZH,Ariana Grande,68152.0
Perfect,0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,67554.0
changes,7AFASza1mXqntmGtbxXprO,XXXTENTACION,67404.0
Finesse - Remix; feat. Cardi B,3Vo4wInECJQuz9BIBMOu8i,Bruno Mars,66414.0
