Track Name,spotify_id,Artist,Streams
Sin Pijama,2ijef6ni2amuunRoKTlgww,Becky G,53597185.0
Te Boté - Remix,3V8UKqhEK5zBkBb6d6ub8i,Nio Garcia,51181517.0
Me Niego (feat. Ozuna & Wisin),6jA8JUuPCGYjFcgw0AoM5T,Reik,44896934.0
Usted,79HTe42PihWUUq4BDjcuCq,Juan Magán,44667970.0
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",4QtiVmuA88tPQiCOHZuQ5b,Sofia Reyes,43674411.0
Duro y Suave,31M5m42C3EGlbydf9XB5to,Leslie Grace,38967777.0
X,39N9RPD9MRb5WmoLzNzPeA,Nicky Jam,37249411.0
TELÉFONO,5h8VHxOBK1VWWj46T8fSly,Aitana,35423487.0
No Es Justo,5qFeMRz4TvetPmzjre9Dq7,J Balvin,33035506.0
Ni La Hora,1he4G9w0zh5GokInpOSINW,Ana Guerra,32185515.0
Síguelo Bailando,5Y9fnynLlIvqtM710MHzfz,Ozuna,32149242.0
I Like It,58q2HKrzhC3ozto2nDdN4z,Cardi B,30569848.0
La player (Bandolera),0VKkyBKCXyR99navhVRqcP,Zion & Lennox,29289605.0
Vaina Loca,48zFZh27QU5qsrBjn4C2FA,Ozuna,28025715.0
Bien Duro,3joo84oco9CD4dBsKNWRRW,C. Tangana,27515942.0
Déjala Que Baile (with Alejandro Sanz & Arkano),2KK9N6iBAisA0booTu3bGd,Melendi,27426391.0
Madura (feat. Bad Bunny),0r9d60ZYPAlFHq8qnUtkXN,Cosculluela,27215316.0
Dura,2j2fIJGh4PMdXt9ULI5Tlc,Daddy Yankee,26838251.0
La Cintura,19MBk3PbNFE36wqIqkMq9H,Alvaro Soler,26711052.0
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",4w8niZpiMy6qz1mntFA5uM,DJ Snake,26676639.0
Mujeres,6xLvYhLOW2oETJoZv8ChU8,Mozart La Para,26417069.0
EL BAÑO (feat. Bad Bunny),2vvdTrdryjsl8DmPIMDWZU,Enrique Iglesias,26204255.0
Criminal,6Za3190Sbw39BBC77WSS1C,Natti Natasha,26192727.0
Dura - Remix,6U2NuJILEOEpW2tVCuqKHb,Daddy Yankee,25721648.0
Clandestino,7DrluKkTviBwCc8AV3VGmf,Shakira,25353471.0
MIA (feat. Drake),116H0KvKr2Zl4RPuVBruDO,Bad Bunny,24946612.0
FRIENDS,08bNPGLD8AhKpnnERrAc6G,Marshmello,24936020.0
Échame La Culpa,1zsG4eaZmkA1dvjDDsAGLK,Luis Fonsi,24866104.0
Ya No Quiero Ná,2A2Q4CYBcVvBF2OqgJ3OWX,Lola Indigo,24206311.0
Lo Malo,5bhDL4GgUvr5LBrpjqyrte,Aitana,24195894.0
Amorfoda,3ITvHA9zhZZdBJsOsAUegF,Bad Bunny,23932926.0
Cuando Te Besé,2XXMDz7SPZ4mSFN1PXfHUy,Becky G,23916038.0
Dembow,2EzRdhuoPyNJDlep7lnNf2,Danny Ocean,23744622.0
MALAMENTE - Cap.1: Augurio,5zOAudPQIs5U8zP6LQGHmH,ROSALÍA,23516133.0
Downtown,3Ga6eKrUFf12ouh9Yw3v2D,Anitta,22799013.0
One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,Calvin Harris,22775258.0
BEBE,7ATATJztoWLcqDAcVVof0C,6ix9ine,22091752.0
Calypso,4178A5NkEjcsGc64jpBO6d,Luis Fonsi,21057271.0
Asesina,6rbhaJsE4uLzpPf8WYSHDK,Brytiago,20990088.0
Guerrera,3Q6zROQvMXRtR9NYfDpNWL,DELLAFUENTE,20964778.0
Sensualidad,5hcisvFMidkMJlElTO9Qmw,Bad Bunny,20911904.0
Ibiza,1h9P5WJwyvK8OB7O2YiXgp,Ozuna,20735678.0
Adan y Eva,6FyRXC8tJUh863JCkyWqtk,Paulo Londra,20508730.0
Déjate Llevar,3xWEI23MLJrD0dpDcDUTW6,Juan Magán,20419869.0
No Me Acuerdo,00EPIEnX1JFjff8sC6bccd,Thalia,20115560.0
Bella - Remix,0SaYeGhSXN0dDWstyNTQ56,Wolfine,19858715.0
X (feat. Maluma & Ozuna) - Remix,6JjPBQfI2Y8nIjnm65X6Pw,Nicky Jam,19674324.0
Me Rehúso,6De0lHrwBfPfrhorm9q1Xl,Danny Ocean,19419231.0
Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W,Camila Cabello,19324350.0
No Quiero Amarte (feat. Zion & Lennox),5bITfqKGaPakO1l99hOMsI,Justin Quiles,19093230.0
