Track Name,spotify_id,Artist,Streams
Mafiosa (feat. Caroliina),0WxiQqTcK3ZErx2mMWgtm6,Lartiste,33076730.0
Ramenez la coupe à la maison,1m0UFnuTktOkksvjbF9z0m,Vegedream,28234842.0
Djadja,3XfnssSD9HMQ9LhVOJvXTE,Aya Nakamura,25521493.0
La même,7HK0UeyxUWJjc6ndRZVKFg,GIMS,24960417.0
One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,Calvin Harris,24092039.0
Désaccordé,0FYpW0zBO7cht8qGRY41Mz,Vald,23820673.0
Hit Sale (feat. Roméo Elvis),3yndKI4zWEyC36BQYrdKBA,Therapie TAXI,22189906.0
Nevermind,63SevszngYpZOwf63o61K4,Dennis Lloyd,21823121.0
Feu de bois,4L0Iwsk1s8cbdBcEgdm8K5,Damso,21698550.0
Un Poco,3MVTefqbeNX5yHFOmnHy3X,Ninho,21592864.0
SAD!,3ee8Jmje8o58CHK66QrVC2,XXXTENTACION,21252631.0
Ma 6t a craqué (feat. Ninho),2NUIWpL6IsYGkwfSN7basS,Kpoint,20427553.0
Moonlight,0JP9xo3adEtGSdUEISiszL,XXXTENTACION,20419639.0
God's Plan,2XW4DbS6NddZxRPm5rMCeY,Drake,20172229.0
Bob Marley,6L6yn9GeVqnlWX1npp6rAK,Dadju,19795702.0
Smog,1h1wmYG39fp6ZTgwlJ3Cv3,Damso,19286350.0
M.I.L.S 2.0,1qRZfv2ZbAZGPnfbIV3YvD,Ninho,18944571.0
Santana,0G0WC5ghZRRH6LJNNXtK1W,Alonzo,18389262.0
91's,58st6r10Ze6QomHs0BMUA8,PNL,17891834.0
In My Mind,0E9ZjEAyAwOXZ7wJC0PD33,Dynoro,17620713.0
FRIENDS,08bNPGLD8AhKpnnERrAc6G,Marshmello,17560481.0
X,39N9RPD9MRb5WmoLzNzPeA,Nicky Jam,17334145.0
Complètement sonné,4bZOVCf1wiNELuCH34rFDl,KeBlack,16935331.0
Juste pour voir,0JOJx8jx0dWZk33MsvRZrB,S.Pri Noir,16766070.0
Solo (feat. Demi Lovato),6kPJZM97LwdG9QIsT7khp6,Clean Bandit,16477829.0
Jaloux,0QnEGWGECQUPuE3m8L6hdT,Dadju,15958793.0
Fendi,7BtAkqRFQjvOYOq5k5mlCb,Ninho,15902725.0
Lundi,5RQ3ZyfOfJJ2qLKOZTmLiB,Sofiane,15471872.0
Girls Like You (feat. Cardi B),7fa9MBXhVfQ8P8Df9OEbD8,Maroon 5,15435203.0
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,15275703.0
Bad Boy,0N90EmHdOXLnTYDoeLwsmr,Marwa Loud,15145591.0
Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W,Camila Cabello,14778910.0
A l'Ammoniaque,6aH3QgooXRmx8k8jzrSm3V,PNL,14763874.0
Air Max,6qk9lEM6UIxNbAuI0PpOLu,Rim'K,14543365.0
I Like It,58q2HKrzhC3ozto2nDdN4z,Cardi B,14327051.0
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",4w8niZpiMy6qz1mntFA5uM,DJ Snake,14163109.0
Fallait pas,0fACF9oFLE2IOaEyRvRTrL,Marwa Loud,13900879.0
W.L.G,13E2wgUjmdunrlq3Vbxv8T,Niska,13898932.0
Django,14hLSMLJ86sHRklJ62tH58,Dadju,13890354.0
Vai et viens,6dAx0jUY9lnXEtBiK7e2ZZ,Lartiste,13809663.0
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",5CLGzJsGqhCEECcpnFQA8x,Rudimental,13797954.0
Copines,3AZg5nZgMquXJ67KgpngKX,Aya Nakamura,13607541.0
De l'autre côté (feat. Nekfeu),3ldfGgw7IoLHbaqmspX3ME,Ninho,13455555.0
Mwaka Moon,1vVZLmZq8gN8pPCEBLjPvD,Kalash,13331780.0
Bella,0O4XHiuVt3dBaOzSI49BtF,MHD,13270078.0
Luna,55PyQALchJn43CGeN6XHAN,Moha La Squale,13257451.0
"Va Bene - Extrait de la BOF de ""Taxi 5""",7qibGVhkRyQ4kgYwzZu7iG,L'Algérino,13151651.0
Air Max,2XESFfYekQ0mRau2GXjT3E,Rim'K,13101039.0
Habitué,76HlSm9QxyXxpks5HTYS0F,Dosseh,12561247.0
Habitué,5N2IdMvsijo5D0Jl3iz6yu,Dosseh,12366731.0
