Track Name,spotify_id,Artist,Streams
I Like It,58q2HKrzhC3ozto2nDdN4z,Cardi B,976796.0
God's Plan,2XW4DbS6NddZxRPm5rMCeY,Drake,930156.0
In My Feelings,2G7V7zsVDxg1yRsu7Ew9RJ,Drake,846843.0
IDGAF,76cy1WJvNGJTj78UqeA5zr,Dua Lipa,829092.0
SAD!,3ee8Jmje8o58CHK66QrVC2,XXXTENTACION,824439.0
Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W,Camila Cabello,824420.0
One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,Calvin Harris,823779.0
FRIENDS,08bNPGLD8AhKpnnERrAc6G,Marshmello,782148.0
Better Now,7dt6x5M1jzdTEt8oCbisTK,Post Malone,738671.0
Look Alive (feat. Drake),4qKcDkK6siZ7Jp1Jb4m0aL,BlocBoy JB,733194.0
Call Out My Name,1gm616Plq4ScqNi7TVkZ5N,The Weeknd,708196.0
Taste (feat. Offset),5IaHrVsrferBYDm0bDyABy,Tyga,688008.0
SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,Travis Scott,680433.0
Nevermind,63SevszngYpZOwf63o61K4,Dennis Lloyd,677097.0
Moonlight,0JP9xo3adEtGSdUEISiszL,XXXTENTACION,606863.0
Girls Like You (feat. Cardi B),7fa9MBXhVfQ8P8Df9OEbD8,Maroon 5,593471.0
rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt,Post Malone,590970.0
Solo (feat. Demi Lovato),6kPJZM97LwdG9QIsT7khp6,Clean Bandit,569686.0
no tears left to cry,5SxkdsY1ufZzoq9iXceLw9,Ariana Grande,563700.0
New Rules,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,544535.0
Love Lies (with Normani),45Egmo7icyopuzJN0oMEdk,Khalid,543503.0
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",4w8niZpiMy6qz1mntFA5uM,DJ Snake,507173.0
In My Mind,0E9ZjEAyAwOXZ7wJC0PD33,Dynoro,494528.0
Ric Flair Drip (& Metro Boomin),7sO5G9EABYOXQKNPNiE9NR,Offset,484778.0
FEFE (feat. Nicki Minaj & Murda Beatz),2E124GmJRnBJuXbTb4cPUB,6ix9ine,474663.0
Dusk Till Dawn - Radio Edit,1j4kHkkpqZRBwE0A4CN4Yv,ZAYN,469913.0
Nonstop,0TlLq3lA83rQOYtrqBqSct,Drake,469814.0
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,466179.0
lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,Billie Eilish,455831.0
River (feat. Ed Sheeran),5UEnHoDYpsxlfzWLZIc7LD,Eminem,453623.0
Walk It Talk It,6n4U3TlzUGhdSFbUUhTvLP,Migos,451601.0
HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,445587.0
No Limit,2DQ1ITjI0YoLFzuADN1ZBW,G-Eazy,445428.0
Him & I (with Halsey),5k38wzpLb15YgncyWdTZE4,G-Eazy,443789.0
Jackie Chan,4kWO6O1BUXcZmaxitpVUwp,Tiësto,438962.0
Eastside (with Halsey & Khalid),0d2iYfpKoM0QCKvcLCkBao,benny blanco,422273.0
Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK,Portugal. The Man,419296.0
Youngblood,2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,417851.0
Praise The Lord (Da Shine) (feat. Skepta),7ycWLEP1GsNjVvcjawXz3z,A$AP Rocky,413027.0
XO Tour Llif3,7GX5flRQZVHRAGd6B4TmDO,Lil Uzi Vert,406505.0
Unforgettable,3B54sVLJ402zGa6Xm4YGNe,French Montana,404178.0
Medusa,4dZsxlUWfHgpmIKIGQy9kR,SNIK,403522.0
Without Me,5p7ujcrUXASCNwRaWNHR1C,Halsey,403182.0
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",5CLGzJsGqhCEECcpnFQA8x,Rudimental,403070.0
breathin,4OafepJy2teCjYJbvFE60J,Ariana Grande,397258.0
Pray For Me (with Kendrick Lamar),4ofvoCdXq99vpMZO4Cfp8x,The Weeknd,396405.0
Fuego,4TwWOcvjY1qt3QJvtveAGm,Eleni Foureira,395498.0
X,39N9RPD9MRb5WmoLzNzPeA,Nicky Jam,387716.0
Flames,33IOhptvC2Qoy2UhjiHXLV,David Guetta,387040.0
Never Be the Same,4eWQlBRaTjPPUlzacqEeoQ,Camila Cabello,384732.0
