Track Name,spotify_id,Artist,Streams
Te Boté - Remix,3V8UKqhEK5zBkBb6d6ub8i,Nio Garcia,2788073.0
La player (Bandolera),0VKkyBKCXyR99navhVRqcP,Zion & Lennox,2743953.0
Me Niego (feat. Ozuna & Wisin),6jA8JUuPCGYjFcgw0AoM5T,Reik,2503093.0
X,39N9RPD9MRb5WmoLzNzPeA,Nicky Jam,2465595.0
Dembow,2EzRdhuoPyNJDlep7lnNf2,Danny Ocean,2046587.0
No Es Justo,5qFeMRz4TvetPmzjre9Dq7,J Balvin,1975926.0
Síguelo Bailando,5Y9fnynLlIvqtM710MHzfz,Ozuna,1938733.0
Sensualidad,5hcisvFMidkMJlElTO9Qmw,Bad Bunny,1835334.0
Dura,2j2fIJGh4PMdXt9ULI5Tlc,Daddy Yankee,1808530.0
Sin Pijama,2ijef6ni2amuunRoKTlgww,Becky G,1751115.0
Te Amo,2RVrdr062uLFxXwIxwdXPH,Piso 21,1726242.0
Déjala Que Vuelva (feat. Manuel Turizo),33bnxcjePIkcmNjEFTJX0l,Piso 21,1704829.0
Criminal,6Za3190Sbw39BBC77WSS1C,Natti Natasha,1693128.0
Esperándote,1nfyE13arjOuO54HH0zmqj,Manuel Turizo,1678902.0
Amorfoda,3ITvHA9zhZZdBJsOsAUegF,Bad Bunny,1665935.0
Por Perro,2alIsNw1mqEShbWyO1HXZZ,Sebastian Yatra,1655803.0
Quiero Repetir,0MIcPSq9n2z5H8TAfEstri,Ozuna,1643219.0
Solita,7rwX0O3RlxqqIjQM8evm5E,Ozuna,1578003.0
Vaina Loca,48zFZh27QU5qsrBjn4C2FA,Ozuna,1541889.0
Bella,3xcCix7Jv1Rp90YVmgo35D,Wolfine,1483082.0
Nena Maldicion (feat. Lenny Tavarez),3TnhQSRwT3AVMdXw5JPq0x,Paulo Londra,1482093.0
Me Rehúso,6De0lHrwBfPfrhorm9q1Xl,Danny Ocean,1457944.0
Se Preparó,1m69ELEgE6k5ZWsap40ozt,Ozuna,1415236.0
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",4QtiVmuA88tPQiCOHZuQ5b,Sofia Reyes,1368233.0
MIA (feat. Drake),116H0KvKr2Zl4RPuVBruDO,Bad Bunny,1363780.0
Quiere Beber,3rPAD722s5FFNnwjC91t7Z,Anuel AA,1344386.0
Cuando Te Besé,2XXMDz7SPZ4mSFN1PXfHUy,Becky G,1344080.0
Downtown,3Ga6eKrUFf12ouh9Yw3v2D,Anitta,1334623.0
Madura (feat. Bad Bunny),0r9d60ZYPAlFHq8qnUtkXN,Cosculluela,1306456.0
I Like It,58q2HKrzhC3ozto2nDdN4z,Cardi B,1306108.0
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",4w8niZpiMy6qz1mntFA5uM,DJ Snake,1301774.0
Dura - Remix,6U2NuJILEOEpW2tVCuqKHb,Daddy Yankee,1236647.0
Déjala Que Vuelva (feat. Manuel Turizo),1j6xOGusnyXq3l6IryKF3G,Piso 21,1213263.0
Robarte un Beso,0JcNysfWVWaMS7R6vzGB2k,Carlos Vives,1211832.0
El Farsante - Remix,7uYgVgRSgqluZclLS7wpp4,Ozuna,1153746.0
Escápate Conmigo (feat. Ozuna),1KSqYYJFyfTecXFk9M0prc,Wisin,1091930.0
Corazón,4lESS6vuruP6a79KWRaQou,Maluma,1060080.0
EL BAÑO (feat. Bad Bunny),2vvdTrdryjsl8DmPIMDWZU,Enrique Iglesias,1049181.0
Loca Remix,2CRbiMK0W14l71SpDKqKZM,KHEA,1033716.0
"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",5q2JbCNi4FcnglgPfxcV65,Anuel AA,1033414.0
Mala Mía,62o8KoI44JfN7aYxgTnPvh,Maluma,1002991.0
Bella y Sensual,0ERbK7qVqveCaBWIiYCrl3,Romeo Santos,1000064.0
To My Love - Tainy Remix,5LciLoxa1gK70yIUeoHgRx,Bomba Estéreo,970113.0
Una Lady Como Tú,7MHN1aCFtLXjownGhvEQlF,Manuel Turizo,957799.0
Calma - Remix,5iwz1NiezX7WWjnCgY5TH4,Pedro Capó,956813.0
Bella,4R55IUi2x7S5ek2SpebOiE,Wolfine,952203.0
One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,Calvin Harris,948623.0
Hipócrita,6XBjCetHKdO5L9cwMDVffw,Anuel AA,935228.0
IDGAF,76cy1WJvNGJTj78UqeA5zr,Dua Lipa,932910.0
Clandestino,7DrluKkTviBwCc8AV3VGmf,Shakira,932795.0
