Track Name,spotify_id,Artist,Streams
FRIENDS,08bNPGLD8AhKpnnERrAc6G,Marshmello,14696542.0
Girls Like You (feat. Cardi B),7fa9MBXhVfQ8P8Df9OEbD8,Maroon 5,14631987.0
IDGAF,76cy1WJvNGJTj78UqeA5zr,Dua Lipa,14452375.0
Best Part (feat. Daniel Caesar),4OBZT9EnhYIV17t4pGw7ig,H.E.R.,14279984.0
DDU-DU DDU-DU - KR Ver.,2CWnuF7ht55Ajyeg4WPvWu,BLACKPINK,14240784.0
Dengan Caraku,6zZMfagNj5Nr8rSdJ9KLqq,Arsy Widianto,13574611.0
Teman Bahagia,0KeK6xqEcTT1VWhHf5iw2d,Jaz,13556536.0
"Zona Nyaman (From ""Filosofi Kopi 2: Ben & Jody"")",4lfAvFv8roumWVKXhHF8uN,Fourtwnty,11917311.0
Perfect,0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,11833081.0
Jangan,0hXshgMyFiHVNlnSzMikGn,Marion Jola,11346793.0
"Menunggu Kamu - From ""Jelita Sejuba"" soundtrack",648Hbyb56YTzT8bBEp6wMp,Anji,10904457.0
Remaja,1SaQZoFXNu7ZAxxKImzFgf,Hivi!,10599417.0
Too Good At Goodbyes,1mXVgsBdtIVeCLJnSnmtdV,Sam Smith,10029345.0
2002,2BgEsaKNfHUdlh97KmvFyo,Anne-Marie,9959098.0
Dan...,1MdjZzEInrmDBXf8zs0nKS,Sheila On 7,9732672.0
Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W,Camila Cabello,9711417.0
Berpisah Itu Mudah,52AWJPKuELTY9TjwHzXuhl,Rizky Febian,9641626.0
You Are The Reason,69vToJ9BMbbLlFZo7k7A7B,Calum Scott,9621110.0
Pupus,4za8UJq7JI99ilRYQXVrkm,Hanin Dhiya,9619421.0
All Falls Down (feat. Juliander),5yFSF6qQA1rcLsQRnBsZgb,Alan Walker,9615477.0
Let Me,7Fg342AJtNsIDdwCfX0paC,ZAYN,9449308.0
Rewrite The Stars,630sXRhIcfwr2e4RdNtjKN,Zac Efron,8788316.0
Muara,4lCtZZktwgQqzCoJxK3ZxR,Adera,8676979.0
SOLO,2wVDWtLKXunswWecARNILj,JENNIE,8532843.0
Can't Take My Eyes Off You,4mf6HE25CkxeezcdWyfUGO,Joseph Vincent,8468527.0
Happy Now,4keoy2fqgwGnbWlm3ZVZFa,Zedd,8447009.0
Kangen,5LqanqJSmZwbwPtIi2RwTb,Dewa 19,8208527.0
Kecewa,1sDfnkQge4Nmkp8sgLgH1i,Bunga Citra Lestari,8202133.0
Film Favorit,2BCYKFDWnZi9PMkZiemQh1,Sheila On 7,8045171.0
Untuk Perempuan Yang Sedang Di Pelukan,0urpBLpcm6DOGzs86rcKd8,Payung Teduh,7971232.0
LOVE SCENARIO,6qAzAmPBUpGrk7XADZHR5k,iKON,7957020.0
Tentang Rindu,5bG0Nj8pt4fM8LTG9PiWmu,Virzha,7878535.0
I'm a Mess,04ZTP5KsCypmtCmQg5tH9R,Bebe Rexha,7867075.0
Heaven,3gBFAvpAVSNohs3ESRMYHi,Isyana Sarasvati,7701564.0
The Middle,2ARqIya5NAuvFVHSN3bL0m,Zedd,7689523.0
One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,Calvin Harris,7631257.0
Jealous,4L2K7JKseFCBoHMZEAszW0,Labrinth,7504467.0
Dusk Till Dawn - Radio Edit,1j4kHkkpqZRBwE0A4CN4Yv,ZAYN,7207670.0
Wolves,7EmGUiUaOSGDnUUQUDrOXC,Selena Gomez,7126815.0
Sweet Talk,5KTWREZTovnyIsWx09bxps,Sheryl Sheinafia,7126601.0
You,4ilwLEDlMXGEVmMAAEJavA,Ten2Five,7111691.0
Untitled,1i9iliTpiPLizleapSg37I,MALIQ & D'Essentials,7033032.0
New Rules,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,7016178.0
In My Feelings,2G7V7zsVDxg1yRsu7Ew9RJ,Drake,7008482.0
Solo (feat. Demi Lovato),6kPJZM97LwdG9QIsT7khp6,Clean Bandit,6914301.0
Manusia Bodoh,408TyH9YoTkH9J0Da9Ue8C,Ada Band,6820767.0
Cinta Dan Rahasia,4HXUMRdT6s6Am6YHcWmuib,Yura Yunita,6797826.0
Akad,3AAAGS7iM1ekDywqdYMJG2,Payung Teduh,6720295.0
Kiss and Make Up,13hvHEstJ4sNbzdroPrPI3,Dua Lipa,6713288.0
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,6614257.0
