Track Name,spotify_id,Artist,Streams
Tesla (feat. Sfera Ebbasta & DrefGold),093RgZ7RXHZwIrxZhZYX4Q,Capo Plaza,58216849.0
Cupido (feat. Quavo),0dLToDou8YHYJpQltj3Ijy,Sfera Ebbasta,54483961.0
Davide (feat. Coez),1Lq5ApqhIWUXzlryFX2K6J,Gemitaiz,47703914.0
Nera,6Lc0La3OwOmAouQjbID4uX,Irama,44793951.0
Rockstar,3js3wKPw8VxBWtcXtwyUnA,Sfera Ebbasta,44206928.0
Sciroppo (feat. DrefGold),4VVG3HBGaqSNZqIpmewIA6,Sfera Ebbasta,42964391.0
Amore e Capoeira,5Vwqy3CS2aCB6jcgm1qWfk,Takagi & Ketra,42564456.0
Peace & Love,4BGmYEDOK1swwoxTtfmVZD,Charlie Charles,41023942.0
Italiana,0ptaq4BSl6jrXfGyLzJjYE,J-AX,40818339.0
Malibu,08AN0HMXNr3DGGDCOWsTAw,Vegas Jones,40146526.0
Ricchi x Sempre,0kHTkvGavvk2MjBTSUtOZx,Sfera Ebbasta,35993593.0
Fotografia (feat. Francesca Michielin & Fabri Fibra),3fw3W15QK6a9UxJGgndtYu,Carl Brave,34872562.0
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",5CLGzJsGqhCEECcpnFQA8x,Rudimental,32318943.0
X,39N9RPD9MRb5WmoLzNzPeA,Nicky Jam,32281086.0
Pablo,0l8vhDaEztxLCQsFOAX64d,Rvssian,32259787.0
Serpenti A Sonagli,5Z0Mx6SeUAFA2rgZB9t1Nu,Sfera Ebbasta,31855807.0
Da zero a cento,4cQR1R25cpABjPMzpybNSQ,Baby K,30909117.0
La musica non c'è,7MMJa7cjMadOSR6CFWvB1x,Coez,30706398.0
Ne è valsa la pena (feat. Ghali),6GTCOWvhjvdk4pwlfrSjNO,Capo Plaza,29497773.0
Te Boté - Remix,3V8UKqhEK5zBkBb6d6ub8i,Nio Garcia,28471798.0
D'estate non vale (feat. Ana Mena),3dCEtkAfWhk15bLAWZAKLy,Fred De Palma,28434707.0
Il ballo delle incertezze,0Wq6iAraiUpSbBSPmv4gLu,Ultimo,27109507.0
Morirò da Re,47LqR8uKRA8WcZcSXkdAbz,Måneskin,26633932.0
Girls Like You (feat. Cardi B),7fa9MBXhVfQ8P8Df9OEbD8,Maroon 5,26077638.0
La Cintura,19MBk3PbNFE36wqIqkMq9H,Alvaro Soler,26053388.0
One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,Calvin Harris,25713928.0
IDGAF,76cy1WJvNGJTj78UqeA5zr,Dua Lipa,25499758.0
Vertigini,1Oou7m2VuxCDSOdqsu07TU,Tedua,24406974.0
SAD!,3ee8Jmje8o58CHK66QrVC2,XXXTENTACION,24171882.0
Ipernova,1TaSkLG2bXx84YuKmJvncw,Mr.Rain,23379392.0
Irraggiungibile (feat. Federica Carta),03PDOt4cRKQgpYfA9I9wnC,Shade,22952269.0
Questa nostra stupida canzone d'amore,2LYt5nf0m90Bz8fuudLQd1,Thegiornalisti,21859215.0
Mwaka Moon - Remix,1OGORI9Hx45AEYqxkndMhN,Kalash,21846439.0
Nero Bali,2hygc41DOo6dGocHEk6Jx1,Elodie,21489007.0
IL CIELO NELLA STANZA (feat. NSTASIA),2fkVZYFv9hOejIsLzZy8ad,Salmo,21285349.0
Serio (feat. Capo Plaza),2Cm9pUNjLYpLo2gjIiTBPa,Emis Killa,21282246.0
British,3eIRxkHV1xKsSJ8WWFfGjE,Dark Polo Gang,21136538.0
Moscow Mule,1Lfjom9CoL5hIyvjYey9zs,Benji & Fede,21091774.0
Cara Italia,7K8krdGeSIvwDGw1WUqJuK,Ghali,20967582.0
Rollercoaster,2Qe5XpRwGHFmMkZim0gRye,Emis Killa,20855085.0
Torna a casa,3590AAEoqH50z4UmhMIY85,Måneskin,20681273.0
Uno squillo,7zivIUyCw9MmYftdcayXnN,Capo Plaza,20606305.0
Poesia senza veli,3f2b204xj4jZdoHjo9wj0W,Ultimo,20598357.0
Solo (feat. Demi Lovato),6kPJZM97LwdG9QIsT7khp6,Clean Bandit,20210278.0
Pem Pem,6NprDUe0yiLIVGgcnFGgtq,Elettra Lamborghini,19813930.0
Cambiare Adesso,01MJgnPL3AuwmYQ4EbHzD7,Dark Polo Gang,19794934.0
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",4w8niZpiMy6qz1mntFA5uM,DJ Snake,19731603.0
Pianeti,2w5wtWq30yTkNSG9YjMFvW,Ultimo,19416162.0
Keanu Reeves (feat. Achille Lauro),1MGXWglFoINJdrcp2W0U0w,Gemitaiz,19358352.0
God's Plan,2XW4DbS6NddZxRPm5rMCeY,Drake,19178411.0
