Track Name,spotify_id,Artist,Streams
打上花火,4IouQaO9GkaHC7AtMErdSa,DAOKO,8084261
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,7660914
愛をこめて花束を,7CmWXD3w1xOO53AAO4LRVQ,Superfly,6084134
Wherever you are,0YAMQSmHk6BSUGTYpaoqTJ,ONE OK ROCK,5982492
My Boo,2gasr6aemUqZIBBN05EO03,Shota Shimizu,5799117
恋音と雨空,46gSY0U7ZZCmd7EuJuo15N,AAA,5711808
ワタリドリ,0ve9Tpz8Yw0I4eXhWsy21o,[Alexandros],5654059
小さな恋のうた,7swIKcU4tFRk4iFJpi12Fg,MONGOL800,5625643
Change,6KBj27Bko8gh71gpx0PzIG,ONE OK ROCK,5265512
君はロックを聴かない,59eluCMn0XbOWqeWQ91FTM,Aimyon,4989920
HANABI,77lmDcPPyY6kK907gdgC6i,Mr.Children,4961712
Stay,0I20rLT2MJDhcF96AjbNYo,Zedd,4828843
Story,0V2axJ946WH1vt9t5SGMLV,AI,4637032
キセキ,7ztdl6cnbJgHRdMkKldkts,GReeeeN,4517610
ハナミズキ,4PqDkR6YM80Sy590Qsy6mm,Yo Hitoto,4348421
さよならエレジー,0QKmcZNAST4GytJYmkN05D,Masaki Suda,4320064
RAIN,40cPkRjw5aLQIOjaqgUVnB,SEKAI NO OWARI,4314545
Closer,7BKLCZ1jbUBVqRi2FVlTVw,The Chainsmokers,4181094
U.S.A.,4qZyuyqLoZ3CaH79rGvJFR,DA PUMP,4164976
さよならの前に,7vwXjDrZT2mqiFynlEwwgG,AAA,4150997
愛唄,7iXHLtPosbHvglVSJ4rxLq,GReeeeN,4101247
新宝島,6ODZT1FGTE2q4two05giS1,Sakanaction,4060800
Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W,Camila Cabello,4033417
366日,22aZD7yaGYfhgCYazL4nbc,HY,3949459
AM11:00,6YcvfXy4wTvjaIniIBuh30,HY,3941856
HOME,5PF0IW8iHqOcTWAyRqiDzb,Shota Shimizu,3917725
The Beginning,4f3nDjgqXurMryYBSp0TZD,ONE OK ROCK,3827430
I LOVE YOU,0mf82mK5aeZm4vN9HM2InQ,Chris Hart,3725954
君が好き,5Bg0HkfaRYRx8A7tMrjT9Z,Shota Shimizu,3722488
愛を伝えたいだとか,0N8Xztr4pBHJ7V0moJWhbO,Aimyon,3712161
Symphony (feat. Zara Larsson),1x5sYLZiu9r5E43kMlt9f8,Clean Bandit,3681093
LIKEY,4Eb5cLWxKQUoUQaKUYSRgI,TWICE,3594865
TT - Japanese ver.,0PAyiPTz8gL0udQnSasc5G,TWICE,3568448
マリーゴールド,0jWVUKsIoyo3zw64RaEWYg,Aimyon,3531930
何度でも,6Qq8UOS6QzeSYFUVXC5wEB,DREAMS COME TRUE,3339276
君に届け,0kA7SWxWPYqSyIbMl51X5b,flumpool,3293732
ロビンソン,5YP52gnoypy9H1jg5RIwUW,SPITZ,3127810
Kimiga Kureta Natsu,4bK6qPvD4xB8npRkZa1a55,Leo Ieiri,3097473
PIECES OF A DREAM,6CQ5WvprBENUd53lv9UzAh,CHEMISTRY,3040043
DREAM,6PO8T4qt3FHfauSs98zO9j,Shota Shimizu,2974209
FAKE LOVE,3aW0ds4A4tSQDIp75FqWTo,BTS,2950858
花,4clwFLZjrvTtnrMviJnVKh,ORANGE RANGE,2916869
Something Just Like This,6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,2914085
どんなときも。,4feDzcxtXRU8clyOluco5Y,Noriyuki Makihara,2904290
New Rules,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,2898860
DNA,5SE57ljOIUJ1ybL9U6CuBH,BTS,2885618
Kanzen kankaku Dreamer,1XT0cpl9g0GuRQJao2nqXd,ONE OK ROCK,2737411
光榮之橋,5KaplUYIDvsFe69z7UArVt,Yuzu,2729517
WanteD! WanteD!,7M3TZDUNvaNBo0qtWVaZif,Mrs. GREEN APPLE,2724996
今夜このまま,0sSG83UxY15ft1E2N9THYF,Aimyon,2711175
