Track Name,spotify_id,Artist,Streams
Nevermind,63SevszngYpZOwf63o61K4,Dennis Lloyd,717130
One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,Calvin Harris,708900
In My Mind,0E9ZjEAyAwOXZ7wJC0PD33,Dynoro,598991
Better Now,7dt6x5M1jzdTEt8oCbisTK,Post Malone,567648
SAD!,3ee8Jmje8o58CHK66QrVC2,XXXTENTACION,519394
Solo (feat. Demi Lovato),6kPJZM97LwdG9QIsT7khp6,Clean Bandit,516192
IDGAF,76cy1WJvNGJTj78UqeA5zr,Dua Lipa,453818
I Like It,58q2HKrzhC3ozto2nDdN4z,Cardi B,442895
Promises (with Sam Smith),5N5k9nd479b1xpDZ4usjrg,Calvin Harris,438980
FRIENDS,08bNPGLD8AhKpnnERrAc6G,Marshmello,430661
God's Plan,2XW4DbS6NddZxRPm5rMCeY,Drake,426344
Jackie Chan,4kWO6O1BUXcZmaxitpVUwp,Tiësto,422242
Moonlight,0JP9xo3adEtGSdUEISiszL,XXXTENTACION,416626
Youngblood,2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,390147
Girls Like You (feat. Cardi B),7fa9MBXhVfQ8P8Df9OEbD8,Maroon 5,379995
Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK,Portugal. The Man,372667
Love Lies (with Normani),45Egmo7icyopuzJN0oMEdk,Khalid,372458
Remind Me to Forget,6xTU6B6nFwKKTSZ9ySXS80,Kygo,368296
Shallow,2VxeLyX666F8uXCJ0dZF8B,Lady Gaga,363944
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",5CLGzJsGqhCEECcpnFQA8x,Rudimental,354570
Taste (feat. Offset),5IaHrVsrferBYDm0bDyABy,Tyga,347457
In My Feelings,2G7V7zsVDxg1yRsu7Ew9RJ,Drake,347273
Eastside (with Halsey & Khalid),0d2iYfpKoM0QCKvcLCkBao,benny blanco,344224
Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W,Camila Cabello,341308
Jocelyn Flores,7m9OqQk4RVRkw9JJdeAw96,XXXTENTACION,338312
rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt,Post Malone,335928
Praise The Lord (Da Shine) (feat. Skepta),7ycWLEP1GsNjVvcjawXz3z,A$AP Rocky,303815
All The Stars (with SZA),3GCdLUSnKSMJhs4Tj6CV3s,Kendrick Lamar,301380
Happier,2dpaYNEQHiRxtZbfNsse99,Marshmello,300674
SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,Travis Scott,300360
Rise,3u1S1OmAUhx5DRlLrXqyp3,Jonas Blue,296952
Be Alright,3EPXxR3ImUwfayaurPi3cm,Dean Lewis,294670
lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,Billie Eilish,289116
Flames,33IOhptvC2Qoy2UhjiHXLV,David Guetta,287886
no tears left to cry,5SxkdsY1ufZzoq9iXceLw9,Ariana Grande,283550
I Love It (& Lil Pump),4S8d14HvHb70ImctNgVzQQ,Kanye West,274667
This Is America,0b9oOr2ZgvyQu88wzixux9,Childish Gambino,265002
Lucid Dreams,0s3nnoMeVWz3989MkNQiRf,Juice WRLD,263569
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,260298
Shotgun,4ofwffwvvnbSkrMSCKQDaC,George Ezra,259341
Body (feat. brando),7K7MUBCnzgBAvMVW2RTWNs,Loud Luxury,253808
New Rules,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,252374
Look Alive (feat. Drake),4qKcDkK6siZ7Jp1Jb4m0aL,BlocBoy JB,248083
Ocean (feat. Khalid),3nc420PXjTdBV5TN0gCFkS,Martin Garrix,246123
Say Something (feat. Chris Stapleton),1LhMopPAallLeaeNutqbgS,Justin Timberlake,242172
Anywhere,7EI6Iki24tBHAMxtb4xQN2,Rita Ora,237951
breathin,4OafepJy2teCjYJbvFE60J,Ariana Grande,236775
"thank u, next",2rPE9A1vEgShuZxxzR2tZH,Ariana Grande,232813
Without Me,5p7ujcrUXASCNwRaWNHR1C,Halsey,231891
Ieškau - Remix,4IqUG5Xs7IVlmGtpbN1vya,8 Kambarys,231791
