Track Name,spotify_id,Artist,Streams
Tamagotchi,3yI9jZu5AE7y7kUCqfBhCA,TACONAFIDE,9606955.0
Początek,6TfeSFGbqxGjIKuKLQOsKC,Męskie Granie Orkiestra 2018,7933188.0
In My Mind,0E9ZjEAyAwOXZ7wJC0PD33,Dynoro,6888907.0
One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,Calvin Harris,6814953.0
Nevermind,63SevszngYpZOwf63o61K4,Dennis Lloyd,6381273.0
IDGAF,76cy1WJvNGJTj78UqeA5zr,Dua Lipa,5926686.0
Małomiasteczkowy,4pzE97EZMDxnqO88y3YxAm,Dawid Podsiadło,5726247.0
Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK,Portugal. The Man,5646030.0
Nowy Kolor,4cIEQ6n11b04xjMqZri4ui,Otsochodzi,5630277.0
Fiji,2CdCs9y04oDuYCF4ewNzI7,Taco Hemingway,5595144.0
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,5424381.0
8 kobiet - Remix,5s6jooT9ZcUjjD5qVx9B5K,TACONAFIDE,5323920.0
Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W,Camila Cabello,5019530.0
Solo (feat. Demi Lovato),6kPJZM97LwdG9QIsT7khp6,Clean Bandit,5007437.0
Nie / nie,504W8xzM8013XZkMxRYkX4,Otsochodzi,4878909.0
Rozovoye Vino,4LDcQ9sLkKCie4XcKaEwJD,Eldzhey,4783736.0
FRIENDS,08bNPGLD8AhKpnnERrAc6G,Marshmello,4678194.0
Youngblood,2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,4520681.0
05:05,1tWJcN0KZhuxcRyYlrL0o9,Bedoes,4465526.0
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",5CLGzJsGqhCEECcpnFQA8x,Rudimental,4432063.0
Kryptowaluty,5BUhxai60oAz69BWZv1qW5,TACONAFIDE,4431823.0
Visa,4M1McbiEQSJmMyaGjWDXJm,TACONAFIDE,4312880.0
SAD!,3ee8Jmje8o58CHK66QrVC2,XXXTENTACION,4166841.0
Jackie Chan,4kWO6O1BUXcZmaxitpVUwp,Tiësto,3990223.0
Sorry Dolores,0yd4OCmrcqvsAMUJGCMEFQ,Reto,3968828.0
Half Dead,5TuXRIWZicQ2baTHfXID0U,Quebonafide,3893900.0
I Like It,58q2HKrzhC3ozto2nDdN4z,Cardi B,3813624.0
8 kobiet,6VfGN9E3V4VVOlbtt0VbgN,TACONAFIDE,3734543.0
Drunk Groove,7xVzkiXvUfwI72l0qh03Fj,MARUV,3575293.0
Rise,3u1S1OmAUhx5DRlLrXqyp3,Jonas Blue,3523309.0
New Rules,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,3421019.0
More Than You Know,71bBFbfn2OBK5QwUJSLS44,Axwell /\ Ingrosso,3412837.0
Shotgun,4ofwffwvvnbSkrMSCKQDaC,George Ezra,3314115.0
no tears left to cry,5SxkdsY1ufZzoq9iXceLw9,Ariana Grande,3280808.0
Body (feat. brando),7K7MUBCnzgBAvMVW2RTWNs,Loud Luxury,3245274.0
Flames,33IOhptvC2Qoy2UhjiHXLV,David Guetta,3198214.0
Better Now,7dt6x5M1jzdTEt8oCbisTK,Post Malone,3195521.0
Buzi,1XQ5JQUHcRHnGpdzxIAAYD,Young Igi,3154163.0
La louze,1jwaN4Ot9ToXjIahnq9Dzx,SHANGUY,3099940.0
Got U (Ready or Not),5KWxtm24eahVFAU4Acd5er,Kokab,3039217.0
Promises (with Sam Smith),5N5k9nd479b1xpDZ4usjrg,Calvin Harris,3032713.0
Familiar,0Y4hwUppbGc8aIBmiTz30A,Liam Payne,3028251.0
Art-B,7nHGjbZeoJIMBgsCuZGeSM,TACONAFIDE,2990386.0
Nie Ma Fal,3kWcNl9IThew9vwO8UM3fD,Dawid Podsiadło,2981373.0
Mówiłaś,5ByndtTsDoVh0KPdvY52PP,Young Igi,2953299.0
God's Plan,2XW4DbS6NddZxRPm5rMCeY,Drake,2913779.0
Chodź,2a0u6wN15zIfSzgfhbsjd1,Taco Hemingway,2910951.0
Girls Like You (feat. Cardi B),7fa9MBXhVfQ8P8Df9OEbD8,Maroon 5,2849014.0
UA,3Vmq9lE9ayaO1wpcdxjn7c,Reto,2840449.0
rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt,Post Malone,2817335.0
