Track Name,spotify_id,Artist,Streams
Te Boté - Remix,3V8UKqhEK5zBkBb6d6ub8i,Nio Garcia,3122387.0
Toda - Remix,7nD2JPaxIKUdxd2UWgnaGL,Alex Rose,2966185.0
La player (Bandolera),0VKkyBKCXyR99navhVRqcP,Zion & Lennox,2808884.0
No Es Justo,5qFeMRz4TvetPmzjre9Dq7,J Balvin,2540266.0
Nena Maldicion (feat. Lenny Tavarez),3TnhQSRwT3AVMdXw5JPq0x,Paulo Londra,2486933.0
Quiere Beber,3rPAD722s5FFNnwjC91t7Z,Anuel AA,2402369.0
Te Amo,2RVrdr062uLFxXwIxwdXPH,Piso 21,2384865.0
Me Niego (feat. Ozuna & Wisin),6jA8JUuPCGYjFcgw0AoM5T,Reik,2353656.0
Hipócrita,6XBjCetHKdO5L9cwMDVffw,Anuel AA,2269411.0
Madura (feat. Bad Bunny),0r9d60ZYPAlFHq8qnUtkXN,Cosculluela,2150050.0
Por Perro,2alIsNw1mqEShbWyO1HXZZ,Sebastian Yatra,2057668.0
Dembow,2EzRdhuoPyNJDlep7lnNf2,Danny Ocean,2021706.0
Sin Pijama,2ijef6ni2amuunRoKTlgww,Becky G,1962250.0
Vaina Loca,48zFZh27QU5qsrBjn4C2FA,Ozuna,1933065.0
Síguelo Bailando,5Y9fnynLlIvqtM710MHzfz,Ozuna,1928578.0
X,39N9RPD9MRb5WmoLzNzPeA,Nicky Jam,1905455.0
Solita,7rwX0O3RlxqqIjQM8evm5E,Ozuna,1818910.0
MIA (feat. Drake),116H0KvKr2Zl4RPuVBruDO,Bad Bunny,1777282.0
Esperándote,1nfyE13arjOuO54HH0zmqj,Manuel Turizo,1759071.0
Sensualidad,5hcisvFMidkMJlElTO9Qmw,Bad Bunny,1735680.0
Cuando Te Besé,2XXMDz7SPZ4mSFN1PXfHUy,Becky G,1719710.0
BEBE,7ATATJztoWLcqDAcVVof0C,6ix9ine,1715896.0
Calma - Remix,5iwz1NiezX7WWjnCgY5TH4,Pedro Capó,1711141.0
Dura,2j2fIJGh4PMdXt9ULI5Tlc,Daddy Yankee,1688423.0
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",4w8niZpiMy6qz1mntFA5uM,DJ Snake,1688201.0
Asesina,6rbhaJsE4uLzpPf8WYSHDK,Brytiago,1683062.0
Amorfoda,3ITvHA9zhZZdBJsOsAUegF,Bad Bunny,1650132.0
Déjala Que Vuelva (feat. Manuel Turizo),33bnxcjePIkcmNjEFTJX0l,Piso 21,1641591.0
Puntos Suspensivos,04cd1MHVq1D8v1nuTZoCdv,Piso 21,1608210.0
Loca Remix,2CRbiMK0W14l71SpDKqKZM,KHEA,1479605.0
Mala Mía,62o8KoI44JfN7aYxgTnPvh,Maluma,1456694.0
Criminal,6Za3190Sbw39BBC77WSS1C,Natti Natasha,1405638.0
Culpables,6q8Lb50EtqNeeJXXe8mMAH,KAROL G,1403950.0
Quiero Repetir,0MIcPSq9n2z5H8TAfEstri,Ozuna,1393526.0
Downtown,3Ga6eKrUFf12ouh9Yw3v2D,Anitta,1342002.0
PPP,1DcxnVNFAyVl2sDQ646pXS,Kevin Roldan,1324745.0
Adan y Eva,6FyRXC8tJUh863JCkyWqtk,Paulo Londra,1295929.0
Ya No Tiene Novio,7uQmJ1jgNzBpATSoWKSPFu,Sebastian Yatra,1211351.0
"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",5q2JbCNi4FcnglgPfxcV65,Anuel AA,1207046.0
Bella,4R55IUi2x7S5ek2SpebOiE,Wolfine,1171919.0
El Farsante - Remix,7uYgVgRSgqluZclLS7wpp4,Ozuna,1166368.0
Clandestino,7DrluKkTviBwCc8AV3VGmf,Shakira,1162722.0
Se Preparó,1m69ELEgE6k5ZWsap40ozt,Ozuna,1155597.0
I Like It,58q2HKrzhC3ozto2nDdN4z,Cardi B,1154978.0
Estamos Bien,7glCSQqV5o6NU88Cn4zPZn,Bad Bunny,1146732.0
Dura - Remix,6U2NuJILEOEpW2tVCuqKHb,Daddy Yankee,1125575.0
Brindemos,7LeQ55Z5jPBB0ggYJtAiYO,Anuel AA,1078684.0
Chica Paranormal,2r77vqSZkOktTSgmAOoHsV,Paulo Londra,1072038.0
Bubalu,7dNwJbsT0sg1le5kVugGJb,Becky G,1066064.0
Jogo do Amor,3MxbRHE1u74SoMNR9iURIZ,MC Bruninho,1027304.0
