Track Name,spotify_id,Artist,Streams
God's Plan,2XW4DbS6NddZxRPm5rMCeY,Drake,327029215
SAD!,3ee8Jmje8o58CHK66QrVC2,XXXTENTACION,320911007
Look Alive (feat. Drake),4qKcDkK6siZ7Jp1Jb4m0aL,BlocBoy JB,268178220
Better Now,7dt6x5M1jzdTEt8oCbisTK,Post Malone,254685346
Moonlight,0JP9xo3adEtGSdUEISiszL,XXXTENTACION,249897971
I Like It,58q2HKrzhC3ozto2nDdN4z,Cardi B,239838666
SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,Travis Scott,227155059
I Fall Apart,75ZvA4QfFiZvzhj2xkaWAh,Post Malone,207064482
Ric Flair Drip (& Metro Boomin),7sO5G9EABYOXQKNPNiE9NR,Offset,203613466
Jocelyn Flores,7m9OqQk4RVRkw9JJdeAw96,XXXTENTACION,197242313
Yes Indeed,6vN77lE9LK6HP2DewaN6HZ,Lil Baby,194709529
Psycho (feat. Ty Dolla $ign),3swc6WTsr7rl9DqQKQA55C,Post Malone,189325836
Lucid Dreams,0s3nnoMeVWz3989MkNQiRf,Juice WRLD,184851979
Taste (feat. Offset),5IaHrVsrferBYDm0bDyABy,Tyga,184094816
In My Feelings,2G7V7zsVDxg1yRsu7Ew9RJ,Drake,175176427
Fuck Love (feat. Trippie Redd),7AQim7LbvFVZJE3O8TYgf2,XXXTENTACION,172480669
Love Lies (with Normani),45Egmo7icyopuzJN0oMEdk,Khalid,172142149
FEFE (feat. Nicki Minaj & Murda Beatz),2E124GmJRnBJuXbTb4cPUB,6ix9ine,162724547
Walk It Talk It,6n4U3TlzUGhdSFbUUhTvLP,Migos,160717189
Nice For What,1cTZMwcBJT0Ka3UJPXOeeN,Drake,156614276
Stir Fry,2UVbBKQOdFAekPTRsnkzcf,Migos,155871976
changes,7AFASza1mXqntmGtbxXprO,XXXTENTACION,155835953
XO Tour Llif3,7GX5flRQZVHRAGd6B4TmDO,Lil Uzi Vert,152594243
rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt,Post Malone,151145236
"King's Dead (with Kendrick Lamar, Future & James Blake)",51rXHuKN8Loc4sUlKPODgH,Jay Rock,143963758
Nonstop,0TlLq3lA83rQOYtrqBqSct,Drake,138542896
All The Stars (with SZA),3GCdLUSnKSMJhs4Tj6CV3s,Kendrick Lamar,133120495
Congratulations,3a1lNhkSLSkpJE4MSHpDu9,Post Malone,132344503
Girls Like You (feat. Cardi B),7fa9MBXhVfQ8P8Df9OEbD8,Maroon 5,129172950
"thank u, next",2rPE9A1vEgShuZxxzR2tZH,Ariana Grande,126653228
Everybody Dies In Their Nightmares,3GVkPk8mqxz0itaAriG1L7,XXXTENTACION,126453791
HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,125984398
Call Out My Name,1gm616Plq4ScqNi7TVkZ5N,The Weeknd,125774268
Nowadays (feat. Landon Cube),2u7mxWSeoqTXndK5e08jMp,Lil Skies,123119332
Mo Bamba,1xzBco0xcoJEDXktl7Jxrr,Sheck Wes,117594534
Young Dumb & Broke,5Z3GHaZ6ec9bsiI5BenrbY,Khalid,117586455
Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W,Camila Cabello,117576425
Happier,2dpaYNEQHiRxtZbfNsse99,Marshmello,117500586
goosebumps,6gBFPUFcJLzWGx4lenP6h2,Travis Scott,114210768
Drip Too Hard (Lil Baby & Gunna),78QR3Wp35dqAhFEc2qAGjE,Lil Baby,113585090
JAPAN,5PTG6rrL6EPFD9E2QMI2pl,Famous Dex,112921935
Red Roses (feat. Landon Cube),3ZhTT6yjZwpPph5MIJ53XY,Lil Skies,112600319
Eastside (with Halsey & Khalid),0d2iYfpKoM0QCKvcLCkBao,benny blanco,112391691
Psycho (feat. Ty Dolla $ign),65NwOZqoXny4JxqAPlfxRF,Post Malone,110589961
lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,Billie Eilish,108722807
Roll in Peace (feat. XXXTENTACION),40oKW22ZNNkEdZLJTScaQI,Kodak Black,108098254
Youngblood,2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,107634514
Bank Account,2fQrGHiQOvpL9UgPvtYy6G,21 Savage,106858146
Meant to Be (feat. Florida Georgia Line),7iDa6hUg2VgEL1o1HjmfBn,Bebe Rexha,105687166
Location,152lZdxL1OR0ZMW6KquMif,Khalid,104447017
