Track Name,spotify_id,Artist,Streams,Danceability,Valence,Energy
In My Mind,0E9ZjEAyAwOXZ7wJC0PD33,Dynoro,4475711,0.694,0.163,0.77
Nevermind,63SevszngYpZOwf63o61K4,Dennis Lloyd,3965779,0.6,0.0793,0.688
FRIENDS,08bNPGLD8AhKpnnERrAc6G,Marshmello,3550790,0.626,0.534,0.88
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",5CLGzJsGqhCEECcpnFQA8x,Rudimental,3505102,0.653,0.55,0.809
Better Now,7dt6x5M1jzdTEt8oCbisTK,Post Malone,2982012,0.68,0.341,0.578
Solo (feat. Demi Lovato),6kPJZM97LwdG9QIsT7khp6,Clean Bandit,2867644,0.737,0.565,0.636
One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,Calvin Harris,2784032,0.791,0.592,0.862
Melodien (feat. Juju),5d35jcJj7WjDQBOHCHPY6t,Capital Bra,2713606,0.751,0.33,0.529
Primo,7y5chiQbuvviOYUfUmOPqo,RAF Camora,2687932,0.748,0.487,0.754
Rise,3u1S1OmAUhx5DRlLrXqyp3,Jonas Blue,2510286,0.69,0.669,0.784
SAD!,3ee8Jmje8o58CHK66QrVC2,XXXTENTACION,2474569,0.74,0.473,0.613
IDGAF,76cy1WJvNGJTj78UqeA5zr,Dua Lipa,2432043,0.836,0.51,0.544
Bella ciao - HUGEL Remix,1MFSD0AkPk8Yq7TDEhrHcb,El Profesor,2431102,0.838,0.655,0.406
Girls Like You (feat. Cardi B),7fa9MBXhVfQ8P8Df9OEbD8,Maroon 5,2407629,0.851,0.448,0.541
High Hopes,1rqqCSm0Qe4I9rUvWncaom,Panic! At The Disco,2338116,0.579,0.681,0.904
Was du Liebe nennst,2hIY4sjfMeKwXXh2LvhrMo,Bausa,2279265,0.874,0.746,0.487
God's Plan,2XW4DbS6NddZxRPm5rMCeY,Drake,2273727,0.758,0.373,0.448
Happier,2dpaYNEQHiRxtZbfNsse99,Marshmello,2242484,0.687,0.671,0.792
Shotgun,4ofwffwvvnbSkrMSCKQDaC,George Ezra,2147647,0.672,0.754,0.735
Dior 2001,2eNSyVH3sNPiAj9WpRYK73,RIN,2138975,0.43,0.473,0.699
Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W,Camila Cabello,2042129,0.765,0.394,0.523
I Like It,58q2HKrzhC3ozto2nDdN4z,Cardi B,2041832,0.816,0.65,0.726
Remind Me to Forget,6xTU6B6nFwKKTSZ9ySXS80,Kygo,2032273,0.689,0.312,0.505
Body (feat. brando),7K7MUBCnzgBAvMVW2RTWNs,Loud Luxury,2014512,0.752,0.582,0.764
Neymar,7ecGSqT8Ulbzhs5QwgWGVN,Capital Bra,2009535,0.75,0.533,0.662
Leave a Light On,6lOWoTqVnAWXchddtTH31W,Tom Walker,2002845,0.586,0.267,0.624
Ohne mein Team,05Mp2UJulSttxQ4E6hQPH3,Bonez MC,1930825,0.766,0.635,0.8
Be Alright,3EPXxR3ImUwfayaurPi3cm,Dean Lewis,1930608,0.553,0.443,0.586
Silence,7vGuf3Y35N4wmASOKLUVVU,Marshmello,1927767,0.52,0.286,0.761
500 PS,641R77CBy4bOLGRcA9sgHy,Bonez MC,1921631,0.807,0.836,0.923
Gotham City,2axf5shPhjS8qdaGr5MWaS,RAF Camora,1919497,0.803,0.691,0.857
500 PS,4UOXo3xWnxYdTf3sFyRaUG,Bonez MC,1918643,0.805,0.836,0.924
Eastside (with Halsey & Khalid),0d2iYfpKoM0QCKvcLCkBao,benny blanco,1858862,0.56,0.319,0.68
Casanova,0jB0RNZIfaihaDKNmdrI40,Summer Cem,1836577,0.709,0.195,0.588
Jackie Chan,4kWO6O1BUXcZmaxitpVUwp,Tiësto,1793909,0.747,0.687,0.834
River (feat. Ed Sheeran),5UEnHoDYpsxlfzWLZIc7LD,Eminem,1786194,0.757,0.693,0.748
Change Your Mind,4kOlyvj9WiPrI4zpmzKAeA,ELI,1782984,0.826,0.582,0.499
Facetime,0oZyouBDStcJEUbTmSfys2,Dardan,1779081,0.701,0.446,0.682
One Night Stand,3AXtDUSO78KrGa9Rq8rWUS,Capital Bra,1776200,0.645,0.897,0.636
Kokain,4Bj3usjRTckEJARO0dLbDf,Bonez MC,1761073,0.615,0.608,0.677
Toto (feat. RAF Camora),1fyvQWmRbW81M0xXKI1Rrk,Noizy,1750932,0.764,0.574,0.683
Taste (feat. Offset),5IaHrVsrferBYDm0bDyABy,Tyga,1746162,0.884,0.342,0.559
Youngblood,2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,1737044,0.596,0.152,0.854
Magisch,4gnuy9VBU2GGrN60UMB79t,Olexesh,1694379,0.586,0.538,0.655
Paradise,38zwkK6TtTjIW9tpYBfZ3D,George Ezra,1653535,0.642,0.913,0.881
Berlin lebt,1zl1smQ584EZKCfLVeYWNq,Capital Bra,1628406,0.651,0.393,0.655
"Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)",4Nip6oiJU24LqcUEi7u19S,KitschKrieg,1553441,0.825,0.876,0.76
rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt,Post Malone,1542862,0.585,0.129,0.52
Promises (with Sam Smith),5N5k9nd479b1xpDZ4usjrg,Calvin Harris,1533766,0.781,0.486,0.768
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,1532614,0.825,0.931,0.652
