Track Name,spotify_id,Artist,Streams,Danceability,Valence,Energy
La player (Bandolera),0VKkyBKCXyR99navhVRqcP,Zion & Lennox,13368558.0,0.769,0.602,0.838
No Es Justo,5qFeMRz4TvetPmzjre9Dq7,J Balvin,12334128.0,0.684,0.721,0.811
Te Boté - Remix,3V8UKqhEK5zBkBb6d6ub8i,Nio Garcia,11115053.0,0.903,0.442,0.675
Me Niego (feat. Ozuna & Wisin),6jA8JUuPCGYjFcgw0AoM5T,Reik,10517477.0,0.777,0.768,0.779
X,39N9RPD9MRb5WmoLzNzPeA,Nicky Jam,10470151.0,0.595,0.711,0.773
Esperándote,1nfyE13arjOuO54HH0zmqj,Manuel Turizo,9975720.0,0.697,0.313,0.648
Te Amo,2RVrdr062uLFxXwIxwdXPH,Piso 21,9685738.0,0.849,0.63,0.724
Dembow,2EzRdhuoPyNJDlep7lnNf2,Danny Ocean,8854874.0,0.802,0.45,0.744
Mocca,0NKoPGc72yUKTIneVhFfg1,Lalo Ebratt,8190049.0,0.786,0.591,0.695
Quiero Repetir,0MIcPSq9n2z5H8TAfEstri,Ozuna,7675577.0,0.608,0.482,0.753
Síguelo Bailando,5Y9fnynLlIvqtM710MHzfz,Ozuna,7487161.0,0.855,0.626,0.664
Amantes,3IyPnNX142pvWx6D5CiimD,Greeicy,7478875.0,0.8,0.637,0.681
Sensualidad,5hcisvFMidkMJlElTO9Qmw,Bad Bunny,7402630.0,0.807,0.676,0.681
Dura,2j2fIJGh4PMdXt9ULI5Tlc,Daddy Yankee,7231540.0,0.786,0.819,0.846
Robarte un Beso,0JcNysfWVWaMS7R6vzGB2k,Carlos Vives,7152912.0,0.742,0.652,0.859
Madura (feat. Bad Bunny),0r9d60ZYPAlFHq8qnUtkXN,Cosculluela,7121660.0,0.878,0.751,0.555
Culpables,3RD0PGolM0mETGHaprwgMn,Manuel Turizo,7053036.0,0.573,0.764,0.31
Vaina Loca,48zFZh27QU5qsrBjn4C2FA,Ozuna,6606220.0,0.754,0.555,0.805
Sin Pijama,2ijef6ni2amuunRoKTlgww,Becky G,6601884.0,0.791,0.82,0.745
Criminal,6Za3190Sbw39BBC77WSS1C,Natti Natasha,6460018.0,0.814,0.839,0.813
Por Perro,2alIsNw1mqEShbWyO1HXZZ,Sebastian Yatra,6428031.0,0.684,0.892,0.762
Downtown,3Ga6eKrUFf12ouh9Yw3v2D,Anitta,6414660.0,0.775,0.619,0.679
