Track Name,spotify_id,Artist,Streams,Danceability,Valence,Energy
Sydpå,1lahfyqBPVvBIxf3XgmQmZ,Bro,11715671.0,0.807,0.667,0.716
Kom Over,6Lu7LCf7t7V6X7i4NQywcT,KESI,10833631.0,0.489,0.651,0.69
Oui,7j8K8PE1tO2TvhY15E8ZcD,Sivas,10099247.0,0.837,0.453,0.802
Better Now,7dt6x5M1jzdTEt8oCbisTK,Post Malone,9854213.0,0.68,0.341,0.578
Strapped,3o6VhtL6rH2rBzsN8XvfWg,FOOL,9789285.0,0.734,0.592,0.677
Langsom,5fQiM6oa6M00dBNNcS6pSc,Gilli,9172716.0,0.6,0.518,0.658
SAD!,3ee8Jmje8o58CHK66QrVC2,XXXTENTACION,8933963.0,0.74,0.473,0.613
One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,Calvin Harris,8556035.0,0.791,0.592,0.862
Holder Fast,0yJshzyh9qjjtiyLBbPglQ,Hennedub,7863818.0,0.665,0.512,0.731
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",5CLGzJsGqhCEECcpnFQA8x,Rudimental,7740860.0,0.653,0.55,0.809
God's Plan,2XW4DbS6NddZxRPm5rMCeY,Drake,7640043.0,0.758,0.373,0.448
Youngblood,2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,7217113.0,0.596,0.152,0.854
Eastside (with Halsey & Khalid),0d2iYfpKoM0QCKvcLCkBao,benny blanco,6956180.0,0.56,0.319,0.68
Love Lies (with Normani),45Egmo7icyopuzJN0oMEdk,Khalid,6858443.0,0.708,0.338,0.648
In My Mind,0E9ZjEAyAwOXZ7wJC0PD33,Dynoro,6793241.0,0.694,0.163,0.77
Taste (feat. Offset),5IaHrVsrferBYDm0bDyABy,Tyga,6705741.0,0.884,0.342,0.559
FRIENDS,08bNPGLD8AhKpnnERrAc6G,Marshmello,6293549.0,0.626,0.534,0.88
Jackie Chan,4kWO6O1BUXcZmaxitpVUwp,Tiësto,5987045.0,0.747,0.687,0.834
Solo (feat. Demi Lovato),6kPJZM97LwdG9QIsT7khp6,Clean Bandit,5872669.0,0.737,0.565,0.636
Be Alright,3EPXxR3ImUwfayaurPi3cm,Dean Lewis,5786390.0,0.553,0.443,0.586
Su Casa,4yF9erb9bMUIRXr6QdPgP4,KESI,5631996.0,0.724,0.916,0.751
Zum Zum,2lZEnKxY1v6wgR8ipQMwEI,ZK,5529057.0,0.826,0.62,0.51
Sweet but Psycho,25sgk305KZfyuqVBQIahim,Ava Max,5448580.0,0.719,0.628,0.704
Rum Bum Bum,0QzldbZnd9gLpor4S2EzJc,NAVID,5378184.0,0.583,0.784,0.624
Body (feat. brando),7K7MUBCnzgBAvMVW2RTWNs,Loud Luxury,5298104.0,0.752,0.582,0.764
