Track Name,spotify_id,Artist,Streams,Danceability,Valence,Energy
FRIENDS,08bNPGLD8AhKpnnERrAc6G,Marshmello,1863990.0,0.626,0.534,0.88
In My Mind,0E9ZjEAyAwOXZ7wJC0PD33,Dynoro,1759213.0,0.694,0.163,0.77
One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,Calvin Harris,1627796.0,0.791,0.592,0.862
Nevermind,63SevszngYpZOwf63o61K4,Dennis Lloyd,1610144.0,0.6,0.0793,0.688
Solo (feat. Demi Lovato),6kPJZM97LwdG9QIsT7khp6,Clean Bandit,1567192.0,0.737,0.565,0.636
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",5CLGzJsGqhCEECcpnFQA8x,Rudimental,1526482.0,0.653,0.55,0.809
IDGAF,76cy1WJvNGJTj78UqeA5zr,Dua Lipa,1490072.0,0.836,0.51,0.544
Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W,Camila Cabello,1448071.0,0.765,0.394,0.523
Nem Tudja Senki,0XlgY6Jrh51dY2Bfepj9hK,Follow The Flow,1368558.0,0.401,0.278,0.648
I Like It,58q2HKrzhC3ozto2nDdN4z,Cardi B,1132094.0,0.816,0.65,0.726
SAD!,3ee8Jmje8o58CHK66QrVC2,XXXTENTACION,1094343.0,0.74,0.473,0.613
Girls Like You (feat. Cardi B),7fa9MBXhVfQ8P8Df9OEbD8,Maroon 5,1090228.0,0.851,0.448,0.541
Better Now,7dt6x5M1jzdTEt8oCbisTK,Post Malone,1087159.0,0.68,0.341,0.578
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,1084045.0,0.825,0.931,0.652
Him & I (with Halsey),5k38wzpLb15YgncyWdTZE4,G-Eazy,1066637.0,0.589,0.191,0.731
New Rules,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,996138.0,0.762,0.608,0.7
Jackie Chan,4kWO6O1BUXcZmaxitpVUwp,Tiësto,995543.0,0.747,0.687,0.834
Youngblood,2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,981577.0,0.596,0.152,0.854
Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK,Portugal. The Man,970871.0,0.801,0.754,0.795
Füttyös,6bsERSsjVL4Cpt0e2t77Vx,Majka,944619.0,0.433,0.737,0.856
Rise,3u1S1OmAUhx5DRlLrXqyp3,Jonas Blue,918825.0,0.69,0.669,0.784
Remind Me to Forget,6xTU6B6nFwKKTSZ9ySXS80,Kygo,877432.0,0.689,0.312,0.505
rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt,Post Malone,853515.0,0.585,0.129,0.52
Happier,2dpaYNEQHiRxtZbfNsse99,Marshmello,838873.0,0.687,0.671,0.792
Lonely Together (feat. Rita Ora),2OALaHcDdKkjYEpAr0Qzab,Avicii,832352.0,0.655,0.272,0.666
Promises (with Sam Smith),5N5k9nd479b1xpDZ4usjrg,Calvin Harris,806612.0,0.781,0.486,0.768
God's Plan,2XW4DbS6NddZxRPm5rMCeY,Drake,788748.0,0.758,0.373,0.448
Eastside (with Halsey & Khalid),0d2iYfpKoM0QCKvcLCkBao,benny blanco,783652.0,0.56,0.319,0.68
Natural,4zIO3ilp5HvTeK3HJHxhMP,Imagine Dragons,782661.0,0.448,0.213,0.612
In My Feelings,2G7V7zsVDxg1yRsu7Ew9RJ,Drake,764207.0,0.835,0.35,0.626
no tears left to cry,5SxkdsY1ufZzoq9iXceLw9,Ariana Grande,743323.0,0.703,0.366,0.696
Perfect,0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,738492.0,0.599,0.168,0.448
Taste (feat. Offset),5IaHrVsrferBYDm0bDyABy,Tyga,733176.0,0.884,0.342,0.559
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",4w8niZpiMy6qz1mntFA5uM,DJ Snake,730349.0,0.842,0.617,0.801
Flames,33IOhptvC2Qoy2UhjiHXLV,David Guetta,720014.0,0.609,0.362,0.726
Anywhere,7EI6Iki24tBHAMxtb4xQN2,Rita Ora,706091.0,0.628,0.321,0.797
Silence,7vGuf3Y35N4wmASOKLUVVU,Marshmello,705154.0,0.52,0.286,0.761
Wolves,7EmGUiUaOSGDnUUQUDrOXC,Selena Gomez,688383.0,0.715,0.327,0.802
Shallow,2VxeLyX666F8uXCJ0dZF8B,Lady Gaga,685611.0,0.572,0.323,0.385
Moonlight,0JP9xo3adEtGSdUEISiszL,XXXTENTACION,678294.0,0.921,0.711,0.537
River (feat. Ed Sheeran),5UEnHoDYpsxlfzWLZIc7LD,Eminem,637415.0,0.757,0.693,0.748
Like I Do,6RnkFd8Fqqgk1Uni8RgqCQ,David Guetta,636165.0,0.635,0.15,0.9
Blöff,15h0TVG4qO6eutqjHQXb08,AK26,632856.0,0.882,0.655,0.838
More Than You Know,71bBFbfn2OBK5QwUJSLS44,Axwell /\ Ingrosso,626045.0,0.642,0.519,0.733
Love Lies (with Normani),45Egmo7icyopuzJN0oMEdk,Khalid,622399.0,0.708,0.338,0.648
Back To You - From 13 Reasons Why – Season 2 Soundtrack,4hQ6UGyWQIGJmHSo0J88JW,Selena Gomez,602228.0,0.601,0.508,0.724
Blah Blah Blah,0tp6mwUt99QnfY95T30Lqj,Armin van Buuren,598645.0,0.378,0.16,0.963
Born To Be Yours,0kHyKhJMukHEPfeh8s7rdM,Kygo,598071.0,0.688,0.451,0.688
Lucid Dreams,0s3nnoMeVWz3989MkNQiRf,Juice WRLD,597924.0,0.511,0.218,0.566
Hol van az a lány,5qmqZ2Fh9dHhDT82afD08n,DR BRS,597126.0,0.678,0.778,0.86
