Track Name,spotify_id,Artist,Streams,Danceability,Valence,Energy
Tesla (feat. Sfera Ebbasta & DrefGold),093RgZ7RXHZwIrxZhZYX4Q,Capo Plaza,58216849.0,0.854,0.377,0.626
Cupido (feat. Quavo),0dLToDou8YHYJpQltj3Ijy,Sfera Ebbasta,54483961.0,0.803,0.458,0.695
Davide (feat. Coez),1Lq5ApqhIWUXzlryFX2K6J,Gemitaiz,47703914.0,0.797,0.761,0.63
Nera,6Lc0La3OwOmAouQjbID4uX,Irama,44793951.0,0.767,0.799,0.819
Rockstar,3js3wKPw8VxBWtcXtwyUnA,Sfera Ebbasta,44206928.0,0.798,0.762,0.627
Sciroppo (feat. DrefGold),4VVG3HBGaqSNZqIpmewIA6,Sfera Ebbasta,42964391.0,0.777,0.665,0.721
Amore e Capoeira,5Vwqy3CS2aCB6jcgm1qWfk,Takagi & Ketra,42564456.0,0.827,0.836,0.697
Peace & Love,4BGmYEDOK1swwoxTtfmVZD,Charlie Charles,41023942.0,0.68,0.319,0.785
Italiana,0ptaq4BSl6jrXfGyLzJjYE,J-AX,40818339.0,0.686,0.637,0.744
Malibu,08AN0HMXNr3DGGDCOWsTAw,Vegas Jones,40146526.0,0.809,0.284,0.544
Ricchi x Sempre,0kHTkvGavvk2MjBTSUtOZx,Sfera Ebbasta,35993593.0,0.599,0.133,0.734
Fotografia (feat. Francesca Michielin & Fabri Fibra),3fw3W15QK6a9UxJGgndtYu,Carl Brave,34872562.0,0.707,0.423,0.539
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",5CLGzJsGqhCEECcpnFQA8x,Rudimental,32318943.0,0.653,0.55,0.809
X,39N9RPD9MRb5WmoLzNzPeA,Nicky Jam,32281086.0,0.595,0.711,0.773
Pablo,0l8vhDaEztxLCQsFOAX64d,Rvssian,32259787.0,0.813,0.343,0.663
Serpenti A Sonagli,5Z0Mx6SeUAFA2rgZB9t1Nu,Sfera Ebbasta,31855807.0,0.68,0.282,0.613
Da zero a cento,4cQR1R25cpABjPMzpybNSQ,Baby K,30909117.0,0.605,0.781,0.641
La musica non c'è,7MMJa7cjMadOSR6CFWvB1x,Coez,30706398.0,0.747,0.53,0.498
Ne è valsa la pena (feat. Ghali),6GTCOWvhjvdk4pwlfrSjNO,Capo Plaza,29497773.0,0.593,0.405,0.654
Te Boté - Remix,3V8UKqhEK5zBkBb6d6ub8i,Nio Garcia,28471798.0,0.903,0.442,0.675
D'estate non vale (feat. Ana Mena),3dCEtkAfWhk15bLAWZAKLy,Fred De Palma,28434707.0,0.658,0.69,0.748
Il ballo delle incertezze,0Wq6iAraiUpSbBSPmv4gLu,Ultimo,27109507.0,0.654,0.413,0.76
Morirò da Re,47LqR8uKRA8WcZcSXkdAbz,Måneskin,26633932.0,0.617,0.926,0.879
Girls Like You (feat. Cardi B),7fa9MBXhVfQ8P8Df9OEbD8,Maroon 5,26077638.0,0.851,0.448,0.541
La Cintura,19MBk3PbNFE36wqIqkMq9H,Alvaro Soler,26053388.0,0.702,0.786,0.844
One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,Calvin Harris,25713928.0,0.791,0.592,0.862
IDGAF,76cy1WJvNGJTj78UqeA5zr,Dua Lipa,25499758.0,0.836,0.51,0.544
Vertigini,1Oou7m2VuxCDSOdqsu07TU,Tedua,24406974.0,0.579,0.476,0.774
SAD!,3ee8Jmje8o58CHK66QrVC2,XXXTENTACION,24171882.0,0.74,0.473,0.613
Ipernova,1TaSkLG2bXx84YuKmJvncw,Mr.Rain,23379392.0,0.547,0.569,0.638
Irraggiungibile (feat. Federica Carta),03PDOt4cRKQgpYfA9I9wnC,Shade,22952269.0,0.653,0.71,0.797
Questa nostra stupida canzone d'amore,2LYt5nf0m90Bz8fuudLQd1,Thegiornalisti,21859215.0,0.509,0.425,0.672
Mwaka Moon - Remix,1OGORI9Hx45AEYqxkndMhN,Kalash,21846439.0,0.768,0.24,0.556
Nero Bali,2hygc41DOo6dGocHEk6Jx1,Elodie,21489007.0,0.638,0.629,0.836
IL CIELO NELLA STANZA (feat. NSTASIA),2fkVZYFv9hOejIsLzZy8ad,Salmo,21285349.0,0.755,0.267,0.501
Serio (feat. Capo Plaza),2Cm9pUNjLYpLo2gjIiTBPa,Emis Killa,21282246.0,0.721,0.537,0.651
British,3eIRxkHV1xKsSJ8WWFfGjE,Dark Polo Gang,21136538.0,0.84,0.307,0.488
Moscow Mule,1Lfjom9CoL5hIyvjYey9zs,Benji & Fede,21091774.0,0.644,0.856,0.757
Cara Italia,7K8krdGeSIvwDGw1WUqJuK,Ghali,20967582.0,0.78,0.711,0.709
Rollercoaster,2Qe5XpRwGHFmMkZim0gRye,Emis Killa,20855085.0,0.766,0.779,0.862
Torna a casa,3590AAEoqH50z4UmhMIY85,Måneskin,20681273.0,0.425,0.45,0.638
Uno squillo,7zivIUyCw9MmYftdcayXnN,Capo Plaza,20606305.0,0.801,0.679,0.724
Poesia senza veli,3f2b204xj4jZdoHjo9wj0W,Ultimo,20598357.0,0.739,0.255,0.519
Solo (feat. Demi Lovato),6kPJZM97LwdG9QIsT7khp6,Clean Bandit,20210278.0,0.737,0.565,0.636
Pem Pem,6NprDUe0yiLIVGgcnFGgtq,Elettra Lamborghini,19813930.0,0.773,0.827,0.891
Cambiare Adesso,01MJgnPL3AuwmYQ4EbHzD7,Dark Polo Gang,19794934.0,0.666,0.588,0.777
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",4w8niZpiMy6qz1mntFA5uM,DJ Snake,19731603.0,0.842,0.617,0.801
Pianeti,2w5wtWq30yTkNSG9YjMFvW,Ultimo,19416162.0,0.55,0.108,0.488
Keanu Reeves (feat. Achille Lauro),1MGXWglFoINJdrcp2W0U0w,Gemitaiz,19358352.0,0.811,0.166,0.59
God's Plan,2XW4DbS6NddZxRPm5rMCeY,Drake,19178411.0,0.758,0.373,0.448
