Track Name,spotify_id,Artist,Streams,Danceability,Valence,Energy
SAD!,3ee8Jmje8o58CHK66QrVC2,XXXTENTACION,668224.0,0.74,0.473,0.613
Nevermind,63SevszngYpZOwf63o61K4,Dennis Lloyd,646916.0,0.6,0.0793,0.688
Better Now,7dt6x5M1jzdTEt8oCbisTK,Post Malone,614944.0,0.68,0.341,0.578
Zemes stunda,7MSS9mAqAHHkUCa7HL0RbA,ansis,565070.0,0.782,0.883,0.468
In My Mind,0E9ZjEAyAwOXZ7wJC0PD33,Dynoro,563614.0,0.694,0.163,0.77
One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,Calvin Harris,499455.0,0.791,0.592,0.862
Moonlight,0JP9xo3adEtGSdUEISiszL,XXXTENTACION,494270.0,0.921,0.711,0.537
Jocelyn Flores,7m9OqQk4RVRkw9JJdeAw96,XXXTENTACION,491757.0,0.872,0.437,0.391
I Got Love,5rwsJbBNa8SfPW4oFA1GjP,MiyaGi & Endspiel,465479.0,0.665,0.233,0.872
God's Plan,2XW4DbS6NddZxRPm5rMCeY,Drake,445048.0,0.758,0.373,0.448
rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt,Post Malone,425554.0,0.585,0.129,0.52
IDGAF,76cy1WJvNGJTj78UqeA5zr,Dua Lipa,423802.0,0.836,0.51,0.544
I Fall Apart,75ZvA4QfFiZvzhj2xkaWAh,Post Malone,417028.0,0.556,0.291,0.538
I Like It,58q2HKrzhC3ozto2nDdN4z,Cardi B,408871.0,0.816,0.65,0.726
FRIENDS,08bNPGLD8AhKpnnERrAc6G,Marshmello,403692.0,0.626,0.534,0.88
Salauzta Sirds (feat. Ozols),4KV9h3YlxjISNYPKw8vpkw,Dons,398268.0,0.761,0.932,0.842
Jackie Chan,4kWO6O1BUXcZmaxitpVUwp,Tiësto,380258.0,0.747,0.687,0.834
Praise The Lord (Da Shine) (feat. Skepta),7ycWLEP1GsNjVvcjawXz3z,A$AP Rocky,367799.0,0.854,0.294,0.569
Taste (feat. Offset),5IaHrVsrferBYDm0bDyABy,Tyga,363654.0,0.884,0.342,0.559
Solo (feat. Demi Lovato),6kPJZM97LwdG9QIsT7khp6,Clean Bandit,348426.0,0.737,0.565,0.636
SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,Travis Scott,344027.0,0.834,0.446,0.73
Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK,Portugal. The Man,337512.0,0.801,0.754,0.795
Love Lies (with Normani),45Egmo7icyopuzJN0oMEdk,Khalid,337467.0,0.708,0.338,0.648
Youngblood,2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,337432.0,0.596,0.152,0.854
Look Alive (feat. Drake),4qKcDkK6siZ7Jp1Jb4m0aL,BlocBoy JB,330772.0,0.922,0.595,0.581
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",5CLGzJsGqhCEECcpnFQA8x,Rudimental,329774.0,0.653,0.55,0.809
Ogles,0xZbTUeLOIXjAHFuyZNQr2,Prāta Vētra,327667.0,0.599,0.333,0.822
XO Tour Llif3,7GX5flRQZVHRAGd6B4TmDO,Lil Uzi Vert,327443.0,0.732,0.401,0.75
Lucid Dreams,0s3nnoMeVWz3989MkNQiRf,Juice WRLD,322079.0,0.511,0.218,0.566
Promises (with Sam Smith),5N5k9nd479b1xpDZ4usjrg,Calvin Harris,321964.0,0.781,0.486,0.768
Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W,Camila Cabello,319370.0,0.765,0.394,0.523
Vērtības,2RqUeQoJYH7xVwCwz3cdI8,Mesa,316923.0,0.779,0.583,0.666
I Love It (& Lil Pump),4S8d14HvHb70ImctNgVzQQ,Kanye West,315826.0,0.901,0.329,0.522
Girls Like You (feat. Cardi B),7fa9MBXhVfQ8P8Df9OEbD8,Maroon 5,311159.0,0.851,0.448,0.541
Psycho (feat. Ty Dolla $ign),3swc6WTsr7rl9DqQKQA55C,Post Malone,310100.0,0.75,0.459,0.56
Eastside (with Halsey & Khalid),0d2iYfpKoM0QCKvcLCkBao,benny blanco,306043.0,0.56,0.319,0.68
Happier,2dpaYNEQHiRxtZbfNsse99,Marshmello,304579.0,0.687,0.671,0.792
HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,302480.0,0.908,0.421,0.621
changes,7AFASza1mXqntmGtbxXprO,XXXTENTACION,301845.0,0.669,0.52,0.308
lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,Billie Eilish,298568.0,0.351,0.12,0.296
In My Feelings,2G7V7zsVDxg1yRsu7Ew9RJ,Drake,295343.0,0.835,0.35,0.626
Розовое вино,2qgUF9fPrq5ZnHY6PxZdIi,Eldzhey,292772.0,0.831,0.329,0.719
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,279381.0,0.825,0.931,0.652
Fuck Love (feat. Trippie Redd),7AQim7LbvFVZJE3O8TYgf2,XXXTENTACION,277041.0,0.797,0.329,0.533
Pašu dārgāko,4b2wp2tbxlM1FkGHwHC69F,Prāta Vētra,273051.0,0.463,0.271,0.646
Remind Me to Forget,6xTU6B6nFwKKTSZ9ySXS80,Kygo,272399.0,0.689,0.312,0.505
Congratulations,3a1lNhkSLSkpJE4MSHpDu9,Post Malone,268546.0,0.63,0.492,0.804
Falling Down - Bonus Track,0Dn40gxVCMo5TkgS8Ik18Q,Lil Peep,261431.0,0.669,0.273,0.574
Everybody Dies In Their Nightmares,3GVkPk8mqxz0itaAriG1L7,XXXTENTACION,259677.0,0.734,0.689,0.57
Be Alright,3EPXxR3ImUwfayaurPi3cm,Dean Lewis,258779.0,0.553,0.443,0.586
