Track Name,spotify_id,Artist,Streams,Danceability,Valence,Energy
Te Boté - Remix,3V8UKqhEK5zBkBb6d6ub8i,Nio Garcia,617318.0,0.903,0.442,0.675
X,39N9RPD9MRb5WmoLzNzPeA,Nicky Jam,501688.0,0.595,0.711,0.773
Quiero Repetir,0MIcPSq9n2z5H8TAfEstri,Ozuna,456414.0,0.608,0.482,0.753
Sensualidad,5hcisvFMidkMJlElTO9Qmw,Bad Bunny,427131.0,0.807,0.676,0.681
Solita,7rwX0O3RlxqqIjQM8evm5E,Ozuna,401195.0,0.807,0.325,0.633
Amorfoda,3ITvHA9zhZZdBJsOsAUegF,Bad Bunny,399852.0,0.742,0.252,0.432
Dura,2j2fIJGh4PMdXt9ULI5Tlc,Daddy Yankee,384105.0,0.786,0.819,0.846
Me Niego (feat. Ozuna & Wisin),6jA8JUuPCGYjFcgw0AoM5T,Reik,375331.0,0.777,0.768,0.779
Síguelo Bailando,5Y9fnynLlIvqtM710MHzfz,Ozuna,373217.0,0.855,0.626,0.664
I Like It,58q2HKrzhC3ozto2nDdN4z,Cardi B,364361.0,0.816,0.65,0.726
La player (Bandolera),0VKkyBKCXyR99navhVRqcP,Zion & Lennox,351006.0,0.769,0.602,0.838
Criminal,6Za3190Sbw39BBC77WSS1C,Natti Natasha,344426.0,0.814,0.839,0.813
Dembow,2EzRdhuoPyNJDlep7lnNf2,Danny Ocean,318999.0,0.802,0.45,0.744
Me Rehúso,6De0lHrwBfPfrhorm9q1Xl,Danny Ocean,318242.0,0.744,0.426,0.804
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",4w8niZpiMy6qz1mntFA5uM,DJ Snake,315244.0,0.842,0.617,0.801
IDGAF,76cy1WJvNGJTj78UqeA5zr,Dua Lipa,310358.0,0.836,0.51,0.544
Downtown,3Ga6eKrUFf12ouh9Yw3v2D,Anitta,310151.0,0.775,0.619,0.679
Quiere Beber,3rPAD722s5FFNnwjC91t7Z,Anuel AA,306730.0,0.773,0.772,0.57
