Track Name,spotify_id,Artist,Streams,Danceability,Valence,Energy
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",5CLGzJsGqhCEECcpnFQA8x,Rudimental,16286153.0,0.653,0.55,0.809
Sommerkroppen,6HqobDaKcIiv7iRierChsK,Mads Hansen,16029767.0,0.751,0.747,0.624
Ignite (feat. SEUNGRI),0UMLejbZXf7YVgnfxURvVr,K-391,15584078.0,0.575,0.486,0.866
Better Now,7dt6x5M1jzdTEt8oCbisTK,Post Malone,14611711.0,0.68,0.341,0.578
Solo (feat. Demi Lovato),6kPJZM97LwdG9QIsT7khp6,Clean Bandit,13130738.0,0.737,0.565,0.636
In My Mind,0E9ZjEAyAwOXZ7wJC0PD33,Dynoro,12794524.0,0.694,0.163,0.77
Flames,33IOhptvC2Qoy2UhjiHXLV,David Guetta,12754702.0,0.609,0.362,0.726
Remind Me to Forget,6xTU6B6nFwKKTSZ9ySXS80,Kygo,12631910.0,0.689,0.312,0.505
Drink About,2GGGm4MLQynB3I4E4ycIYC,Seeb,12577712.0,0.624,0.493,0.745
Nevermind,63SevszngYpZOwf63o61K4,Dennis Lloyd,11804191.0,0.6,0.0793,0.688
SAD!,3ee8Jmje8o58CHK66QrVC2,XXXTENTACION,11702601.0,0.74,0.473,0.613
Disco Demolition 2018 (Stabekk Anthem),04rjxIPsEtpM8Yj9UPy6Tt,J-Dawg,10529197.0,0.841,0.562,0.657
Sweet but Psycho,25sgk305KZfyuqVBQIahim,Ava Max,10388528.0,0.719,0.628,0.704
Youngblood,2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,10160126.0,0.596,0.152,0.854
Darkside,1snWlbcbgQpJfknoI30DWG,Alan Walker,10006151.0,0.425,0.112,0.642
One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,Calvin Harris,9744817.0,0.791,0.592,0.862
All For Love,5VGBgPVFO3e0lWz4WHYntQ,Tungevaag,9513797.0,0.689,0.651,0.901
God's Plan,2XW4DbS6NddZxRPm5rMCeY,Drake,9450072.0,0.758,0.373,0.448
Be Alright,3EPXxR3ImUwfayaurPi3cm,Dean Lewis,8948424.0,0.553,0.443,0.586
FRIENDS,08bNPGLD8AhKpnnERrAc6G,Marshmello,8850732.0,0.626,0.534,0.88
All Falls Down (feat. Juliander),5yFSF6qQA1rcLsQRnBsZgb,Alan Walker,8763149.0,0.658,0.662,0.678
Eastside (with Halsey & Khalid),0d2iYfpKoM0QCKvcLCkBao,benny blanco,8705056.0,0.56,0.319,0.68
Shotgun,3XLuehOxBsDJoN3RBO2wfX,TIX,8352795.0,0.707,0.855,0.791
Jackie Chan,4kWO6O1BUXcZmaxitpVUwp,Tiësto,8130161.0,0.747,0.687,0.834
Perfect,0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,8066569.0,0.599,0.168,0.448
IDGAF,76cy1WJvNGJTj78UqeA5zr,Dua Lipa,7919543.0,0.836,0.51,0.544
Girls Like You (feat. Cardi B),7fa9MBXhVfQ8P8Df9OEbD8,Maroon 5,7781619.0,0.851,0.448,0.541
Taste (feat. Offset),5IaHrVsrferBYDm0bDyABy,Tyga,7641346.0,0.884,0.342,0.559
Born To Be Yours,0kHyKhJMukHEPfeh8s7rdM,Kygo,7605480.0,0.688,0.451,0.688
Jocelyn Flores,7m9OqQk4RVRkw9JJdeAw96,XXXTENTACION,7539606.0,0.872,0.437,0.391
I Like It,58q2HKrzhC3ozto2nDdN4z,Cardi B,7466676.0,0.816,0.65,0.726
Rise,3u1S1OmAUhx5DRlLrXqyp3,Jonas Blue,7426775.0,0.69,0.669,0.784
changes,7AFASza1mXqntmGtbxXprO,XXXTENTACION,7415877.0,0.669,0.52,0.308
Diamond Heart,4J4zx8xGJpuGndrVc06KaT,Alan Walker,7374678.0,0.499,0.253,0.638
no tears left to cry,5SxkdsY1ufZzoq9iXceLw9,Ariana Grande,7246302.0,0.703,0.366,0.696
Lullaby,0DhkTGjEaIHaSxTfC14BFm,R3HAB,7072854.0,0.626,0.258,0.8
River (feat. Ed Sheeran),5UEnHoDYpsxlfzWLZIc7LD,Eminem,6816580.0,0.757,0.693,0.748
Say Love,1csB4kgdyglOQdH0EyFIqy,James TW,6753057.0,0.753,0.549,0.457
Ocean (feat. Khalid),3nc420PXjTdBV5TN0gCFkS,Martin Garrix,6628025.0,0.506,0.221,0.693
Heaven,4QfNOZN7vrQCQKK1ZJ3XPb,Julia Michaels,6571706.0,0.544,0.322,0.379
Strongest,7FIcIjKaQJpy0vWWFZMZGH,Ina Wroldsen,6441675.0,0.538,0.334,0.595
The Half,0oBsVtrDebt26nMG1Rm9X5,Ruben,6404340.0,0.618,0.35,0.651
In My Feelings,2G7V7zsVDxg1yRsu7Ew9RJ,Drake,6386115.0,0.835,0.35,0.626
I Wanna Know (feat. Bea Miller),18W92Zm1KjLCbUIszOhpkD,NOTD,6285041.0,0.661,0.605,0.725
Mother,3nHtJ3HtqFomq1Qz7OzRR0,Ina Wroldsen,6259125.0,0.61,0.323,0.524
Moonlight,0JP9xo3adEtGSdUEISiszL,XXXTENTACION,6139956.0,0.921,0.711,0.537
