Track Name,spotify_id,Artist,Streams,Danceability,Valence,Energy
Te Boté - Remix,3V8UKqhEK5zBkBb6d6ub8i,Nio Garcia,15313199.0,0.903,0.442,0.675
Me Niego (feat. Ozuna & Wisin),6jA8JUuPCGYjFcgw0AoM5T,Reik,12933726.0,0.777,0.768,0.779
Sin Pijama,2ijef6ni2amuunRoKTlgww,Becky G,12389742.0,0.791,0.82,0.745
Por Perro,2alIsNw1mqEShbWyO1HXZZ,Sebastian Yatra,11402177.0,0.684,0.892,0.762
La player (Bandolera),0VKkyBKCXyR99navhVRqcP,Zion & Lennox,11006827.0,0.769,0.602,0.838
Cuando Te Besé,2XXMDz7SPZ4mSFN1PXfHUy,Becky G,10835577.0,0.772,0.295,0.732
Te Amo,2RVrdr062uLFxXwIxwdXPH,Piso 21,10589220.0,0.849,0.63,0.724
Amantes,3IyPnNX142pvWx6D5CiimD,Greeicy,10536131.0,0.8,0.637,0.681
X,39N9RPD9MRb5WmoLzNzPeA,Nicky Jam,10417526.0,0.595,0.711,0.773
No Es Justo,5qFeMRz4TvetPmzjre9Dq7,J Balvin,10203700.0,0.684,0.721,0.811
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",4w8niZpiMy6qz1mntFA5uM,DJ Snake,9445351.0,0.842,0.617,0.801
Criminal,6Za3190Sbw39BBC77WSS1C,Natti Natasha,9229663.0,0.814,0.839,0.813
Dembow,2EzRdhuoPyNJDlep7lnNf2,Danny Ocean,9156513.0,0.802,0.45,0.744
Sensualidad,5hcisvFMidkMJlElTO9Qmw,Bad Bunny,8800971.0,0.807,0.676,0.681
Vaina Loca,48zFZh27QU5qsrBjn4C2FA,Ozuna,8472872.0,0.754,0.555,0.805
Dura,2j2fIJGh4PMdXt9ULI5Tlc,Daddy Yankee,8457916.0,0.786,0.819,0.846
Duro y Suave,31M5m42C3EGlbydf9XB5to,Leslie Grace,8407531.0,0.769,0.618,0.721
Nena Maldicion (feat. Lenny Tavarez),3TnhQSRwT3AVMdXw5JPq0x,Paulo Londra,8216565.0,0.762,0.379,0.631
Esperándote,1nfyE13arjOuO54HH0zmqj,Manuel Turizo,8211554.0,0.697,0.313,0.648
