Track Name,spotify_id,Artist,Streams,Danceability,Valence,Energy
Te Boté - Remix,3V8UKqhEK5zBkBb6d6ub8i,Nio Garcia,3122387.0,0.903,0.442,0.675
Toda - Remix,7nD2JPaxIKUdxd2UWgnaGL,Alex Rose,2966185.0,0.512,0.368,0.451
La player (Bandolera),0VKkyBKCXyR99navhVRqcP,Zion & Lennox,2808884.0,0.769,0.602,0.838
No Es Justo,5qFeMRz4TvetPmzjre9Dq7,J Balvin,2540266.0,0.684,0.721,0.811
Nena Maldicion (feat. Lenny Tavarez),3TnhQSRwT3AVMdXw5JPq0x,Paulo Londra,2486933.0,0.762,0.379,0.631
Quiere Beber,3rPAD722s5FFNnwjC91t7Z,Anuel AA,2402369.0,0.773,0.772,0.57
Te Amo,2RVrdr062uLFxXwIxwdXPH,Piso 21,2384865.0,0.849,0.63,0.724
Me Niego (feat. Ozuna & Wisin),6jA8JUuPCGYjFcgw0AoM5T,Reik,2353656.0,0.777,0.768,0.779
Hipócrita,6XBjCetHKdO5L9cwMDVffw,Anuel AA,2269411.0,0.79,0.79,0.858
Madura (feat. Bad Bunny),0r9d60ZYPAlFHq8qnUtkXN,Cosculluela,2150050.0,0.878,0.751,0.555
Por Perro,2alIsNw1mqEShbWyO1HXZZ,Sebastian Yatra,2057668.0,0.684,0.892,0.762
Dembow,2EzRdhuoPyNJDlep7lnNf2,Danny Ocean,2021706.0,0.802,0.45,0.744
Sin Pijama,2ijef6ni2amuunRoKTlgww,Becky G,1962250.0,0.791,0.82,0.745
Vaina Loca,48zFZh27QU5qsrBjn4C2FA,Ozuna,1933065.0,0.754,0.555,0.805
Síguelo Bailando,5Y9fnynLlIvqtM710MHzfz,Ozuna,1928578.0,0.855,0.626,0.664
X,39N9RPD9MRb5WmoLzNzPeA,Nicky Jam,1905455.0,0.595,0.711,0.773
Solita,7rwX0O3RlxqqIjQM8evm5E,Ozuna,1818910.0,0.807,0.325,0.633
MIA (feat. Drake),116H0KvKr2Zl4RPuVBruDO,Bad Bunny,1777282.0,0.817,0.158,0.539
Esperándote,1nfyE13arjOuO54HH0zmqj,Manuel Turizo,1759071.0,0.697,0.313,0.648
Sensualidad,5hcisvFMidkMJlElTO9Qmw,Bad Bunny,1735680.0,0.807,0.676,0.681
Cuando Te Besé,2XXMDz7SPZ4mSFN1PXfHUy,Becky G,1719710.0,0.772,0.295,0.732
BEBE,7ATATJztoWLcqDAcVVof0C,6ix9ine,1715896.0,0.635,0.286,0.902
Calma - Remix,5iwz1NiezX7WWjnCgY5TH4,Pedro Capó,1711141.0,0.826,0.761,0.773
Dura,2j2fIJGh4PMdXt9ULI5Tlc,Daddy Yankee,1688423.0,0.786,0.819,0.846
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",4w8niZpiMy6qz1mntFA5uM,DJ Snake,1688201.0,0.842,0.617,0.801
Asesina,6rbhaJsE4uLzpPf8WYSHDK,Brytiago,1683062.0,0.845,0.508,0.663
Amorfoda,3ITvHA9zhZZdBJsOsAUegF,Bad Bunny,1650132.0,0.742,0.252,0.432
Déjala Que Vuelva (feat. Manuel Turizo),33bnxcjePIkcmNjEFTJX0l,Piso 21,1641591.0,0.681,0.839,0.788
Puntos Suspensivos,04cd1MHVq1D8v1nuTZoCdv,Piso 21,1608210.0,0.823,0.952,0.731
Loca Remix,2CRbiMK0W14l71SpDKqKZM,KHEA,1479605.0,0.795,0.537,0.751
Mala Mía,62o8KoI44JfN7aYxgTnPvh,Maluma,1456694.0,0.749,0.901,0.752
Criminal,6Za3190Sbw39BBC77WSS1C,Natti Natasha,1405638.0,0.814,0.839,0.813
Culpables,6q8Lb50EtqNeeJXXe8mMAH,KAROL G,1403950.0,0.728,0.416,0.801
Quiero Repetir,0MIcPSq9n2z5H8TAfEstri,Ozuna,1393526.0,0.608,0.482,0.753
Downtown,3Ga6eKrUFf12ouh9Yw3v2D,Anitta,1342002.0,0.775,0.619,0.679
PPP,1DcxnVNFAyVl2sDQ646pXS,Kevin Roldan,1324745.0,0.786,0.712,0.65
Adan y Eva,6FyRXC8tJUh863JCkyWqtk,Paulo Londra,1295929.0,0.767,0.72,0.709
Ya No Tiene Novio,7uQmJ1jgNzBpATSoWKSPFu,Sebastian Yatra,1211351.0,0.632,0.784,0.832
"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",5q2JbCNi4FcnglgPfxcV65,Anuel AA,1207046.0,0.639,0.767,0.869
Bella,4R55IUi2x7S5ek2SpebOiE,Wolfine,1171919.0,0.909,0.844,0.493
El Farsante - Remix,7uYgVgRSgqluZclLS7wpp4,Ozuna,1166368.0,0.737,0.386,0.742
Clandestino,7DrluKkTviBwCc8AV3VGmf,Shakira,1162722.0,0.766,0.881,0.822
Se Preparó,1m69ELEgE6k5ZWsap40ozt,Ozuna,1155597.0,0.739,0.693,0.821
I Like It,58q2HKrzhC3ozto2nDdN4z,Cardi B,1154978.0,0.816,0.65,0.726
Estamos Bien,7glCSQqV5o6NU88Cn4zPZn,Bad Bunny,1146732.0,0.793,0.468,0.557
Dura - Remix,6U2NuJILEOEpW2tVCuqKHb,Daddy Yankee,1125575.0,0.772,0.853,0.803
Brindemos,7LeQ55Z5jPBB0ggYJtAiYO,Anuel AA,1078684.0,0.812,0.358,0.66
Chica Paranormal,2r77vqSZkOktTSgmAOoHsV,Paulo Londra,1072038.0,0.84,0.71,0.596
Bubalu,7dNwJbsT0sg1le5kVugGJb,Becky G,1066064.0,0.8,0.253,0.355
Jogo do Amor,3MxbRHE1u74SoMNR9iURIZ,MC Bruninho,1027304.0,0.758,0.857,0.52
