Track Name,spotify_id,Artist,Streams,Danceability,Valence,Energy
Geceler,0R0o8uOkDz40XsR6uwThfQ,Ezhel,22202589,0.788,0.339,0.497
Heyecanı Yok,4sa0pXDdQkBZ1r5NZWQJyV,Gazapizm,16960496,0.632,0.339,0.843
Yalnız Çiçek,4CCYUYAzFBvD2omNu9EGPI,Aleyna Tilki,16760282,0.737,0.413,0.844
İmkansızım,5Y3ZTBwRNrgj3AlXYASvDe,Ezhel,15807620,0.83,0.692,0.515
Elbet Bir Gün,1PJ1BbGaVmLogYicLKoZix,Canbay & Wolker,13457367,0.655,0.396,0.616
Kazıdık Tırnaklarla,27OWNTEEtJCFVejrh5mqgv,Ezhel,13005184,0.704,0.358,0.521
Vuracak,1jCv5QxEnfPyup6Kha3hNh,Merve Özbey,12851954,0.689,0.632,0.854
Mary Jane (Radio Edit),51agJccRxKI5dqGJFkTojo,Burry Soprano,11827956,0.871,0.0951,0.561
Şehrimin Tadı,5JaXKUIcNxwSuUyD4CsphL,Ezhel,11611570,0.847,0.302,0.636
Sen,4D0VkzOK8b4fzaCDX0KvGl,İdo Tatlıses,10720769,0.609,0.8,0.862
Yanıyoruz,2BJkinM7TmdcsDGNvmZds8,Burak King,10644294,0.463,0.455,0.642
Hiç Işık Yok,2noHL0PeH7WjRSLBjWxU4Q,No.1,10615544,0.453,0.117,0.449
FRIENDS,08bNPGLD8AhKpnnERrAc6G,Marshmello,10585865,0.626,0.534,0.88
One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,Calvin Harris,10173174,0.791,0.592,0.862
Pavyon (feat. Ezhel),1ilFULm3dQtAPMpNIQz5RJ,Artz,9509393,0.799,0.435,0.8
Bu Benim Öyküm,0OyfyAIHIdERPduy0omDj4,Eli Türkoğlu,9418065,0.536,0.322,0.628
Dinle Beni Bi',11PO9iu6PtpgL1JK4QNUEJ,Yüzyüzeyken Konuşuruz,9266771,0.557,0.543,0.683
Alo,3hdXIz9eY9u5QoEUkBs5yN,Ezhel,8822329,0.796,0.551,0.57
Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W,Camila Cabello,8645723,0.765,0.394,0.523
Suspus,1JvUmKSl9Mg6mQnmbjLYyz,Ceza,8516691,0.824,0.522,0.708
Bazen (feat. Emel),6qkXhA5mVvG1DLyliRS1Yf,Ezhel,8270338,0.696,0.962,0.6
IDGAF,76cy1WJvNGJTj78UqeA5zr,Dua Lipa,8203613,0.836,0.51,0.544
Ne Farkeder,23KSyhPMqyUVrrLo300YiW,Yüzyüzeyken Konuşuruz,8124836,0.567,0.625,0.626
Lafügüzaf,3pZDZloBhUwlKA5O6JzXXa,Gökhan Türkmen,8090891,0.488,0.263,0.447
New Rules,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,7953149,0.762,0.608,0.7
Bileklerime Kadar Acıyo,5MS3WBYfG0ESHzc6WnB9aZ,İdo Tatlıses,7897751,0.602,0.587,0.732
Ben Bazen,27lKzu8eKwNUxtTUvSDpBN,Simge,7701900,0.713,0.733,0.676
Bodrum,7DarbtpxRUG5POF3ifwu61,Yüzyüzeyken Konuşuruz,7638214,0.536,0.319,0.462
Kalbim Çukurda,4JGbgwywXpX5CYHwq1VT1S,Gazapizm,7600809,0.533,0.329,0.887
Öyle Kolaysa,4VUqgwjcye1knvDU7xyLBK,Mabel Matiz,7460907,0.584,0.577,0.676
Yak Yak Yak,4GjIoWGPLf7C8LcjK1UNlS,Şehinşah,7446135,0.756,0.372,0.606
Kibir,5EzaGJdyyvIekeLFdWA7iY,Contra,7426908,0.843,0.663,0.796
Gömün Beni Çukura,5dLtu0lS5pP9ivMerk3uMA,Eypio,7416845,0.761,0.327,0.431
A Canım,6GxaMyQYnqqASQKNYY4Tub,Mabel Matiz,7396997,0.582,0.556,0.833
In My Feelings,2G7V7zsVDxg1yRsu7Ew9RJ,Drake,7196862,0.835,0.35,0.626
Yalan,1qCjcG3qbzUxdA0wt1Zvea,EDIS,7182914,0.805,0.464,0.67
An,4ffl5sr8fDkNhjCSsxXNe8,EDIS,7090991,0.709,0.746,0.687
In My Mind,0E9ZjEAyAwOXZ7wJC0PD33,Dynoro,6984371,0.694,0.163,0.77
Beni Vur - Akustik,3CPBzUohQI0fVoFFMSZouO,Deniz Tekin,6900833,0.474,0.391,0.238
Tamam Tamam,2eRq2jwsZtb0uGH4qUsvT1,Summer Cem,6731218,0.886,0.581,0.642
Solo (feat. Demi Lovato),6kPJZM97LwdG9QIsT7khp6,Clean Bandit,6540409,0.737,0.565,0.636
Bir Derdim Var,5oecOcmSEHs7MZiB0NPbFu,mor ve ötesi,6490221,0.586,0.426,0.89
Beni Sen İnandır,1rY4UYyZ3PcuYgWIddkcnL,Pinhani,6448989,0.825,0.838,0.4
Sandal,7ouMGV7ScnMUGXKFGAGjXe,Yüzyüzeyken Konuşuruz,6426875,0.604,0.288,0.568
rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt,Post Malone,6418261,0.585,0.129,0.52
KAFA10,7fUGWMgLzsVdID1eKoPm3b,Anıl Piyancı,6393041,0.777,0.544,0.668
Roman,1GeGwhJSkJGQLeZ7mdvDdm,EDIS,6244294,0.746,0.359,0.633
I Like It,58q2HKrzhC3ozto2nDdN4z,Cardi B,6116120,0.816,0.65,0.726
God's Plan,2XW4DbS6NddZxRPm5rMCeY,Drake,5977201,0.758,0.373,0.448
Catla,7xLuitKqUvy1854AiGaLY0,Velet,5974039,0.863,0.395,0.574
