Track Name,spotify_id,Artist,Streams,Danceability,Valence,Energy
God's Plan,2XW4DbS6NddZxRPm5rMCeY,Drake,327029215,0.758,0.373,0.448
SAD!,3ee8Jmje8o58CHK66QrVC2,XXXTENTACION,320911007,0.74,0.473,0.613
Look Alive (feat. Drake),4qKcDkK6siZ7Jp1Jb4m0aL,BlocBoy JB,268178220,0.922,0.595,0.581
Better Now,7dt6x5M1jzdTEt8oCbisTK,Post Malone,254685346,0.68,0.341,0.578
Moonlight,0JP9xo3adEtGSdUEISiszL,XXXTENTACION,249897971,0.921,0.711,0.537
I Like It,58q2HKrzhC3ozto2nDdN4z,Cardi B,239838666,0.816,0.65,0.726
SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,Travis Scott,227155059,0.834,0.446,0.73
I Fall Apart,75ZvA4QfFiZvzhj2xkaWAh,Post Malone,207064482,0.556,0.291,0.538
Ric Flair Drip (& Metro Boomin),7sO5G9EABYOXQKNPNiE9NR,Offset,203613466,0.88,0.333,0.428
Jocelyn Flores,7m9OqQk4RVRkw9JJdeAw96,XXXTENTACION,197242313,0.872,0.437,0.391
Yes Indeed,6vN77lE9LK6HP2DewaN6HZ,Lil Baby,194709529,0.963,0.562,0.346
Psycho (feat. Ty Dolla $ign),3swc6WTsr7rl9DqQKQA55C,Post Malone,189325836,0.75,0.459,0.56
Lucid Dreams,0s3nnoMeVWz3989MkNQiRf,Juice WRLD,184851979,0.511,0.218,0.566
Taste (feat. Offset),5IaHrVsrferBYDm0bDyABy,Tyga,184094816,0.884,0.342,0.559
In My Feelings,2G7V7zsVDxg1yRsu7Ew9RJ,Drake,175176427,0.835,0.35,0.626
Fuck Love (feat. Trippie Redd),7AQim7LbvFVZJE3O8TYgf2,XXXTENTACION,172480669,0.797,0.329,0.533
Love Lies (with Normani),45Egmo7icyopuzJN0oMEdk,Khalid,172142149,0.708,0.338,0.648
FEFE (feat. Nicki Minaj & Murda Beatz),2E124GmJRnBJuXbTb4cPUB,6ix9ine,162724547,0.931,0.376,0.387
Walk It Talk It,6n4U3TlzUGhdSFbUUhTvLP,Migos,160717189,0.907,0.395,0.633
Nice For What,1cTZMwcBJT0Ka3UJPXOeeN,Drake,156614276,0.567,0.792,0.913
Stir Fry,2UVbBKQOdFAekPTRsnkzcf,Migos,155871976,0.817,0.508,0.816
changes,7AFASza1mXqntmGtbxXprO,XXXTENTACION,155835953,0.669,0.52,0.308
XO Tour Llif3,7GX5flRQZVHRAGd6B4TmDO,Lil Uzi Vert,152594243,0.732,0.401,0.75
rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt,Post Malone,151145236,0.585,0.129,0.52
"King's Dead (with Kendrick Lamar, Future & James Blake)",51rXHuKN8Loc4sUlKPODgH,Jay Rock,143963758,0.645,0.376,0.705
Nonstop,0TlLq3lA83rQOYtrqBqSct,Drake,138542896,0.912,0.423,0.412
All The Stars (with SZA),3GCdLUSnKSMJhs4Tj6CV3s,Kendrick Lamar,133120495,0.698,0.552,0.633
Congratulations,3a1lNhkSLSkpJE4MSHpDu9,Post Malone,132344503,0.63,0.492,0.804
Girls Like You (feat. Cardi B),7fa9MBXhVfQ8P8Df9OEbD8,Maroon 5,129172950,0.851,0.448,0.541
"thank u, next",2rPE9A1vEgShuZxxzR2tZH,Ariana Grande,126653228,0.724,0.435,0.647
Everybody Dies In Their Nightmares,3GVkPk8mqxz0itaAriG1L7,XXXTENTACION,126453791,0.734,0.689,0.57
HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,125984398,0.908,0.421,0.621
Call Out My Name,1gm616Plq4ScqNi7TVkZ5N,The Weeknd,125774268,0.489,0.172,0.598
Nowadays (feat. Landon Cube),2u7mxWSeoqTXndK5e08jMp,Lil Skies,123119332,0.745,0.46,0.646
Mo Bamba,1xzBco0xcoJEDXktl7Jxrr,Sheck Wes,117594534,0.729,0.261,0.625
Young Dumb & Broke,5Z3GHaZ6ec9bsiI5BenrbY,Khalid,117586455,0.798,0.394,0.539
Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W,Camila Cabello,117576425,0.765,0.394,0.523
Happier,2dpaYNEQHiRxtZbfNsse99,Marshmello,117500586,0.687,0.671,0.792
goosebumps,6gBFPUFcJLzWGx4lenP6h2,Travis Scott,114210768,0.841,0.43,0.728
Drip Too Hard (Lil Baby & Gunna),78QR3Wp35dqAhFEc2qAGjE,Lil Baby,113585090,0.897,0.389,0.662
JAPAN,5PTG6rrL6EPFD9E2QMI2pl,Famous Dex,112921935,0.733,0.841,0.678
Red Roses (feat. Landon Cube),3ZhTT6yjZwpPph5MIJ53XY,Lil Skies,112600319,0.691,0.456,0.683
Eastside (with Halsey & Khalid),0d2iYfpKoM0QCKvcLCkBao,benny blanco,112391691,0.56,0.319,0.68
Psycho (feat. Ty Dolla $ign),65NwOZqoXny4JxqAPlfxRF,Post Malone,110589961,0.74,0.421,0.558
lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,Billie Eilish,108722807,0.351,0.12,0.296
Roll in Peace (feat. XXXTENTACION),40oKW22ZNNkEdZLJTScaQI,Kodak Black,108098254,0.747,0.363,0.524
Youngblood,2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,107634514,0.596,0.152,0.854
Bank Account,2fQrGHiQOvpL9UgPvtYy6G,21 Savage,106858146,0.884,0.376,0.346
Meant to Be (feat. Florida Georgia Line),7iDa6hUg2VgEL1o1HjmfBn,Bebe Rexha,105687166,0.643,0.579,0.783
Location,152lZdxL1OR0ZMW6KquMif,Khalid,104447017,0.736,0.326,0.449
