Track Name,spotify_id,Artist,Streams
Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,Tones And I,6226662
bad guy,2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,5772037
Wieder Lila,2kkcJ8tSDV42LdWcPjy6We,Samra,4816619
500 PS,4UOXo3xWnxYdTf3sFyRaUG,Bonez MC,4525876
Sweet but Psycho,25sgk305KZfyuqVBQIahim,Ava Max,3939424
2x,2pu5rVWy3zPlgypJzL3Mlw,Mathea,3596173
High Hopes,1rqqCSm0Qe4I9rUvWncaom,Panic! At The Disco,3334673
Señorita,6v3KW9xbzN5yKLt9YKDYA2,Shawn Mendes,3294909
Tilidin,1VEMUkGFio5uURvN8x1DZJ,Capital Bra,3278227
Someone You Loved,7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,3221883
Rolex,38lQ7lYhN3eSWepnZHaiBF,Capital Bra,3135140
Tausend Tattoos,2PAYSgrVOBz8RJqp9B7QLu,Sido,2902311
Kokain,4Bj3usjRTckEJARO0dLbDf,Bonez MC,2889288
Piece Of Your Heart,1DFD5Fotzgn6yYXkYsKiGs,MEDUZA,2800205
Don't Call Me Up,5WHTFyqSii0lmT9R21abT8,Mabel,2777398
Shallow,2VxeLyX666F8uXCJ0dZF8B,Lady Gaga,2766493
Rescue Me,0mjAU3yKR1QnXnHtjGJqTM,OneRepublic,2742223
Beautiful People (feat. Khalid),70eFcWOvlMObDhURTqT4Fv,Ed Sheeran,2721836
Perfekt (feat. Sofiane),38KR9aB0bPkjM4gKhKr7tr,RAF Camora,2721750
"Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)",4Nip6oiJU24LqcUEi7u19S,KitschKrieg,2603750
In My Mind,0E9ZjEAyAwOXZ7wJC0PD33,Dynoro,2546626
Roller,6hw1Sy9wZ8UCxYGdpKrU6M,Apache 207,2520976
110,67ojvEGRPAUCOohuMPqoRC,Capital Bra,2516800
Wolke 10,200cTjC6si5Xz9af2QeHi2,MERO,2506610
Diamonds (feat. Capital Bra),2QpxC2yag7Ec7Ut1dovXKb,Summer Cem,2459067
Speechless (feat. Erika Sirola),1rCcsYnmqbMYdkG7kS9GC5,Robin Schulz,2455787
Gib Ihm,5iIgIxtMNeogKaFUfvuAbs,SHIRIN DAVID,2414701
Con Calma,5w9c2J52mkdntKOmRLeM2m,Daddy Yankee,2362145
Old Town Road (feat. Billy Ray Cyrus) - Remix,6u7jPi22kF8CTQ3rb9DHE7,Lil Nas X,2356054
Prinzessa,0Tq0EhQpVeQJwV3E3P5Jti,Capital Bra,2339016
Roller,5dhQeuLGmlhfwlI6BWfSpo,Apache 207,2304384
Prinzessa,7r55d7IhAj5UGKiYbXBwRP,Capital Bra,2302060
Vermissen (feat. Henning May),07f2b3CTdgKKlhv0mqUksz,Juju,2269743
Bad Liar,2RSHsoi04658QL5xgQVov3,Imagine Dragons,2222702
Let Me Down Slowly,2qxmye6gAegTMjLKEBoR3d,Alec Benjamin,2203292
Chaos,74GrgSGucjqiQ0l7ptknoB,Mathea,2180450
I Don't Care (with Justin Bieber),0hVXuCcriWRGvwMV1r5Yn9,Ed Sheeran,2179930
7 rings,6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,2145097
Goodbyes (Feat. Young Thug),6vBdBCoOhKHiYDDOcorfNo,Post Malone,2141053
Vincent,7vs1Yi6SUphHp0eW6ys8HG,Sarah Connor,2126995
Happier,2dpaYNEQHiRxtZbfNsse99,Marshmello,2125660
Cherry Lady,3r1cV21xPMkgCmxk8VqWOB,Capital Bra,2118754
Wow.,6MWtB6iiXyIwun0YzU6DFP,Post Malone,2100218
DNA,43DtCXAz2qUJ4YiTX6ICT0,KC Rebell,2084101
Honda Civic,0WFgtxiLNr99YaoSdYR3Ud,The Cratez,2066678
JAJA,5z3vuYzS9UF6rD6TmBEdUf,Fero47,2045571
Neptun,3GmfHF5RUe6r5C9UbvIXQp,KC Rebell,2027258
Huracan,6AFIVhbJLR7YVvW9fLFMu1,Samra,2013697
Old Town Road,53CJANUxooaqGOtdsBTh7O,Lil Nas X,2005781
Benzema,7KPGeiXWDsGEvFK62wzU8E,Capital Bra,1985198
