Track Name,spotify_id,Artist,Streams
Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,Tones And I,10267560
bad guy,2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,10069522
Don't Call Me Up,5WHTFyqSii0lmT9R21abT8,Mabel,8534340
Someone You Loved,7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,7972843
Shallow,2VxeLyX666F8uXCJ0dZF8B,Lady Gaga,7678175
Piece Of Your Heart,1DFD5Fotzgn6yYXkYsKiGs,MEDUZA,7575437
Hoe Het Danst,5cYOVkA2cnjKid9yigaMwq,Marco Borsato,7490794
Let Me Down Slowly,2qxmye6gAegTMjLKEBoR3d,Alec Benjamin,7288067
Señorita,6v3KW9xbzN5yKLt9YKDYA2,Shawn Mendes,6820963
Giant (with Rag'n'Bone Man),5itOtNx0WxtJmi1TQ3RuRd,Calvin Harris,6755150
Sweet but Psycho,25sgk305KZfyuqVBQIahim,Ava Max,6523048
Con Calma,5w9c2J52mkdntKOmRLeM2m,Daddy Yankee,6389012
Balance ton quoi,2jX5c5RFp0A9E1GDsvGxIa,Angèle,6206618
7 rings,6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,6179024
Pookie,2QpUWi6VSNOt2WyH5FIeLD,Aya Nakamura,6094324
High Hopes,1rqqCSm0Qe4I9rUvWncaom,Panic! At The Disco,6012191
Tout oublier,06O3hxudc6V0BOuoCFSy71,Angèle,5514084
Old Town Road (feat. Billy Ray Cyrus) - Remix,6u7jPi22kF8CTQ3rb9DHE7,Lil Nas X,5356722
Instagram,0U6bQIAh6MCGo1xjbIIx2S,Dimitri Vegas & Like Mike,5108283
Lalala,51Fjme0JiitpyXKuyQiCDo,Y2K,5053564
Loco Contigo (feat. J. Balvin & Tyga),6osaMSJh9NguagEDQcZaKx,DJ Snake,4978537
Happier,2dpaYNEQHiRxtZbfNsse99,Marshmello,4803343
I Don't Care (with Justin Bieber),0hVXuCcriWRGvwMV1r5Yn9,Ed Sheeran,4627853
Always Remember Us This Way,2rbDhOo9Fh61Bbu23T2qCk,Lady Gaga,4564766
Beautiful People (feat. Khalid),70eFcWOvlMObDhURTqT4Fv,Ed Sheeran,4543358
Wow.,6MWtB6iiXyIwun0YzU6DFP,Post Malone,4247258
Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,Sam Smith,4058113
Old Town Road,53CJANUxooaqGOtdsBTh7O,Lil Nas X,4050933
So Am I,0uUNN1nSoUx1A4fkDCWDQ7,Ava Max,3992683
SOS (feat. Aloe Blacc),2x0RZdkZcD8QRI53XT4GI5,Avicii,3981601
Goodbyes (Feat. Young Thug),6vBdBCoOhKHiYDDOcorfNo,Post Malone,3946026
In My Mind,0E9ZjEAyAwOXZ7wJC0PD33,Dynoro,3934526
Speechless (feat. Erika Sirola),1rCcsYnmqbMYdkG7kS9GC5,Robin Schulz,3918425
Without Me,5p7ujcrUXASCNwRaWNHR1C,Halsey,3900375
All Around The World (La La La),02itaCXOdC54J0ISjqqFAp,R3HAB,3882540
bury a friend,4SSnFejRGlZikf02HLewEF,Billie Eilish,3869390
Ritual,3M9Apu4OZfylLTFKvgEtKa,Tiësto,3775716
Old Town Road - Remix,2YpeDb67231RjR0MgVLzsG,Lil Nas X,3772788
when the party's over,43zdsphuZLzwA9k4DJhU0I,Billie Eilish,3756991
Arcade,1Xi84slp6FryDSCbzq4UCD,Duncan Laurence,3707328
Power Over Me,0OGNtqKkjI7FCE9HZ4Khgo,Dermot Kennedy,3671108
Djadja,7sKDftgGirHWTVFMtJoDoh,Aya Nakamura,3616587
Ride It,2tnVG71enUj33Ic2nFN6kZ,Regard,3591885
Als Het Avond Is,3ciQQMSy1lKDqJbwU9l1LT,Suzan & Freek,3558145
Youngblood,2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,3551863
Bad Liar,2RSHsoi04658QL5xgQVov3,Imagine Dragons,3542264
How Do You Sleep?,6b2RcmUt1g9N9mQ3CbjX2Y,Sam Smith,3451539
Higher Love,6oJ6le65B3SEqPwMRNXWjY,Kygo,3393553
Leef,1MZkpg4JmhAWCvysue8VDd,André Hazes Jr.,3308586
I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,Ed Sheeran,3265758
