Track Name,spotify_id,Artist,Streams
Otro Trago,1Ej96GIBCTvgH7tNX1r3qr,Sech,3123138.0
Callaita,2TH65lNHgvLxCKXM3apjxI,Bad Bunny,2820482.0
Secreto,5W83ErFkO3aKAIS1WMi6u0,Anuel AA,2813694.0
Con Calma,5w9c2J52mkdntKOmRLeM2m,Daddy Yankee,2769323.0
Te Vi,059bcIhyc2SBwm6sw2AZzd,Piso 21,2626014.0
LA CANCIÓN,0fea68AdmYNygeTGI4RC18,J Balvin,2547095.0
China,2ksOAxtIxY8yElEWw8RhgK,Anuel AA,2527128.0
Calma - Remix,5iwz1NiezX7WWjnCgY5TH4,Pedro Capó,2472276.0
11 PM,7KbF6AdprOXEEHlsq11Z6d,Maluma,2358358.0
No Me Conoce - Remix,4R8BJggjosTswLxtkw8V7P,Jhay Cortez,2144750.0
Verte Ir,4lzxJ4jCuFDXXGkE1LmpKR,DJ Luian,1890334.0
Amanece,1LiN0Z98FkR1t0m8KmLcAH,Anuel AA,1859231.0
Soltera - Remix,1c0hsvHLELX6y8qymnpLKL,Lunay,1839914.0
Pa Mí - Remix,7g8YaUQABMal0zWe7a2ijz,Dalex,1828087.0
Que Mas Pues - Remix,7fODjB7BrQTGqh0hogW6XD,Sech,1788377.0
Con Altura,2qG5sZ7Si6sdK74qLxedYM,ROSALÍA,1776033.0
Tutu,1nocRtwyNPVtGcIJqfgdzZ,Camilo,1727155.0
Desconocidos,56f5qnyAlZdlz8wrUDA50h,Mau y Ricky,1680018.0
Pa' Olvidarme De Ella,1cVlW9WQiGlFdWUXFdFZGh,Piso 21,1583632.0
Tal Vez,5jW3rF4URMdK7tO2xjS5EI,Paulo Londra,1577424.0
Otro Trago - Remix,4bTZeO72FwMa6wKOiqoynL,Sech,1577351.0
Desconocidos,0s5DNDV6LAKn2u2Ufa3VjQ,Mau y Ricky,1574921.0
Ya No Tiene Novio,7uQmJ1jgNzBpATSoWKSPFu,Sebastian Yatra,1519851.0
MIA (feat. Drake),116H0KvKr2Zl4RPuVBruDO,Bad Bunny,1515230.0
Puntos Suspensivos,04cd1MHVq1D8v1nuTZoCdv,Piso 21,1490129.0
Adan y Eva,6FyRXC8tJUh863JCkyWqtk,Paulo Londra,1483617.0
QUE PRETENDES,25ZAibhr3bdlMCLmubZDVt,J Balvin,1481444.0
Te Robaré,6v0lAdFF4haL8xjBIUjtOw,Nicky Jam,1450801.0
HP,1LIqNVhaIgxXUt2eVoIQJ3,Maluma,1417696.0
Ella Quiere Beber - Remix,3f5lA8nnc4YYF1qf78WpHw,Anuel AA,1378147.0
Cuaderno,7anSoGdgtmJTAPZBzcPhO6,Dalex,1336266.0
Un Año,2vrpcQNg6itmgVZWsNjWe0,Sebastian Yatra,1332887.0
Pa Olvidarte (feat. Manuel Turizo) - Remix,2ktoFujjJtantyMoVdBJlX,ChocQuibTown,1318299.0
Baila Baila Baila,7uH27oIt4a6cIFCA8ZPcyG,Ozuna,1279227.0
Aullando,7BuHdm4lQqcyG3qTwdkxus,Wisin & Yandel,1246033.0
Adictiva,6MJUCumnQsQEKbCy28tbCP,Daddy Yankee,1235192.0
Cuando Te Besé,2XXMDz7SPZ4mSFN1PXfHUy,Becky G,1227333.0
Señorita,6v3KW9xbzN5yKLt9YKDYA2,Shawn Mendes,1213469.0
No Te Vayas,4k9byIhs9ppbYWE22waJMB,Camilo,1155424.0
Por Perro,2alIsNw1mqEShbWyO1HXZZ,Sebastian Yatra,1123742.0
Esclavo de Tus Besos,3g4UyIcQwutiG0TfW32GnX,Manuel Turizo,1122359.0
HP,31UjYv5vLsDkzchJOtUMtW,Maluma,1102411.0
Vaina Loca,48zFZh27QU5qsrBjn4C2FA,Ozuna,1093876.0
La Boca,0UQwlF2pRkr1lMN6kNNUj3,Mau y Ricky,1085234.0
Tusa,7k4t7uLgtOxPwTpFmtJNTY,KAROL G,1065307.0
Pa Mí - Remix,224EVTFiLsdQignUFLvDeH,Dalex,1056243.0
Nunca Es Suficiente,63USmok1OioBzKuWGW9wAg,Los Ángeles Azules,1030872.0
Fantasias,6mAN61JH0dzyZpWslS11jy,Rauw Alejandro,1022585.0
Cristina,703iVQrfbQsXt7Uzgy1h8k,Sebastian Yatra,1020179.0
Bubalu,7dNwJbsT0sg1le5kVugGJb,Becky G,1019197.0
