Track Name,spotify_id,Artist,Streams
Callaita,2TH65lNHgvLxCKXM3apjxI,Bad Bunny,49393592.0
No Me Conoce - Remix,4R8BJggjosTswLxtkw8V7P,Jhay Cortez,47705396.0
China,2ksOAxtIxY8yElEWw8RhgK,Anuel AA,47247100.0
Otro Trago,1Ej96GIBCTvgH7tNX1r3qr,Sech,45668968.0
Amanece,1LiN0Z98FkR1t0m8KmLcAH,Anuel AA,44208945.0
Con Calma,5w9c2J52mkdntKOmRLeM2m,Daddy Yankee,43775846.0
Secreto,5W83ErFkO3aKAIS1WMi6u0,Anuel AA,41081354.0
Verte Ir,4lzxJ4jCuFDXXGkE1LmpKR,DJ Luian,40370362.0
No Te Enamores,0EJu1RBtxzldMG2peczuPv,Paloma Mami,37356322.0
Sigue Bailandome,0GmiGIxXDNrePrHBpijYDp,Yannc,36935069.0
Calma - Remix,5iwz1NiezX7WWjnCgY5TH4,Pedro Capó,36433661.0
Soltera - Remix,1c0hsvHLELX6y8qymnpLKL,Lunay,35505732.0
Fingías,7o0oY5wRcoV7oPuDhD2J1z,Paloma Mami,34056812.0
LA CANCIÓN,0fea68AdmYNygeTGI4RC18,J Balvin,32241589.0
Hookah & Sheridan s,3QfD4bxxkopZL7XZ8RaezH,Tommy Boysen,32044291.0
Adicto (with Anuel AA & Ozuna),3jbT1Y5MoPwEIpZndDDwVq,Tainy,28738264.0
Te Robaré,6v0lAdFF4haL8xjBIUjtOw,Nicky Jam,28640032.0
Pa Mí - Remix,7g8YaUQABMal0zWe7a2ijz,Dalex,28570241.0
Adictiva,6MJUCumnQsQEKbCy28tbCP,Daddy Yankee,28528668.0
Que Mas Pues - Remix,7fODjB7BrQTGqh0hogW6XD,Sech,28501017.0
Con Altura,2qG5sZ7Si6sdK74qLxedYM,ROSALÍA,27198762.0
Not Steady,42ArfZUgGo3k5btIHp08it,Paloma Mami,26908841.0
Otro Trago - Remix,4bTZeO72FwMa6wKOiqoynL,Sech,26467431.0
MIA (feat. Drake),116H0KvKr2Zl4RPuVBruDO,Bad Bunny,26358104.0
Cuaderno,7anSoGdgtmJTAPZBzcPhO6,Dalex,26094476.0
Fantasias,6mAN61JH0dzyZpWslS11jy,Rauw Alejandro,24957070.0
Si Se Da,5KbBGUpIZd6gVFUU8tqYiQ,Myke Towers,24580629.0
QUE PRETENDES,25ZAibhr3bdlMCLmubZDVt,J Balvin,23086340.0
Adan y Eva,6FyRXC8tJUh863JCkyWqtk,Paulo Londra,22965977.0
La Romana,1khmgu0pveJbkbpbkyvcQv,Bad Bunny,22731577.0
Si Se Da - Remix,6K5BsR04ijf3FHNzjbaagD,Myke Towers,22361135.0
Si Supieras,7MRU4vOkywuhZ9kbFiPuiu,Daddy Yankee,21969672.0
Baila Baila Baila,7uH27oIt4a6cIFCA8ZPcyG,Ozuna,21927601.0
Te Vi,059bcIhyc2SBwm6sw2AZzd,Piso 21,20998262.0
Tal Vez,5jW3rF4URMdK7tO2xjS5EI,Paulo Londra,20826130.0
Reggaetón en lo Oscuro,7LLXLd0pisbEAdIVK502VM,Wisin & Yandel,20728512.0
Que Le De,08aYFNUTIOMGq93e2VSArQ,Rauw Alejandro,20068853.0
Si Estuviésemos Juntos,35wvL50xvKpCHEJPxLOLPI,Bad Bunny,19564772.0
Aullando,7BuHdm4lQqcyG3qTwdkxus,Wisin & Yandel,19304428.0
Damelo,6OPl2rRpNsW1BZmtrSxP6X,Ceaese,19276923.0
Te Quiero Ver,6Xfz4YNwwIcFRyfW3QQZVp,Ceaese,19244722.0
Solo de Mi,4uP3pUP18ennmz0tb3GphR,Bad Bunny,18460778.0
Tutu,1nocRtwyNPVtGcIJqfgdzZ,Camilo,18072916.0
Ella Quiere Beber - Remix,3f5lA8nnc4YYF1qf78WpHw,Anuel AA,17952287.0
Guayo,4MR1AZhe1p0zTuH2HGhX9L,Zion & Lennox,17559625.0
"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)",684EjRHwNsZQ9hCQxL4NYL,Dímelo Flow,17300305.0
Cuerpo en Venta,2B94bbI1a4LyBpK1439oP7,Noriel,17278313.0
Cuando Te Besé,2XXMDz7SPZ4mSFN1PXfHUy,Becky G,17255319.0
Algún Día Volveras,27uAea0qcUz3a7jKnAT7KG,Santaferia,16899070.0
Bubalu,7dNwJbsT0sg1le5kVugGJb,Becky G,16733329.0
