Track Name,spotify_id,Artist,Streams
Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,Tones And I,72521569.0
Wieder Lila,2kkcJ8tSDV42LdWcPjy6We,Samra,61351536.0
bad guy,2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,61274227.0
Sweet but Psycho,25sgk305KZfyuqVBQIahim,Ava Max,50308267.0
Tilidin,1VEMUkGFio5uURvN8x1DZJ,Capital Bra,47798814.0
Vermissen (feat. Henning May),07f2b3CTdgKKlhv0mqUksz,Juju,46868132.0
Roller,5dhQeuLGmlhfwlI6BWfSpo,Apache 207,45165322.0
500 PS,4UOXo3xWnxYdTf3sFyRaUG,Bonez MC,44803895.0
Wolke 10,200cTjC6si5Xz9af2QeHi2,MERO,44105891.0
Piece Of Your Heart,1DFD5Fotzgn6yYXkYsKiGs,MEDUZA,44076407.0
Roller,6hw1Sy9wZ8UCxYGdpKrU6M,Apache 207,43838966.0
Gib Ihm,5iIgIxtMNeogKaFUfvuAbs,SHIRIN DAVID,42921356.0
Don't Call Me Up,5WHTFyqSii0lmT9R21abT8,Mabel,41052989.0
Con Calma,5w9c2J52mkdntKOmRLeM2m,Daddy Yankee,40969193.0
Rolex,38lQ7lYhN3eSWepnZHaiBF,Capital Bra,38388803.0
Yapma,1194zYf7UfSXP4omxVTmPa,C ARMA,38026137.0
110,67ojvEGRPAUCOohuMPqoRC,Capital Bra,37325395.0
"Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)",4Nip6oiJU24LqcUEi7u19S,KitschKrieg,36689197.0
Prinzessa,7r55d7IhAj5UGKiYbXBwRP,Capital Bra,35498752.0
Señorita,6v3KW9xbzN5yKLt9YKDYA2,Shawn Mendes,34975743.0
Tausend Tattoos,2PAYSgrVOBz8RJqp9B7QLu,Sido,34717792.0
JAJA,5z3vuYzS9UF6rD6TmBEdUf,Fero47,34601521.0
Cherry Lady,3r1cV21xPMkgCmxk8VqWOB,Capital Bra,34425749.0
Diamonds (feat. Capital Bra),2QpxC2yag7Ec7Ut1dovXKb,Summer Cem,34343059.0
cOcO MAmA,0oOPa0AlLnjCO6eci0HIdH,Dardan,34285088.0
Old Town Road (feat. Billy Ray Cyrus) - Remix,6u7jPi22kF8CTQ3rb9DHE7,Lil Nas X,34191778.0
In My Mind,0E9ZjEAyAwOXZ7wJC0PD33,Dynoro,34187610.0
Someone You Loved,7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,33793167.0
2002,2u8AXJyk8pICzj2wyPBL0b,Sido,33698360.0
High Hopes,1rqqCSm0Qe4I9rUvWncaom,Panic! At The Disco,31778267.0
Beautiful People (feat. Khalid),70eFcWOvlMObDhURTqT4Fv,Ed Sheeran,31644947.0
Wieso tust Du dir das an?,6dNB3XdAzx7kTf5wa8Rg89,Apache 207,31382664.0
Wow.,6MWtB6iiXyIwun0YzU6DFP,Post Malone,31061991.0
DODI,63THFs9ovzO3WQsz4lzh0H,Shindy,30868534.0
Kein Problem,3Zigq1lfHmFRlyoRrh9k2s,Apache 207,30565900.0
Vermissen (feat. Henning May),1SSzM044DUbVpYNNHWIhYJ,Juju,30202835.0
Speechless (feat. Erika Sirola),1rCcsYnmqbMYdkG7kS9GC5,Robin Schulz,30131194.0
Ferrari,4AgK0CwpwcekXVdAoYB2VO,Eno,30128802.0
Affalterbach,1L8LtC2s161XwY6YrtnQjw,Shindy,30043255.0
7 rings,6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,29852459.0
Shallow,2VxeLyX666F8uXCJ0dZF8B,Lady Gaga,29271424.0
Benzema,7KPGeiXWDsGEvFK62wzU8E,Capital Bra,28853390.0
Hobby Hobby,260R90ctQ1SiPax90PuEsT,MERO,28760913.0
Harami,5xIODxqlpUnRVA9ewZUCug,Samra,28529791.0
Old Town Road,53CJANUxooaqGOtdsBTh7O,Lil Nas X,28215810.0
Moonlight,0A5gdlrpAuQqZ2iFgnqBFW,Gaullin,27864819.0
200 km/h,2PGA1AsJal6cyMNmKyE56q,Apache 207,27668531.0
DNA,4BD9yUEFI07WaDJ381DDMq,KC Rebell,27024118.0
Let Me Down Slowly,2qxmye6gAegTMjLKEBoR3d,Alec Benjamin,26906903.0
Pass auf wen du liebst,5NsCv3I7o0f6vSQScG01f1,Ufo361,26903661.0
