Track Name,spotify_id,Artist,Streams
bad guy,2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,77531700
Someone You Loved,7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,72409656
Vossi Bop,44ZJ4hLD5onikKsVLQaILr,Stormzy,68359472
Location (feat. Burna Boy),3z4CGd63tpUn9a6oQSG0CI,Dave,66015630
Don't Call Me Up,5WHTFyqSii0lmT9R21abT8,Mabel,61078688
Ladbroke Grove,7b4ky1LlQLFhXHmhZkFgqV,AJ Tracey,60751719
Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,Tones And I,59850388
Giant (with Rag'n'Bone Man),5itOtNx0WxtJmi1TQ3RuRd,Calvin Harris,54302843
3 Nights,1tNJrcVe6gwLEiZCtprs1u,Dominic Fike,52716285
Sweet but Psycho,25sgk305KZfyuqVBQIahim,Ava Max,51419626
Piece Of Your Heart,1DFD5Fotzgn6yYXkYsKiGs,MEDUZA,50536930
Someone You Loved,2TIlqbIneP0ZY1O0EzYLlc,Lewis Capaldi,50531063
Wow.,6MWtB6iiXyIwun0YzU6DFP,Post Malone,50055403
Options,2cytBOLpwFRX7J9URCrFIe,NSG,49905300
7 rings,6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,48797598
Hold Me While You Wait,60iSKGrGazRzICtMjADNSM,Lewis Capaldi,47185638
Strike a Pose (feat. Aitch),23GvTfcGK454ppLsts3W44,Young T & Bugsey,45405291
Beautiful People (feat. Khalid),70eFcWOvlMObDhURTqT4Fv,Ed Sheeran,45056127
Shallow,2VxeLyX666F8uXCJ0dZF8B,Lady Gaga,44690438
"break up with your girlfriend, i'm bored",4kV4N9D1iKVxx1KLvtTpjS,Ariana Grande,44604395
Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,Sam Smith,43786154
Sunflower - Spider-Man: Into the Spider-Verse,3KkXRkHbMCARz0aVfEt68P,Post Malone,43557296
Old Town Road (feat. Billy Ray Cyrus) - Remix,6u7jPi22kF8CTQ3rb9DHE7,Lil Nas X,42582193
Señorita,6v3KW9xbzN5yKLt9YKDYA2,Shawn Mendes,39601874
Shotgun,4ofwffwvvnbSkrMSCKQDaC,George Ezra,38764022
Bruises,4Of7rzpRpV1mWRbhp5rAqG,Lewis Capaldi,38505705
Take Me Back to London (feat. Stormzy),1AI7UPw3fgwAFkvAlZWhE0,Ed Sheeran,37342595
Just You and I,03x2rVJRFUrvwlfxoHd9Mo,Tom Walker,37052303
Higher Love,6oJ6le65B3SEqPwMRNXWjY,Kygo,36741480
Happier,2dpaYNEQHiRxtZbfNsse99,Marshmello,36384290
Keisha & Becky - Remix,5wIjM4q7oIgiLqn8Qfoyxh,Russ Millions,35447528
I Don't Care (with Justin Bieber),0hVXuCcriWRGvwMV1r5Yn9,Ed Sheeran,35382396
Fashion Week (feat. AJ Tracey & MoStack),78KyOmqWmqLkQcXO1cA7MO,Steel Banglez,35370972
I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,Ed Sheeran,35185372
Sorry,6y1UtRcHQU07aUs3oxZ8Yn,Joel Corry,34857003
Ride It,2tnVG71enUj33Ic2nFN6kZ,Regard,34785700
High Hopes,1rqqCSm0Qe4I9rUvWncaom,Panic! At The Disco,34124769
Eastside (with Halsey & Khalid),7FGq80cy8juXBCD2nrqdWU,benny blanco,33348205
So High (feat. Fredo),5aubXDnDNVKA5pS7EnR0mp,MIST,32496677
South of the Border (feat. Camila Cabello & Cardi B),4vUmTMuQqjdnvlZmAH61Qk,Ed Sheeran,32220140
How Do You Sleep?,6b2RcmUt1g9N9mQ3CbjX2Y,Sam Smith,31977386
"thank u, next",3e9HZxeyfWwjeyPAMmWSSQ,Ariana Grande,31824697
Funky Friday,01IQ4aQgOf0Kkq3a273hmO,Dave,31459535
SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,Travis Scott,31029882
Goodbyes (Feat. Young Thug),6vBdBCoOhKHiYDDOcorfNo,Post Malone,30897332
Swervin (feat. 6ix9ine),1wJRveJZLSb1rjhnUHQiv6,A Boogie Wit da Hoodie,30656283
Circles,21jGcNKet2qwijlDFuPiPb,Post Malone,29302398
Wish You Well,1yAPglN5AGf7UoLK062ZYq,Sigala,29288501
Lucid Dreams,285pBltuF7vW8TeWk8hdRR,Juice WRLD,28978145
Truth Hurts,5qmq61DAAOUaW8AUo8xKhh,Lizzo,28442307
