Track Name,spotify_id,Artist,Streams
Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,Tones And I,9617171.0
bad guy,2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,9262177.0
Someone You Loved,7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,7714571.0
3 Nights,1tNJrcVe6gwLEiZCtprs1u,Dominic Fike,7393811.0
Don't Call Me Up,5WHTFyqSii0lmT9R21abT8,Mabel,6202981.0
Someone You Loved,2TIlqbIneP0ZY1O0EzYLlc,Lewis Capaldi,5916819.0
Shallow,2VxeLyX666F8uXCJ0dZF8B,Lady Gaga,5826016.0
Vossi Bop,44ZJ4hLD5onikKsVLQaILr,Stormzy,5693791.0
Giant (with Rag'n'Bone Man),5itOtNx0WxtJmi1TQ3RuRd,Calvin Harris,5336171.0
Piece Of Your Heart,1DFD5Fotzgn6yYXkYsKiGs,MEDUZA,5300848.0
Hold Me While You Wait,60iSKGrGazRzICtMjADNSM,Lewis Capaldi,5211593.0
Old Town Road (feat. Billy Ray Cyrus) - Remix,6u7jPi22kF8CTQ3rb9DHE7,Lil Nas X,5094475.0
Wow.,6MWtB6iiXyIwun0YzU6DFP,Post Malone,4945374.0
7 rings,6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,4939509.0
Sweet but Psycho,25sgk305KZfyuqVBQIahim,Ava Max,4687262.0
Outnumbered,6UjZ2Yx2g2a52XxiA8ONxZ,Dermot Kennedy,4614786.0
Sunflower - Spider-Man: Into the Spider-Verse,3KkXRkHbMCARz0aVfEt68P,Post Malone,4465924.0
Señorita,6v3KW9xbzN5yKLt9YKDYA2,Shawn Mendes,4465254.0
Bruises,4Of7rzpRpV1mWRbhp5rAqG,Lewis Capaldi,4428838.0
Beautiful People (feat. Khalid),70eFcWOvlMObDhURTqT4Fv,Ed Sheeran,4341242.0
Ride It,2tnVG71enUj33Ic2nFN6kZ,Regard,4319065.0
Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,Sam Smith,4145454.0
"break up with your girlfriend, i'm bored",4kV4N9D1iKVxx1KLvtTpjS,Ariana Grande,4125178.0
Circles,21jGcNKet2qwijlDFuPiPb,Post Malone,3945168.0
Sorry,6y1UtRcHQU07aUs3oxZ8Yn,Joel Corry,3904433.0
Truth Hurts,5qmq61DAAOUaW8AUo8xKhh,Lizzo,3685658.0
Higher Love,6oJ6le65B3SEqPwMRNXWjY,Kygo,3661211.0
Eastside (with Halsey & Khalid),7FGq80cy8juXBCD2nrqdWU,benny blanco,3590204.0
i'm so tired...,7COXchtUOMd6uIT6HvmRaI,Lauv,3572729.0
Ladbroke Grove,7b4ky1LlQLFhXHmhZkFgqV,AJ Tracey,3555452.0
Power Over Me,0OGNtqKkjI7FCE9HZ4Khgo,Dermot Kennedy,3555017.0
Shotgun,4ofwffwvvnbSkrMSCKQDaC,George Ezra,3543989.0
Just You and I,03x2rVJRFUrvwlfxoHd9Mo,Tom Walker,3541864.0
Goodbyes (Feat. Young Thug),6vBdBCoOhKHiYDDOcorfNo,Post Malone,3439945.0
How Do You Sleep?,6b2RcmUt1g9N9mQ3CbjX2Y,Sam Smith,3413793.0
Location (feat. Burna Boy),3z4CGd63tpUn9a6oQSG0CI,Dave,3368473.0
South of the Border (feat. Camila Cabello & Cardi B),4vUmTMuQqjdnvlZmAH61Qk,Ed Sheeran,3290581.0
Sucker,4y3OI86AEP6PQoDE6olYhO,Jonas Brothers,3266331.0
Outnumbered,4Ta3PhWmY50ZLU1uhKFKPE,Dermot Kennedy,3226045.0
Saturday Nights,5kfNriitmkNE8mUbZ7gbq8,Khalid,3190290.0
Here With Me,5icOoE6VgqFKohjWWNp0Ac,Marshmello,3183724.0
Happier,2dpaYNEQHiRxtZbfNsse99,Marshmello,3171958.0
Body (feat. brando),7K7MUBCnzgBAvMVW2RTWNs,Loud Luxury,3152764.0
I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,Ed Sheeran,3082304.0
when the party's over,43zdsphuZLzwA9k4DJhU0I,Billie Eilish,3080239.0
bury a friend,4SSnFejRGlZikf02HLewEF,Billie Eilish,3045936.0
Post Malone (feat. RANI),36orMWv2PgvnzXsd5CJ0yL,Sam Feldt,3045196.0
I Don't Care (with Justin Bieber),0hVXuCcriWRGvwMV1r5Yn9,Ed Sheeran,2905842.0
Grace,0pEkK8MqbmGSX7fT8WLMbR,Lewis Capaldi,2884247.0
Don't Start Now,6WrI0LAC5M1Rw2MnX2ZvEg,Dua Lipa,2844361.0
