Track Name,spotify_id,Artist,Streams
bad guy,2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,1108555
Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,Tones And I,711103
7 rings,6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,558935
Shallow,2VxeLyX666F8uXCJ0dZF8B,Lady Gaga,542027
Wow.,6MWtB6iiXyIwun0YzU6DFP,Post Malone,532433
I Got Love,5rwsJbBNa8SfPW4oFA1GjP,MiyaGi & Endspiel,528338
Zemes stunda,7MSS9mAqAHHkUCa7HL0RbA,ansis,528134
Señorita,6v3KW9xbzN5yKLt9YKDYA2,Shawn Mendes,497731
Someone You Loved,7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,493578
Beautiful People (feat. Khalid),70eFcWOvlMObDhURTqT4Fv,Ed Sheeran,490212
Let Me Down Slowly,2qxmye6gAegTMjLKEBoR3d,Alec Benjamin,489199
Мокрые кроссы,35poFvLMiXHPZsItZ0HiHZ,Tima Belorusskih,483060
Sunflower - Spider-Man: Into the Spider-Verse,3KkXRkHbMCARz0aVfEt68P,Post Malone,480713
Piece Of Your Heart,1DFD5Fotzgn6yYXkYsKiGs,MEDUZA,477119
MIDDLE CHILD,2JvzF1RMd7lE3KmFlsyZD8,J. Cole,474189
Lalala,51Fjme0JiitpyXKuyQiCDo,Y2K,467479
Without Me,5p7ujcrUXASCNwRaWNHR1C,Halsey,456107
when the party's over,43zdsphuZLzwA9k4DJhU0I,Billie Eilish,454074
Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,Sam Smith,448141
SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,Travis Scott,426976
Old Town Road,53CJANUxooaqGOtdsBTh7O,Lil Nas X,424590
i'm so tired...,7COXchtUOMd6uIT6HvmRaI,Lauv,424529
bury a friend,4SSnFejRGlZikf02HLewEF,Billie Eilish,418969
3 Nights,1tNJrcVe6gwLEiZCtprs1u,Dominic Fike,417849
Lucid Dreams,285pBltuF7vW8TeWk8hdRR,Juice WRLD,416175
How Do You Sleep?,6b2RcmUt1g9N9mQ3CbjX2Y,Sam Smith,412452
rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt,Post Malone,411948
Незабудка,53ORJG1CfDX0xo8qyhup6Q,Tima Belorusskih,407648
Happier,2dpaYNEQHiRxtZbfNsse99,Marshmello,400206
Old Town Road (feat. Billy Ray Cyrus) - Remix,6u7jPi22kF8CTQ3rb9DHE7,Lil Nas X,399787
Sweet but Psycho,25sgk305KZfyuqVBQIahim,Ava Max,395564
Better Now,7dt6x5M1jzdTEt8oCbisTK,Post Malone,392630
Circles,21jGcNKet2qwijlDFuPiPb,Post Malone,392532
Eastside (with Halsey & Khalid),7FGq80cy8juXBCD2nrqdWU,benny blanco,390102
Goodbyes (Feat. Young Thug),6vBdBCoOhKHiYDDOcorfNo,Post Malone,383693
Praise The Lord (Da Shine) (feat. Skepta),7ycWLEP1GsNjVvcjawXz3z,A$AP Rocky,383268
Falling Down - Bonus Track,4jvjzW7Hm0yK4LvvE0Paz9,Lil Peep,382263
High Hopes,1rqqCSm0Qe4I9rUvWncaom,Panic! At The Disco,379328
In My Mind,0E9ZjEAyAwOXZ7wJC0PD33,Dynoro,375196
Витаминка,792c14LiectozZczjylkfW,Tima Belorusskih,373374
Youngblood,2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,364603
SAD!,3ee8Jmje8o58CHK66QrVC2,XXXTENTACION,361337
Truth Hurts,5qmq61DAAOUaW8AUo8xKhh,Lizzo,360628
HIGHEST IN THE ROOM,3eekarcy7kvN4yt5ZFzltW,Travis Scott,355943
Close To Me (with Diplo) (feat. Swae Lee),5JEx7HbmvHQQswJCsoo9rA,Ellie Goulding,346462
Jocelyn Flores,7m9OqQk4RVRkw9JJdeAw96,XXXTENTACION,339874
"break up with your girlfriend, i'm bored",4kV4N9D1iKVxx1KLvtTpjS,Ariana Grande,338109
Piededzini Mann,0q3QoeqUKLIiHz7d43nvGb,Singapūras Satīns,324105
Chlorine,23OXdR7YuUBVWh5hSnYJau,Twenty One Pilots,323800
I Don't Care (with Justin Bieber),0hVXuCcriWRGvwMV1r5Yn9,Ed Sheeran,323186
