Track Name,spotify_id,Artist,Streams
Callaita,2TH65lNHgvLxCKXM3apjxI,Bad Bunny,111518185.0
Con Calma,5w9c2J52mkdntKOmRLeM2m,Daddy Yankee,106255220.0
Te Vi,059bcIhyc2SBwm6sw2AZzd,Piso 21,102307874.0
Calma - Remix,5iwz1NiezX7WWjnCgY5TH4,Pedro Capó,101039680.0
Otro Trago,1Ej96GIBCTvgH7tNX1r3qr,Sech,100200578.0
LA CANCIÓN,0fea68AdmYNygeTGI4RC18,J Balvin,97951713.0
China,2ksOAxtIxY8yElEWw8RhgK,Anuel AA,87552416.0
Secreto,5W83ErFkO3aKAIS1WMi6u0,Anuel AA,86001449.0
11 PM,7KbF6AdprOXEEHlsq11Z6d,Maluma,85696512.0
No Me Conoce - Remix,4R8BJggjosTswLxtkw8V7P,Jhay Cortez,85196039.0
Con Altura,2qG5sZ7Si6sdK74qLxedYM,ROSALÍA,82183643.0
Tal Vez,5jW3rF4URMdK7tO2xjS5EI,Paulo Londra,61970918.0
Dancin (feat. Luvli) - Krono Remix,6WkJ2OK163XXS2oARUC9JM,Aaron Smith,59925868.0
bad guy,2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,58762809.0
QUE PRETENDES,25ZAibhr3bdlMCLmubZDVt,J Balvin,57918219.0
MIA (feat. Drake),116H0KvKr2Zl4RPuVBruDO,Bad Bunny,57721031.0
Tutu,1nocRtwyNPVtGcIJqfgdzZ,Camilo,57473311.0
Soltera - Remix,1c0hsvHLELX6y8qymnpLKL,Lunay,56548698.0
Verte Ir,4lzxJ4jCuFDXXGkE1LmpKR,DJ Luian,55770331.0
HP,1LIqNVhaIgxXUt2eVoIQJ3,Maluma,54576645.0
Baby Girl (feat. Lalo Ebratt),6o8ogTrSX8H0F66Pdz3Tsc,Mario Bautista,52811922.0
Fuentes de Ortiz,0akyEssGRVHstqCSWXusJL,Ed Maverick,50298811.0
Señorita,6v3KW9xbzN5yKLt9YKDYA2,Shawn Mendes,49405553.0
Ella Quiere Beber - Remix,3f5lA8nnc4YYF1qf78WpHw,Anuel AA,48586520.0
7 rings,6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,48418465.0
Desconocidos,56f5qnyAlZdlz8wrUDA50h,Mau y Ricky,48026209.0
Te Robaré,6v0lAdFF4haL8xjBIUjtOw,Nicky Jam,47776299.0
Lost on You,3SqvR3HYLlCTYzbDXJ52OC,LP,47395287.0
Aullando,7BuHdm4lQqcyG3qTwdkxus,Wisin & Yandel,47178328.0
Amanece,1LiN0Z98FkR1t0m8KmLcAH,Anuel AA,46604339.0
Ni Gucci Ni Prada,32lexhcz93AinKK0qLTZaZ,Kenny Man,46397687.0
Pa Mí - Remix,7g8YaUQABMal0zWe7a2ijz,Dalex,46278636.0
Baila Conmigo (feat. Kelly Ruiz),4Clmg1g8n2yBYG13Z1oSdG,Dayvi,45698162.0
Rebota,2YRvdf9cdS88y1wB1WhKoE,Guaynaa,44781903.0
Baila Baila Baila,7uH27oIt4a6cIFCA8ZPcyG,Ozuna,43946493.0
Desconocidos,0s5DNDV6LAKn2u2Ufa3VjQ,Mau y Ricky,43148288.0
Nunca Es Suficiente,63USmok1OioBzKuWGW9wAg,Los Ángeles Azules,42498078.0
Amor A Primera Vista,1E7RHPXA9sZ30qfms18J7J,Los Ángeles Azules,42350226.0
Adan y Eva,6FyRXC8tJUh863JCkyWqtk,Paulo Londra,42312751.0
En Peligro de Extinción,45sVRPegWSGpIcsrDoaaCY,La Adictiva Banda San José de Mesillas,42063668.0
Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,Sam Smith,41831938.0
Ahora Te Puedes Marchar,1uKjQoh8JZj9ryuYRhpd7E,Luis Miguel,41647506.0
Happier,2dpaYNEQHiRxtZbfNsse99,Marshmello,40659210.0
Tra Tra Tra Remix - Remix,4YqCBC4FwzGXuhixt5cgmm,Ghetto Kids,40659004.0
HP,31UjYv5vLsDkzchJOtUMtW,Maluma,40237623.0
In My Mind,0E9ZjEAyAwOXZ7wJC0PD33,Dynoro,39697379.0
Sola,675w3ACw5xZR3ODhUJlEVN,Manuel Turizo,39444870.0
Pa' Olvidarme De Ella,1cVlW9WQiGlFdWUXFdFZGh,Piso 21,39425743.0
Sunflower - Spider-Man: Into the Spider-Verse,3KkXRkHbMCARz0aVfEt68P,Post Malone,39419903.0
Otro Trago - Remix,4bTZeO72FwMa6wKOiqoynL,Sech,39254108.0
