Track Name,spotify_id,Artist,Streams
Boy With Luv (feat. Halsey),5KawlOMHjWeUjQtnuRs22c,BTS,10197713.0
Someone You Loved,7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,9393206.0
Kill This Love,4pUCKHjJ4Ijewc37rRrvHn,BLACKPINK,8939981.0
Señorita,6v3KW9xbzN5yKLt9YKDYA2,Shawn Mendes,8177826.0
7 rings,6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,8018648.0
Without Me,5p7ujcrUXASCNwRaWNHR1C,Halsey,7815310.0
It's You,6moU77g9RQyMzHNuKEaQKq,Ali Gatie,7748363.0
bad guy,2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,7440166.0
Sunflower - Spider-Man: Into the Spider-Verse,3KkXRkHbMCARz0aVfEt68P,Post Malone,6598209.0
Mimpi (feat. Alif),13j4wsiG0BjaDb04YZWIXV,K-Clique,6516448.0
i'm so tired...,7COXchtUOMd6uIT6HvmRaI,Lauv,6506525.0
Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,Sam Smith,6454147.0
Lily,0lks2Kt9veMOFEAPN0fsqN,Alan Walker,6446809.0
Memories,2b8fOow8UzyDFAE27YhOZM,Maroon 5,6220295.0
I.F.L.Y.,4a6q8CR2hzLk2plDkSxkfD,Bazzi,6084448.0
Goodbyes (Feat. Young Thug),6vBdBCoOhKHiYDDOcorfNo,Post Malone,5937309.0
Way Back Home (feat. Conor Maynard) - Sam Feldt Edit,1ZLrDPgR7mvuTco3rQK8Pk,SHAUN,5888926.0
Sweet but Psycho,25sgk305KZfyuqVBQIahim,Ava Max,5873469.0
Beautiful People (feat. Khalid),70eFcWOvlMObDhURTqT4Fv,Ed Sheeran,5788694.0
How Do You Sleep?,6b2RcmUt1g9N9mQ3CbjX2Y,Sam Smith,5753445.0
Sumpah,6JgWlZevrjV6nr6NiNf5Ji,Naim Daniel,5735146.0
On My Way,4n7jnSxVLd8QioibtTDBDq,Alan Walker,5604065.0
SOLO,2wVDWtLKXunswWecARNILj,JENNIE,5436908.0
So Am I,0uUNN1nSoUx1A4fkDCWDQ7,Ava Max,5287380.0
Shallow,2VxeLyX666F8uXCJ0dZF8B,Lady Gaga,5219382.0
Circles,21jGcNKet2qwijlDFuPiPb,Post Malone,5012539.0
Let Me Down Slowly,2qxmye6gAegTMjLKEBoR3d,Alec Benjamin,4984276.0
Kisah Cinta Kita,0IrKOI4EEUtOcbBgJPoGfy,Hafiz Suip,4951574.0
Empty Space,1uru26I2JKd2mQZt0MDCUe,James Arthur,4866818.0
"thank u, next",3e9HZxeyfWwjeyPAMmWSSQ,Ariana Grande,4830670.0
Love Someone,3id2EVGKc3eFAMn9nFnB0r,Lukas Graham,4779527.0
I Don't Care (with Justin Bieber),0hVXuCcriWRGvwMV1r5Yn9,Ed Sheeran,4605254.0
Cinta Luar Biasa,1Hy1CBFRXYvFL7eJT5MLlG,Andmesh,4594192.0
Beautiful (feat. Camila Cabello),4VUwkH455At9kENOfzTqmF,Bazzi,4583750.0
Señorita,0TK2YIli7K1leLovkQiNik,Shawn Mendes,4554216.0
Saturday Nights,5kfNriitmkNE8mUbZ7gbq8,Khalid,4526697.0
Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,Tones And I,4498459.0
"A Whole New World (End Title) - From ""Aladdin""",1iWHabUgUuuKLBa0TzTHfk,ZAYN,4421417.0
Pulang,1DVHCvTwuwtZrpYDV4irH5,Insomniacks,4400768.0
Say You Won't Let Go,5uCax9HTNlzGybIStD3vDh,James Arthur,4302580.0
I Like Me Better,2P91MQbaiQOfbiz9VqhqKQ,Lauv,4282531.0
comethru,18uwL0vNUanqZH0ro2QcOP,Jeremy Zucker,4204818.0
Happier,2dpaYNEQHiRxtZbfNsse99,Marshmello,4189658.0
2002,2BgEsaKNfHUdlh97KmvFyo,Anne-Marie,4186994.0
Better,6zeeWid2sgw4lap2jV61PZ,Khalid,4183586.0
Close To Me (with Diplo) (feat. Swae Lee),5JEx7HbmvHQQswJCsoo9rA,Ellie Goulding,4139869.0
Moonlight,72pv4E0eBIcE9z8V4tPHui,Ali Gatie,4091251.0
Eastside (with Halsey & Khalid),7FGq80cy8juXBCD2nrqdWU,benny blanco,4034585.0
Pulang - Piano Version,5aqyWj7t8VP1OXfazIdVPV,Insomniacks,4021888.0
You Are The Reason,69vToJ9BMbbLlFZo7k7A7B,Calum Scott,4020698.0
