Track Name,spotify_id,Artist,Streams
Bairro,1ai9FDnFQDv18WAtFhMTIz,Wet Bed Gang,5430276.0
Tou Bem (feat. Lhast),0gzwa0yJncSs29DjXajA5i,ProfJam,4026883.0
bad guy,2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,3843329.0
Meu Deus,0PdCHtiX5w5P4W8NvLrUx2,Plutónio,3713743.0
Devia Ir,1ftBvRj542ol7LT1A0EtL7,Wet Bed Gang,3363571.0
1 de Abril,5Ab6z7ZgBlzJaADQhwAYnj,Plutónio,3342854.0
Shallow,2VxeLyX666F8uXCJ0dZF8B,Lady Gaga,3231884.0
À Vontade (feat. Fínix MG),68VCmJEV8PFoOPGE1ALxtM,ProfJam,3194756.0
After Party,4Ssh6BrNzS4hv3SMkfPFGA,Deejay Telio,3184595.0
Vivi Good,6MLQRF8D7LsOvZwkt1UcZP,Julinho Ksd,2949706.0
Irresponsável,1AgqELuodwiIUbJhXM74Jx,Wet Bed Gang,2893259.0
Sushi,1xPJDN8a0TSZA9W9njnpBp,Nenny,2853454.0
Malibu,0VoXqU82KkwEab9b5f8T4M,ProfJam,2716510.0
Essa Saia (feat. Ivandro),2OI0z4fQD8NQPfYf5v6a2E,Bispo,2657841.0
Sentimento Safari,2t98sYRAQZAXqdwi3Sf6pQ,Julinho Ksd,2655946.0
Agora é Tudo Meu,5yH8pYxNckOU1cxfPsMIaz,DENNIS,2583623.0
Happy Day,4HkmUlLklTFzOIufppSf0e,Deejay Telio,2577033.0
Con Calma,5w9c2J52mkdntKOmRLeM2m,Daddy Yankee,2569267.0
Baila Baila Baila,7uH27oIt4a6cIFCA8ZPcyG,Ozuna,2490504.0
Cafeína,37tlhZnzXdF5en96O1j93w,Dj Dadda,2476860.0
7 rings,6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,2428880.0
Someone You Loved,7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,2420221.0
Bússola,6oSSyP3wbI9F0Y4mKmYfYh,Nenny,2417168.0
Pensa Bem,4SIaLMSv2V9o910QnZwkn9,TAY,2416415.0
Señorita,6v3KW9xbzN5yKLt9YKDYA2,Shawn Mendes,2376852.0
Não Preciso (feat. Dylan),0KO1f2y6aO5ouVwWZ8Uauw,TAY,2374815.0
Ela É do Tipo,2x8TNY9KwNvD19gVGs4WOP,MC Kevin o Chris,2353964.0
Let Me Down Slowly,2qxmye6gAegTMjLKEBoR3d,Alec Benjamin,2345923.0
Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,Tones And I,2343160.0
Gaiola É o Troco,3Uq45ipGutypFPmETfaoaH,MC Du Black,2300718.0
Without Me,5p7ujcrUXASCNwRaWNHR1C,Halsey,2259523.0
Meu Ego,4g7pN0tzE26Hv4HM3UTwfO,Deejay Telio,2250797.0
Goodbyes (Feat. Young Thug),6vBdBCoOhKHiYDDOcorfNo,Post Malone,2242325.0
Happier,2dpaYNEQHiRxtZbfNsse99,Marshmello,2222567.0
Tudo Nosso (feat. Deejay Telio & Deedz B),1vChWb8X4TEeKvo46uTglP,Supa Squad,2215571.0
Piece Of Your Heart,1DFD5Fotzgn6yYXkYsKiGs,MEDUZA,2184714.0
Wow.,6MWtB6iiXyIwun0YzU6DFP,Post Malone,2154066.0
Impossíveis,06YKCirt0RfP49rs6qB9sk,Piruka,2138643.0
Terremoto,7G2XZhDNHo7SSDWSVxC0UT,Anitta,2024536.0
Miúda,1DHQcaZMENKPt8KBQgIr25,Holly Hood,2016921.0
Beautiful People (feat. Khalid),70eFcWOvlMObDhURTqT4Fv,Ed Sheeran,2014415.0
Bola Rebola,1OUPXna2MCgAt3VNmXJBtg,Tropkillaz,1989306.0
Uber Driver,6cmn21bodxviaGAHa5ZXbF,mishlawi,1985888.0
Mais Caro,0eA43imPmYEq6166XHM3UX,Wet Bed Gang,1955191.0
I Don't Care (with Justin Bieber),0hVXuCcriWRGvwMV1r5Yn9,Ed Sheeran,1935226.0
Hoji en Sá Ta Vivi,3PS7DV9nHtL6FhgSPh0d8z,Julinho Ksd,1920944.0
Calma - Remix,5iwz1NiezX7WWjnCgY5TH4,Pedro Capó,1865553.0
Avé Maria (feat. MC Zuka),7dFuvm5opVdFasz4JCG87Z,Supa Squad,1857883.0
Old Town Road (feat. Billy Ray Cyrus) - Remix,6u7jPi22kF8CTQ3rb9DHE7,Lil Nas X,1821760.0
Vencedor,4a0H1kKez7UVLveRL5cEgy,Phoenix Rdc,1811969.0
