Track Name,spotify_id,Artist,Streams
Shallow,2VxeLyX666F8uXCJ0dZF8B,Lady Gaga,26108959.0
Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,Tones And I,23663986.0
bad guy,2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,20838239.0
"Rosa himmel (från ""Störst av allt"")",3xkGJKpWrn1n6Bk2m84bJP,Molly Sandén,18481402.0
PIPPI,3ySRhREV5ceozxdk0lPqIe,Dree Low,16894941.0
Kall,3YHHiktpaEShl6v22bOpzo,Ant Wan,16727586.0
Katten i trakten,4mfFqOYYR7yBtmbLw75p7d,Einár,14841454.0
SOS,6nDKrPlXdpomGBgAlO7UdP,Avicii,14775618.0
Someone You Loved,7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,14514306.0
Sunnanvind,4GK4mydvnsodLEHWb4zJV4,Mares,14186971.0
Too Late For Love,6Jf8Y84YSdqeJfEPDJFEZu,John Lundvik,14147316.0
Första Klass,74TEgDsFaq0zMttq1dVuYK,Einár,13892784.0
Always Remember Us This Way,2rbDhOo9Fh61Bbu23T2qCk,Lady Gaga,13644707.0
Vårt år,2yNfaW5s5EXJDcKZWOjuzq,estraden,13066127.0
Hornstullsstrand,2kju4JyRnNmiwQYhFrLgKy,Hov1,12797351.0
Tillfälligheter,5iJLphnVyGpLeAcsOZSfhw,Veronica Maggio,12745586.0
Wow.,6MWtB6iiXyIwun0YzU6DFP,Post Malone,12517057.0
Don't Call Me Up,5WHTFyqSii0lmT9R21abT8,Mabel,12200625.0
Sweet but Psycho,25sgk305KZfyuqVBQIahim,Ava Max,12113353.0
Without You (feat. Sandro Cavazza),6Pgkp4qUoTmJIPn7ReaGxL,Avicii,11464920.0
HotSpot,2W9WzW1Ot0YrWpJwWoRRVO,Greekazo,11455986.0
High Hopes,1rqqCSm0Qe4I9rUvWncaom,Panic! At The Disco,11370726.0
Sand,7CYKovD8hNKg0w902IASMi,Molly Sandén,11024931.0
SOS (feat. Aloe Blacc),2x0RZdkZcD8QRI53XT4GI5,Avicii,11001606.0
I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,Ed Sheeran,10959461.0
Blommor där du står,23MBpKcMc36cy26jjehN5A,GAMMAL,10807928.0
Bra för dig,3YCAQEpuFtgVVhEDJsW3gQ,estraden,10764449.0
Sunflower - Spider-Man: Into the Spider-Verse,3KkXRkHbMCARz0aVfEt68P,Post Malone,10643227.0
Klär av dig,7gt0BOQGPSst4wY6BQoH6u,Victor Leksell,10520447.0
Hon dansar vidare i livet,1aEU7mcRDTYBB4ASpqbjYE,Hov1,10202982.0
Tappat,2jPCvYRyIXQf2if8CTyabC,Victor Leksell,10055732.0
Señorita,6v3KW9xbzN5yKLt9YKDYA2,Shawn Mendes,9742701.0
All Night Long (All Night) - Recorded at Spotify Studios Stockholm,5LKNumPGm1bEyVroDE4rcZ,Benjamin Ingrosso,9733995.0
Beautiful People (feat. Khalid),70eFcWOvlMObDhURTqT4Fv,Ed Sheeran,9708044.0
Hello,4s2QheDmwez4q3AhCyaGWc,Mohombi,9700364.0
Happy Now,14sOS5L36385FJ3OL8hew4,Kygo,9534146.0
Fusk,03gKGNw6FqEz8BC0XsfCDC,Einár,9445310.0
Old Town Road (feat. Billy Ray Cyrus) - Remix,6u7jPi22kF8CTQ3rb9DHE7,Lil Nas X,9401781.0
Det bästa kanske inte hänt än,7Jtmca0gCNHj9OIvv6N1y3,Molly Sandén,9288053.0
Sånger från förut,7eXmd9KhEpsvATd568suYZ,GAMMAL,9160057.0
Old Town Road,53CJANUxooaqGOtdsBTh7O,Lil Nas X,9098538.0
Kurt Cobain,6yFJdvMJDBWzY7zOWZF4nw,Veronica Maggio,9011179.0
Hold You,7vwTqBs5KVRlwR2374P9bS,Hanna Ferm,9008450.0
I Don't Care (with Justin Bieber),0hVXuCcriWRGvwMV1r5Yn9,Ed Sheeran,8969537.0
Min Nivå,12qTfrg0Wp6zSnawQxaL4q,Einár,8928452.0
Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,Sam Smith,8714817.0
74 Bars,1pdK9ClsixbZUMvFbtv8fc,Z.E,8554605.0
Forgive Me Friend,5jnZUl6PwWB0Maze4kDJfC,Smith & Thell,8513382.0
Higher Love,6oJ6le65B3SEqPwMRNXWjY,Kygo,8370954.0
7 rings,6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,8322011.0
