Track Name,spotify_id,Artist,Streams
Felaket,59l0CeaA4LLngf30waUXWB,Ezhel,46641231
Mekanın Sahibi,3loy88Lp5qoTHhL8GhRfVZ,Norm Ender,38557682
Biladerim İçin,3VC7KLsQnwLdKHRu7J6XBP,Ben Fero,35629057
Ay Tenli Kadın,5CaKpl8JB1FMCbsgh0sgO8,Ufuk Beydemir,34136104
AYA,4IJEw3fDvS6XF4sDc3bvjK,Murda,32918016
Ela,2VUTPdW21gPVVTEmvdSwos,Reynmen,31574453
Demet Akalın,3kyGlb9iNqhKJsS2WVNyzH,Ben Fero,30671471
Yok Yok,2CjjjGKJA1ybc5wjCyJYjm,Feride Hilal Akın,27006432
Bırakman Doğru Mu,5pdsGdTeqH6MHqJeKkpwX3,Anıl Piyancı,26418924
3 2 1,5NK38OSKOCAoPxTe6sOgW9,Ben Fero,26084427
bad guy,2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,24915821
Derdim Olsun,0m0Ew7RcwZaBS8psxgE00P,Reynmen,24648217
Neyim Var Ki (feat. Sagopa K),09XOVDSIbBxBf6Kr1vGnHf,Ceza,24418417
KAFA10,7fUGWMgLzsVdID1eKoPm3b,Anıl Piyancı,23214589
Yeniden,7iQYp6Fp3xFFatU20GZtLe,BEGE,22672661
Nalan,1LNUxWJifZNEPpd273N2le,Emir Can İğrek,22630692
Nasılsın Aşkta?,4Am7XgKpt84IDRCv3PyXW8,Aleyna Tilki,22379006
Olabilir,5b195aHKKd6oTr4f7DoRCo,MERO,20980077
Babafingo,1pNZLvVjMheeoOpuQqKDIJ,Ben Fero,20756049
Bir İhtimal Biliyorum,24mpJgP2YZUBif9NvmYyh4,Gülşen,18876415
Motivasyon,1DZn3kv6JAsqKw8iNWGWP0,Ben Fero,18855967
Zombi,73Ec1iE2MDm6Y16Tq2Rz8O,Adamlar,18454590
Güzel Kızlar Patron Dinler,2qpwx9xOkCqzOMVnOkZ2X8,Patron,18429188
Dinle Beni Bi',11PO9iu6PtpgL1JK4QNUEJ,Yüzyüzeyken Konuşuruz,18098667
Şaraplar ve Kadınlar,2kQTQ4x3tG1BcBA4nFp6qf,Mert Şenel,16955141
Geceler,0R0o8uOkDz40XsR6uwThfQ,Ezhel,16935276
7 rings,6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,16777725
Детство,381kyofsIJKajRfX9iKLs8,Rauf & Faik,16361128
Ölsem Yeridir,7zn6VQuPR6aCLPRcZAA89R,Yüzyüzeyken Konuşuruz,16342176
Oldu Olanlar,4LTHcXXwN8OW4fYm5sVNPP,DJ Tarkan,16257820
Señorita,6v3KW9xbzN5yKLt9YKDYA2,Shawn Mendes,15887305
Böyle Sever,7hU3H2id2pBVawD7e3zd8N,Kahraman Deniz,15661253
Pirana,4Kqvjf6CBJBTOoMGPYtVX1,Şehinşah,15535096
Kazıdık Tırnaklarla,27OWNTEEtJCFVejrh5mqgv,Ezhel,15447856
Nokta,1wNvrmgNc2Aa5ZfSschQyD,Ersay Üner,15189595
Lalala,51Fjme0JiitpyXKuyQiCDo,Y2K,15042475
Mahallemiz Esmer,3qOxkhNytyb6ifxNzxxULn,Ben Fero,14887269
Susamam,1aHKVxoYHAWvedbVUTP9SF,Şanışer,14773085
Yak Yak Yak,4GjIoWGPLf7C8LcjK1UNlS,Şehinşah,14376674
Boş Gemiler,5xOAQ5o5mPI2FZZEOu1NZL,Yüzyüzeyken Konuşuruz,14271042
Olay,4EpPCQ7bqVUj65LoFydDj2,Ezhel,14243607
Let Me Down Slowly,2qxmye6gAegTMjLKEBoR3d,Alec Benjamin,14159323
Ne Farkeder,23KSyhPMqyUVrrLo300YiW,Yüzyüzeyken Konuşuruz,14092989
JENGA,35u4yRijMBIcZ4t6jm0NEf,Khontkar,14008502
İmkansızım,5Y3ZTBwRNrgj3AlXYASvDe,Ezhel,13836475
LOLO,7hGc0ggqVVOndzHLIS4Kag,Ezhel,13556020
Tebrikler,7uTXBaWobakjvQvQxTD6TF,Merve Özbey,13462398
Wir sind Kral,44Fc0oSgRn1MFwu18TcY8S,Ufo361,13453317
Fight Kulüp,7u6ojx9Tl1JX2JxWIPYYIZ,Killa Hakan,13029424
Yaramızda Kalsın,3kD2fBvNR5xvbJxO1MW6HT,Merve Özbey,12973294
