Track Name,spotify_id,Artist,Streams,Danceability,Valence,Energy
bad guy,2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,833541,0.701,0.562,0.425
7 rings,6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,722782,0.778,0.327,0.317
"break up with your girlfriend, i'm bored",4kV4N9D1iKVxx1KLvtTpjS,Ariana Grande,592573,0.726,0.335,0.554
Señorita,6v3KW9xbzN5yKLt9YKDYA2,Shawn Mendes,510765,0.759,0.749,0.548
Without Me,5p7ujcrUXASCNwRaWNHR1C,Halsey,501036,0.752,0.533,0.488
SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,Travis Scott,452840,0.834,0.446,0.73
Shallow,2VxeLyX666F8uXCJ0dZF8B,Lady Gaga,450190,0.572,0.323,0.385
Imam Chovek,3bBIcLfShA5RAGmlwebWqw,Itzo Hazarta,441502,0.6,0.519,0.565
Bravo,0ypYK4kpq4ePvYyxZFrJuN,Itzo Hazarta,437731,0.784,0.677,0.573
Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,Tones And I,432382,0.825,0.54,0.593
Gladen,3SEPI4YkmPsiDutWBjZjmZ,Itzo Hazarta,423693,0.796,0.234,0.448
Твой,7KJIjFrGYijiBunfFk75oj,Papi Hans,404571,0.818,0.424,0.597
Da Ili Ne,2rT6xyUhl3d1rGnvSjnWXz,Krisko,396882,0.753,0.691,0.849
HIGHEST IN THE ROOM,3eekarcy7kvN4yt5ZFzltW,Travis Scott,386737,0.598,0.0605,0.427
Don't Call Me Up,5WHTFyqSii0lmT9R21abT8,Mabel,380207,0.674,0.234,0.881
Old Town Road (feat. Billy Ray Cyrus) - Remix,6u7jPi22kF8CTQ3rb9DHE7,Lil Nas X,379186,0.878,0.639,0.619
Black Panther (feat. Rafal),4efLhkYJJf2R6WhbwpFi85,Nebezao,378424,0.841,0.564,0.746
Wow.,6MWtB6iiXyIwun0YzU6DFP,Post Malone,371345,0.833,0.385,0.539
Izvestna,36K4JkkYULpfhYuuemxJMp,Mascota,368561,0.764,0.489,0.82
Let Me Down Slowly,2qxmye6gAegTMjLKEBoR3d,Alec Benjamin,364458,0.652,0.483,0.557
rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt,Post Malone,362359,0.585,0.129,0.52
Sweet but Psycho,25sgk305KZfyuqVBQIahim,Ava Max,360961,0.719,0.628,0.704
Going Bad (feat. Drake),2IRZnDFmlqMuOrYOLnZZyc,Meek Mill,356458,0.889,0.544,0.496
Lalala,51Fjme0JiitpyXKuyQiCDo,Y2K,351301,0.843,0.496,0.391
Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,Sam Smith,350510,0.741,0.347,0.52
SOSA MAJE,2aXA19q9hOLYZAcU2wCWP8,V:RGO,347369,0.899,0.761,0.625
Mother's Daughter,2WyRfGeHo97VC5mP1BBSzr,Miley Cyrus,338060,0.681,0.528,0.865
Nafta,5zEPQhpwoNfOXyW6vLGTLY,Itzo Hazarta,316233,0.707,0.48,0.424
bury a friend,4SSnFejRGlZikf02HLewEF,Billie Eilish,316093,0.905,0.196,0.389
Someone You Loved,7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,312988,0.501,0.446,0.405
"thank u, next",3e9HZxeyfWwjeyPAMmWSSQ,Ariana Grande,305604,0.717,0.412,0.653
MIDDLE CHILD,2JvzF1RMd7lE3KmFlsyZD8,J. Cole,304979,0.837,0.463,0.364
Спомен от рана,4agaQ9tsbtETI2fCKmmdHK,SkandaU,304188,0.646,0.455,0.575
Beautiful People (feat. Khalid),70eFcWOvlMObDhURTqT4Fv,Ed Sheeran,301245,0.64,0.546,0.647
Zaradi Tebe,28swek0BccqB87s7pqkvv5,Itzo Hazarta,300586,0.809,0.565,0.585
Money In The Grave (Drake ft. Rick Ross),5ry2OE6R2zPQFDO85XkgRb,Drake,299325,0.831,0.101,0.502
Old Town Road - Remix,2YpeDb67231RjR0MgVLzsG,Lil Nas X,296590,0.878,0.639,0.619
Better Now,7dt6x5M1jzdTEt8oCbisTK,Post Malone,296164,0.68,0.341,0.578
Dobre li si,3RaNeu1vy6xooSAYm6h1UQ,Galena,295856,0.57,0.774,0.844
SAD!,3ee8Jmje8o58CHK66QrVC2,XXXTENTACION,289546,0.74,0.473,0.613
Piece Of Your Heart,1DFD5Fotzgn6yYXkYsKiGs,MEDUZA,289109,0.677,0.631,0.744
Eastside (with Halsey & Khalid),7FGq80cy8juXBCD2nrqdWU,benny blanco,288653,0.632,0.329,0.686
How Do You Sleep?,6b2RcmUt1g9N9mQ3CbjX2Y,Sam Smith,284454,0.477,0.345,0.682
Darbie,4b0uPErJSib9k0NwJ8lkRc,DARA,283657,0.828,0.681,0.734
Believer,0pqnGHJpmpxLKifKRmU6WP,Imagine Dragons,278269,0.776,0.666,0.78
Praise The Lord (Da Shine) (feat. Skepta),7ycWLEP1GsNjVvcjawXz3z,A$AP Rocky,274207,0.854,0.294,0.569
I Don't Care (with Justin Bieber),0hVXuCcriWRGvwMV1r5Yn9,Ed Sheeran,273268,0.798,0.843,0.676
Nonstop,0TlLq3lA83rQOYtrqBqSct,Drake,270375,0.912,0.423,0.412
Sarceto Na Hlebarkata,6hi2dKBqNA63EodoW3mGMp,Itzo Hazarta,267964,0.636,0.517,0.606
Happier,2dpaYNEQHiRxtZbfNsse99,Marshmello,264558,0.687,0.671,0.792
