Track Name,spotify_id,Artist,Streams,Danceability,Valence,Energy
Vou Ter Que Superar - Ao Vivo,6sRLrSetyIwIKhW1eMlUNP,Matheus & Kauan,94218961.0,0.505,0.421,0.721
Bebi Liguei - Ao Vivo,3RbXsVQr4jeTxvT35Hssq3,Marília Mendonça,93928879.0,0.603,0.682,0.804
Cobaia,1xyVMQx51Kab6eLVtE6twx,Lauana Prado,91657761.0,0.751,0.515,0.709
Todo Mundo Vai Sofrer - Ao Vivo,4E6RdcCWMiHTu7zy1VTNDo,Marília Mendonça,89926177.0,0.621,0.581,0.743
Tijolão - Ao Vivo,6QwFUcPc5nhsqZuhXUYtV7,Jorge & Mateus,89448629.0,0.637,0.691,0.877
Atrasadinha - Ao Vivo,5EKHbW7mXcAR4hCyS3YXjb,Felipe Araújo,85948714.0,0.676,0.716,0.844
Solteiro Não Trai - Ao Vivo,7oEr56KG6odStlQH0nvdyr,Gustavo Mioto,84439580.0,0.493,0.599,0.832
Quando a vontade bater (Participação especial de PK Delas),26WpOBpHiIMoBuMEIwtOCH,Pk,83567892.0,0.621,0.704,0.7
Estado Decadente - Acústico,4eB8rsNNm5791m3uvEBNLR,Zé Neto & Cristiano,82907432.0,0.757,0.583,0.687
Cem Mil - Ao Vivo,5eMmT4Ava5BGThju0AD8vQ,Gusttavo Lima,82538976.0,0.901,0.924,0.819
Ela É do Tipo,2x8TNY9KwNvD19gVGs4WOP,MC Kevin o Chris,79154387.0,0.632,0.633,0.398
Quarta Cadeira - Ao Vivo,5q0NlM6Pm8Pp3orq7zGiRn,Matheus & Kauan,76625764.0,0.565,0.604,0.82
Evoluiu,0WhDotK0QXigmsrlw0DxKK,MC Kevin o Chris,74211454.0,0.776,0.694,0.465
Bebaça - Ao Vivo,6YjyT6MEMsMc41NNWk2dYg,Marília Mendonça,71318407.0,0.663,0.875,0.884
Vamos pra Gaiola,7FiIQXpIeLo3ITfGGpb8PB,MC Kevin o Chris,68654945.0,0.872,0.521,0.971
Lençol Dobrado,5pRGXCDY0eT6R1QicAn7Uk,João Gustavo e Murilo,68390620.0,0.707,0.674,0.664
Ouvi Dizer,1qCLx3nX25NuhfPjM5E1qV,Melim,67743582.0,0.641,0.727,0.614
Hoje Eu Vou Parar Na Gaiola,0IQCOAw9ZAI6WnXIrl481F,Mc Livinho,66981507.0,0.65,0.844,0.361
Péssimo Negócio (Ao Vivo),5MMrkwK6AgNAsgHVdC7daZ,Dilsinho,66535355.0,0.538,0.544,0.651
Bola Rebola,1OUPXna2MCgAt3VNmXJBtg,Tropkillaz,66289377.0,0.834,0.865,0.777
Espaçosa Demais - Ao Vivo,4lEw9Id7kLDSJ6KRdaenM9,Felipe Araújo,65786898.0,0.676,0.711,0.888
Infarto,0XEJ7eph2IWFYZc73Jm3n2,Diego & Victor Hugo,65646189.0,0.619,0.605,0.796
A Culpa é do Meu Grau (feat. Zé Neto & Cristiano) - Ao Vivo em Brasília,4gDvg62vG96w0qJaF6wzcd,Diego & Victor Hugo,63924358.0,0.542,0.634,0.876
Quem Me Dera,2lAyctg5FocS67eksHoyIg,Márcia Fellipe,63170819.0,0.815,0.896,0.723
Não Abro Mão - Ao Vivo,3L2uyIJoJPjYkSETVNSPBQ,Maiara & Maraisa,62695883.0,0.615,0.588,0.499
Shallow,2VxeLyX666F8uXCJ0dZF8B,Lady Gaga,62470020.0,0.572,0.323,0.385
Supera - Ao Vivo,3GmJxfnUDrIs1iCfKUELFz,Marília Mendonça,62037037.0,0.665,0.658,0.743
Poesia Acústica #6: Era uma Vez,13Rf6RaZT13TW4xLQR3MQr,Pineapple StormTv,60400963.0,0.518,0.577,0.575
Posto 24h (feat. Wesley Safadão) - Ao Vivo,3mNmUjoDHYDYj08IaRPtg0,Lucas Lucco,59150213.0,0.703,0.626,0.929
Gaiola É o Troco,3Uq45ipGutypFPmETfaoaH,MC Du Black,58016092.0,0.722,0.851,0.84
Meu Abrigo,5U28PY9MekLyCBYtLHGQpe,Melim,57742032.0,0.658,0.741,0.572
Ferida Curada,1U3tv41tFRgOfbytpuYQrR,Zé Neto & Cristiano,57389389.0,0.49,0.548,0.845
Agora é Tudo Meu,5yH8pYxNckOU1cxfPsMIaz,DENNIS,57235672.0,0.848,0.506,0.933
Vingança - Ao Vivo,7KdcbYcVF8LkQeQcTYOixJ,Luan Santana,57158226.0,0.608,0.431,0.729
Onda diferente (feat. Papatinho),2H8ETIUEoN9YMf56X66bxd,Anitta,56629419.0,0.705,0.574,0.721
Sem Sal - Ao Vivo,0EZuXcsnjEmGuRYdFdcctX,Marília Mendonça,53989965.0,0.559,0.823,0.844
quando a bad bater - ao vivo,5gvrBqNFFEWcxYPt3mamvJ,Luan Santana,53065218.0,0.648,0.53,0.789
Ciumeira - Ao Vivo,7D5F5BzIon5zhzQrOU2pdN,Marília Mendonça,52700894.0,0.741,0.765,0.813
Hit Contagiante,5dKesZwp6deuhEeW8F1UEi,Felipe Original,52485285.0,0.819,0.959,0.684
Lençol Dobrado,72xB2J9ZeBl0Rzxq2XmzdY,João Gustavo e Murilo,51883262.0,0.707,0.674,0.664
Sentou e Gostou,6V43u5SCjkfMpxMAXRPifr,MC JottaPê,51519678.0,0.702,0.722,0.672
Serenata - Ao Vivo,5fY9bVl1Wj4PIM3wnduWop,Marília Mendonça,50828235.0,0.711,0.743,0.711
Algo Mais (Amante) - Ao Vivo,4jGzR5Vri06Y5T9SxM7m5P,Xand Avião,49476108.0,0.697,0.665,0.844
7 rings,6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,48107775.0,0.778,0.327,0.317
Parado no Bailão,3Hb9kUdm4yf839Fle4RIdT,MC L da Vinte,47877838.0,0.828,0.478,0.599
Vai menina,1oQppEGTHYN53xfEaTz4ua,PEDRO SAMPAIO,47608093.0,0.795,0.963,0.878
Deixa (feat. Ana Gabriela),3fLqmaO4vvZpFZSZy52VMp,Lagum,46797169.0,0.498,0.323,0.326
Malemolência,5rwdmpN5eMWIIwK4R96vv1,Dynho Alves,46789215.0,0.829,0.848,0.64
Dona de mim,0H8CBal2Dcu5Yc001VotZN,IZA,46755507.0,0.412,0.254,0.809
Surtada - Remix Brega Funk,5F8ffc8KWKNawllr5WsW0r,Dadá Boladão,46727807.0,0.832,0.881,0.55
