Track Name,spotify_id,Artist,Streams,Danceability,Valence,Energy
bad guy,2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,40708868.0,0.701,0.562,0.425
Sunflower - Spider-Man: Into the Spider-Verse,3KkXRkHbMCARz0aVfEt68P,Post Malone,33368490.0,0.76,0.913,0.479
Wow.,6MWtB6iiXyIwun0YzU6DFP,Post Malone,32122714.0,0.833,0.385,0.539
MIDDLE CHILD,2JvzF1RMd7lE3KmFlsyZD8,J. Cole,32023417.0,0.837,0.463,0.364
Going Bad (feat. Drake),2IRZnDFmlqMuOrYOLnZZyc,Meek Mill,31008816.0,0.889,0.544,0.496
7 rings,6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,30074815.0,0.778,0.327,0.317
Money In The Grave (Drake ft. Rick Ross),5ry2OE6R2zPQFDO85XkgRb,Drake,29108996.0,0.831,0.101,0.502
Old Town Road (feat. Billy Ray Cyrus) - Remix,6u7jPi22kF8CTQ3rb9DHE7,Lil Nas X,28252201.0,0.878,0.639,0.619
Swervin (feat. 6ix9ine),1wJRveJZLSb1rjhnUHQiv6,A Boogie Wit da Hoodie,27793294.0,0.581,0.434,0.662
Someone You Loved,7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,27643366.0,0.501,0.446,0.405
Shallow,2VxeLyX666F8uXCJ0dZF8B,Lady Gaga,27172199.0,0.572,0.323,0.385
Truth Hurts,5qmq61DAAOUaW8AUo8xKhh,Lizzo,26718131.0,0.715,0.412,0.624
SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,Travis Scott,25387000.0,0.834,0.446,0.73
Señorita,6v3KW9xbzN5yKLt9YKDYA2,Shawn Mendes,24723419.0,0.759,0.749,0.548
Goodbyes (Feat. Young Thug),6vBdBCoOhKHiYDDOcorfNo,Post Malone,24395853.0,0.58,0.175,0.653
Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,Sam Smith,24259090.0,0.741,0.347,0.52
Happier,2dpaYNEQHiRxtZbfNsse99,Marshmello,24226045.0,0.687,0.671,0.792
Without Me,5p7ujcrUXASCNwRaWNHR1C,Halsey,23916584.0,0.752,0.533,0.488
Eastside (with Halsey & Khalid),7FGq80cy8juXBCD2nrqdWU,benny blanco,23797212.0,0.632,0.329,0.686
Look Back at It,3Ol2xnObFdKV9pmRD2t9x8,A Boogie Wit da Hoodie,22998686.0,0.791,0.536,0.587
Murder On My Mind,7eBqSVxrzQZtK2mmgRG6lC,YNW Melly,21922591.0,0.759,0.74,0.73
Drip Too Hard (Lil Baby & Gunna),78QR3Wp35dqAhFEc2qAGjE,Lil Baby,21235213.0,0.897,0.389,0.662
Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,Tones And I,21064866.0,0.825,0.54,0.593
"break up with your girlfriend, i'm bored",4kV4N9D1iKVxx1KLvtTpjS,Ariana Grande,20755431.0,0.726,0.335,0.554
Old Town Road,53CJANUxooaqGOtdsBTh7O,Lil Nas X,20546070.0,0.908,0.471,0.517
Lalala,51Fjme0JiitpyXKuyQiCDo,Y2K,20334197.0,0.843,0.496,0.391
Lucid Dreams,285pBltuF7vW8TeWk8hdRR,Juice WRLD,20243342.0,0.511,0.218,0.566
Beautiful People (feat. Khalid),70eFcWOvlMObDhURTqT4Fv,Ed Sheeran,19812572.0,0.64,0.546,0.647
