Track Name,spotify_id,Artist,Streams,Danceability,Valence,Energy
Caliente,3wjl3uPGckJUAeI5cRG0bZ,Mente Fuerte,301550.0,0.746,0.222,0.647
bad guy,2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,249583.0,0.701,0.562,0.425
Gigi,2ySWuhmNR789tk5AN2EUc3,Rina,214796.0,0.502,0.565,0.821
7 rings,6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,205098.0,0.778,0.327,0.317
Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,Tones And I,189619.0,0.825,0.54,0.593
Shallow,2VxeLyX666F8uXCJ0dZF8B,Lady Gaga,189176.0,0.572,0.323,0.385
Wow.,6MWtB6iiXyIwun0YzU6DFP,Post Malone,173475.0,0.833,0.385,0.539
Señorita,6v3KW9xbzN5yKLt9YKDYA2,Shawn Mendes,169703.0,0.759,0.749,0.548
Business,3gN3eHqeAp9NSQUAT9xtzg,TOQUEL,161131.0,0.792,0.803,0.687
Senorita,4Wc7eARS7kCa4oX2lQ8AxT,SNIK,159711.0,0.476,0.529,0.684
Someone You Loved,7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,158810.0,0.501,0.446,0.405
Don't Call Me Up,5WHTFyqSii0lmT9R21abT8,Mabel,153557.0,0.674,0.234,0.881
Without Me,5p7ujcrUXASCNwRaWNHR1C,Halsey,145242.0,0.752,0.533,0.488
Sweet but Psycho,25sgk305KZfyuqVBQIahim,Ava Max,142075.0,0.719,0.628,0.704
Deja Vu,5A1uS1PcKcMsMG36KgAq1d,Hawk,138414.0,0.449,0.176,0.548
Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,Sam Smith,137915.0,0.741,0.347,0.52
Old Town Road (feat. Billy Ray Cyrus) - Remix,6u7jPi22kF8CTQ3rb9DHE7,Lil Nas X,133697.0,0.878,0.639,0.619
Con Calma,5w9c2J52mkdntKOmRLeM2m,Daddy Yankee,132923.0,0.737,0.656,0.86
Lalala,51Fjme0JiitpyXKuyQiCDo,Y2K,130875.0,0.843,0.496,0.391
Happier,2dpaYNEQHiRxtZbfNsse99,Marshmello,130053.0,0.687,0.671,0.792
Mama?,4MEbrM0ASH9jRmoOJQGRUz,Sin Boy,128413.0,0.712,0.188,0.788
Beautiful People (feat. Khalid),70eFcWOvlMObDhURTqT4Fv,Ed Sheeran,127950.0,0.64,0.546,0.647
Ju Ju,5GZYZB1pFqcageFCNW0RlB,Sin Boy,126949.0,0.691,0.727,0.794
Let Me Down Slowly,2qxmye6gAegTMjLKEBoR3d,Alec Benjamin,126216.0,0.652,0.483,0.557
Sunflower - Spider-Man: Into the Spider-Verse,3KkXRkHbMCARz0aVfEt68P,Post Malone,121584.0,0.76,0.913,0.479
De Me Theloun,5z8K92vYj0FH6C05HAT2Ve,Fy,120604.0,0.903,0.941,0.527
"break up with your girlfriend, i'm bored",4kV4N9D1iKVxx1KLvtTpjS,Ariana Grande,116656.0,0.726,0.335,0.554
Piece Of Your Heart,1DFD5Fotzgn6yYXkYsKiGs,MEDUZA,115564.0,0.677,0.631,0.744
MIDDLE CHILD,2JvzF1RMd7lE3KmFlsyZD8,J. Cole,115439.0,0.837,0.463,0.364
I Don't Care (with Justin Bieber),0hVXuCcriWRGvwMV1r5Yn9,Ed Sheeran,111388.0,0.798,0.843,0.676
Money In The Grave (Drake ft. Rick Ross),5ry2OE6R2zPQFDO85XkgRb,Drake,110840.0,0.831,0.101,0.502
Stars,3MkDbpHIHxmxOzqUAClMj3,TOQUEL,109816.0,0.725,0.118,0.701
How Do You Sleep?,6b2RcmUt1g9N9mQ3CbjX2Y,Sam Smith,109266.0,0.477,0.345,0.682
Eastside (with Halsey & Khalid),7FGq80cy8juXBCD2nrqdWU,benny blanco,108814.0,0.632,0.329,0.686
SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,Travis Scott,104853.0,0.834,0.446,0.73
Old Town Road,53CJANUxooaqGOtdsBTh7O,Lil Nas X,103379.0,0.908,0.471,0.517
Netflix,2JwQnJFhBVjX6XR9d0bq7S,TOQUEL,99718.0,0.803,0.353,0.556
Going Bad (feat. Drake),2IRZnDFmlqMuOrYOLnZZyc,Meek Mill,99251.0,0.889,0.544,0.496
Sandra,73KYTCSbVlj5E02qWj8DPF,TOQUEL,98633.0,0.78,0.395,0.759
Goodbyes (Feat. Young Thug),6vBdBCoOhKHiYDDOcorfNo,Post Malone,98214.0,0.58,0.175,0.653
Better Now,7dt6x5M1jzdTEt8oCbisTK,Post Malone,96862.0,0.68,0.341,0.578
rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt,Post Malone,95157.0,0.585,0.129,0.52
Loco Contigo (feat. J. Balvin & Tyga),6osaMSJh9NguagEDQcZaKx,DJ Snake,94302.0,0.694,0.371,0.758
Calma - Remix,5iwz1NiezX7WWjnCgY5TH4,Pedro Capó,90694.0,0.826,0.761,0.773
Mosca,3rwuYQM6eEqTLWapNYAeZD,Light,89918.0,0.803,0.296,0.462
High Hopes,1rqqCSm0Qe4I9rUvWncaom,Panic! At The Disco,89379.0,0.579,0.681,0.904
I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,Ed Sheeran,88510.0,0.798,0.842,0.675
Lucid Dreams,285pBltuF7vW8TeWk8hdRR,Juice WRLD,88430.0,0.511,0.218,0.566
HIGHEST IN THE ROOM,3eekarcy7kvN4yt5ZFzltW,Travis Scott,85768.0,0.598,0.0605,0.427
Youngblood,2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,85726.0,0.596,0.152,0.854
