Track Name,spotify_id,Artist,Streams,Danceability,Valence,Energy
Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,Tones And I,72521569.0,0.825,0.54,0.593
Wieder Lila,2kkcJ8tSDV42LdWcPjy6We,Samra,61351536.0,0.656,0.645,0.756
bad guy,2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,61274227.0,0.701,0.562,0.425
Sweet but Psycho,25sgk305KZfyuqVBQIahim,Ava Max,50308267.0,0.719,0.628,0.704
Tilidin,1VEMUkGFio5uURvN8x1DZJ,Capital Bra,47798814.0,0.631,0.721,0.673
Vermissen (feat. Henning May),07f2b3CTdgKKlhv0mqUksz,Juju,46868132.0,0.717,0.464,0.668
Roller,5dhQeuLGmlhfwlI6BWfSpo,Apache 207,45165322.0,0.928,0.729,0.758
500 PS,4UOXo3xWnxYdTf3sFyRaUG,Bonez MC,44803895.0,0.805,0.836,0.924
Wolke 10,200cTjC6si5Xz9af2QeHi2,MERO,44105891.0,0.77,0.393,0.797
Piece Of Your Heart,1DFD5Fotzgn6yYXkYsKiGs,MEDUZA,44076407.0,0.677,0.631,0.744
Roller,6hw1Sy9wZ8UCxYGdpKrU6M,Apache 207,43838966.0,0.941,0.683,0.758
Gib Ihm,5iIgIxtMNeogKaFUfvuAbs,SHIRIN DAVID,42921356.0,0.928,0.578,0.402
Don't Call Me Up,5WHTFyqSii0lmT9R21abT8,Mabel,41052989.0,0.674,0.234,0.881
Con Calma,5w9c2J52mkdntKOmRLeM2m,Daddy Yankee,40969193.0,0.737,0.656,0.86
Rolex,38lQ7lYhN3eSWepnZHaiBF,Capital Bra,38388803.0,0.813,0.716,0.59
Yapma,1194zYf7UfSXP4omxVTmPa,C ARMA,38026137.0,0.771,0.832,0.711
110,67ojvEGRPAUCOohuMPqoRC,Capital Bra,37325395.0,0.48,0.419,0.749
"Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)",4Nip6oiJU24LqcUEi7u19S,KitschKrieg,36689197.0,0.825,0.876,0.76
Prinzessa,7r55d7IhAj5UGKiYbXBwRP,Capital Bra,35498752.0,0.732,0.277,0.583
Señorita,6v3KW9xbzN5yKLt9YKDYA2,Shawn Mendes,34975743.0,0.759,0.749,0.548
Tausend Tattoos,2PAYSgrVOBz8RJqp9B7QLu,Sido,34717792.0,0.675,0.342,0.803
JAJA,5z3vuYzS9UF6rD6TmBEdUf,Fero47,34601521.0,0.787,0.799,0.839
Cherry Lady,3r1cV21xPMkgCmxk8VqWOB,Capital Bra,34425749.0,0.838,0.654,0.549
Diamonds (feat. Capital Bra),2QpxC2yag7Ec7Ut1dovXKb,Summer Cem,34343059.0,0.763,0.347,0.495
cOcO MAmA,0oOPa0AlLnjCO6eci0HIdH,Dardan,34285088.0,0.515,0.374,0.59
Old Town Road (feat. Billy Ray Cyrus) - Remix,6u7jPi22kF8CTQ3rb9DHE7,Lil Nas X,34191778.0,0.878,0.639,0.619
In My Mind,0E9ZjEAyAwOXZ7wJC0PD33,Dynoro,34187610.0,0.694,0.163,0.77
Someone You Loved,7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,33793167.0,0.501,0.446,0.405
2002,2u8AXJyk8pICzj2wyPBL0b,Sido,33698360.0,0.657,0.493,0.691
High Hopes,1rqqCSm0Qe4I9rUvWncaom,Panic! At The Disco,31778267.0,0.579,0.681,0.904
Beautiful People (feat. Khalid),70eFcWOvlMObDhURTqT4Fv,Ed Sheeran,31644947.0,0.64,0.546,0.647
Wieso tust Du dir das an?,6dNB3XdAzx7kTf5wa8Rg89,Apache 207,31382664.0,0.857,0.461,0.473
Wow.,6MWtB6iiXyIwun0YzU6DFP,Post Malone,31061991.0,0.833,0.385,0.539
DODI,63THFs9ovzO3WQsz4lzh0H,Shindy,30868534.0,0.823,0.371,0.56
Kein Problem,3Zigq1lfHmFRlyoRrh9k2s,Apache 207,30565900.0,0.851,0.788,0.695
Vermissen (feat. Henning May),1SSzM044DUbVpYNNHWIhYJ,Juju,30202835.0,0.718,0.48,0.667
Speechless (feat. Erika Sirola),1rCcsYnmqbMYdkG7kS9GC5,Robin Schulz,30131194.0,0.574,0.266,0.728
Ferrari,4AgK0CwpwcekXVdAoYB2VO,Eno,30128802.0,0.73,0.625,0.725
Affalterbach,1L8LtC2s161XwY6YrtnQjw,Shindy,30043255.0,0.819,0.766,0.674
7 rings,6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,29852459.0,0.778,0.327,0.317
Shallow,2VxeLyX666F8uXCJ0dZF8B,Lady Gaga,29271424.0,0.572,0.323,0.385
Benzema,7KPGeiXWDsGEvFK62wzU8E,Capital Bra,28853390.0,0.783,0.26,0.692
Hobby Hobby,260R90ctQ1SiPax90PuEsT,MERO,28760913.0,0.737,0.857,0.75
Harami,5xIODxqlpUnRVA9ewZUCug,Samra,28529791.0,0.645,0.635,0.774
Old Town Road,53CJANUxooaqGOtdsBTh7O,Lil Nas X,28215810.0,0.908,0.471,0.517
Moonlight,0A5gdlrpAuQqZ2iFgnqBFW,Gaullin,27864819.0,0.813,0.29,0.761
200 km/h,2PGA1AsJal6cyMNmKyE56q,Apache 207,27668531.0,0.899,0.413,0.67
DNA,4BD9yUEFI07WaDJ381DDMq,KC Rebell,27024118.0,0.828,0.544,0.686
Let Me Down Slowly,2qxmye6gAegTMjLKEBoR3d,Alec Benjamin,26906903.0,0.652,0.483,0.557
Pass auf wen du liebst,5NsCv3I7o0f6vSQScG01f1,Ufo361,26903661.0,0.592,0.315,0.572
