Track Name,spotify_id,Artist,Streams,Danceability,Valence,Energy
Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,Tones And I,522349.0,0.825,0.54,0.593
bad guy,2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,468464.0,0.701,0.562,0.425
Shallow,2VxeLyX666F8uXCJ0dZF8B,Lady Gaga,402488.0,0.572,0.323,0.385
Someone You Loved,7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,402331.0,0.501,0.446,0.405
Señorita,6v3KW9xbzN5yKLt9YKDYA2,Shawn Mendes,387377.0,0.759,0.749,0.548
Con Calma,5w9c2J52mkdntKOmRLeM2m,Daddy Yankee,378372.0,0.737,0.656,0.86
Don't Call Me Up,5WHTFyqSii0lmT9R21abT8,Mabel,350682.0,0.674,0.234,0.881
Let Me Down Slowly,2qxmye6gAegTMjLKEBoR3d,Alec Benjamin,322006.0,0.652,0.483,0.557
7 rings,6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,319488.0,0.778,0.327,0.317
Sweet but Psycho,25sgk305KZfyuqVBQIahim,Ava Max,318570.0,0.719,0.628,0.704
Beautiful People (feat. Khalid),70eFcWOvlMObDhURTqT4Fv,Ed Sheeran,309212.0,0.64,0.546,0.647
Old Town Road (feat. Billy Ray Cyrus) - Remix,6u7jPi22kF8CTQ3rb9DHE7,Lil Nas X,303112.0,0.878,0.639,0.619
Piece Of Your Heart,1DFD5Fotzgn6yYXkYsKiGs,MEDUZA,298586.0,0.677,0.631,0.744
Happier,2dpaYNEQHiRxtZbfNsse99,Marshmello,265573.0,0.687,0.671,0.792
High Hopes,1rqqCSm0Qe4I9rUvWncaom,Panic! At The Disco,261444.0,0.579,0.681,0.904
Wow.,6MWtB6iiXyIwun0YzU6DFP,Post Malone,261077.0,0.833,0.385,0.539
Loco Contigo (feat. J. Balvin & Tyga),6osaMSJh9NguagEDQcZaKx,DJ Snake,256836.0,0.694,0.371,0.758
Calma - Remix,5iwz1NiezX7WWjnCgY5TH4,Pedro Capó,243251.0,0.826,0.761,0.773
Without Me,5p7ujcrUXASCNwRaWNHR1C,Halsey,239765.0,0.752,0.533,0.488
