Track Name,spotify_id,Artist,Streams,Danceability,Valence,Energy
Boy With Luv (feat. Halsey),5KawlOMHjWeUjQtnuRs22c,BTS,10197713.0,0.645,0.798,0.862
Someone You Loved,7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,9393206.0,0.501,0.446,0.405
Kill This Love,4pUCKHjJ4Ijewc37rRrvHn,BLACKPINK,8939981.0,0.738,0.58,0.861
Señorita,6v3KW9xbzN5yKLt9YKDYA2,Shawn Mendes,8177826.0,0.759,0.749,0.548
7 rings,6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,8018648.0,0.778,0.327,0.317
Without Me,5p7ujcrUXASCNwRaWNHR1C,Halsey,7815310.0,0.752,0.533,0.488
It's You,6moU77g9RQyMzHNuKEaQKq,Ali Gatie,7748363.0,0.732,0.397,0.463
bad guy,2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,7440166.0,0.701,0.562,0.425
Sunflower - Spider-Man: Into the Spider-Verse,3KkXRkHbMCARz0aVfEt68P,Post Malone,6598209.0,0.76,0.913,0.479
Mimpi (feat. Alif),13j4wsiG0BjaDb04YZWIXV,K-Clique,6516448.0,0.825,0.868,0.728
i'm so tired...,7COXchtUOMd6uIT6HvmRaI,Lauv,6506525.0,0.599,0.534,0.733
Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,Sam Smith,6454147.0,0.741,0.347,0.52
Lily,0lks2Kt9veMOFEAPN0fsqN,Alan Walker,6446809.0,0.423,0.467,0.634
Memories,2b8fOow8UzyDFAE27YhOZM,Maroon 5,6220295.0,0.764,0.575,0.32
I.F.L.Y.,4a6q8CR2hzLk2plDkSxkfD,Bazzi,6084448.0,0.812,0.554,0.519
Goodbyes (Feat. Young Thug),6vBdBCoOhKHiYDDOcorfNo,Post Malone,5937309.0,0.58,0.175,0.653
Way Back Home (feat. Conor Maynard) - Sam Feldt Edit,1ZLrDPgR7mvuTco3rQK8Pk,SHAUN,5888926.0,0.737,0.447,0.747
Sweet but Psycho,25sgk305KZfyuqVBQIahim,Ava Max,5873469.0,0.719,0.628,0.704
