Track Name,spotify_id,Artist,Streams,Danceability,Valence,Energy
怎麼了,2IAumRplFr0Ns09kKgt2je,Eric Chou,7398049,0.496,0.263,0.515
年少有為,6XY80Ofqd8j0SGiEdRLwCp,Ronghao Li,6396037,0.518,0.289,0.462
bad guy,2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,6111656,0.701,0.562,0.425
真的傻 (電影《一吻定情》追愛版主題曲),7mCr6Rn5jx04Fisvts97Z3,LaLa Hsu,5732104,0.522,0.332,0.383
Señorita,6v3KW9xbzN5yKLt9YKDYA2,Shawn Mendes,5661152,0.759,0.749,0.548
倒數,2HmM5p02Q2qrYZvXJRLVx3,G.E.M.,5557646,0.526,0.204,0.671
Shallow,2VxeLyX666F8uXCJ0dZF8B,Lady Gaga,5211057,0.572,0.323,0.385
體面(電影《前任3:再見前任》插曲),7cE5ehlKJ3L9Ejhzm3udcF,Kelly Yu,5151407,0.36,0.205,0.465
慢慢喜歡你,7EoyERNueJuFlQbyrRB0US,Karen Mok,5009753,0.601,0.375,0.316
有一種悲傷 - 電影《比悲傷更悲傷的故事》主題曲,6iNH42q8haGYDYGhKK6XiJ,A-Lin,5007828,0.36,0.37,0.233
玫瑰少年,2uHMTG5xr9Xk7MrXIWrVUH,Jolin Tsai,5003394,0.648,0.287,0.716
路過人間 (電視劇《我們與惡的距離》插曲),1ZSleGniKMWNrWvK5cGALO,Yisa Yu,4967223,0.615,0.148,0.386
Boy With Luv (feat. Halsey),5KawlOMHjWeUjQtnuRs22c,BTS,4915669,0.645,0.798,0.862
浪流連,2GJ9TC1R5yzZ2gYPKGPGyp,EggPlantEgg,4906145,0.523,0.243,0.522
浪子回頭,7J6wLr8qRqLPMeOZlR54NM,EggPlantEgg,4899537,0.473,0.203,0.488
別讓我走遠 (電視劇《我們與惡的距離》主題曲),7fjGyTWookViY8LlvjqpVq,Yoga Lin,4826133,0.373,0.161,0.5
Without You,3PkOwdI6mZKr63PSoKwotv,高爾宣 OSN,4726986,0.669,0.286,0.698
Way Back Home (feat. Conor Maynard) - Sam Feldt Edit,1ZLrDPgR7mvuTco3rQK8Pk,SHAUN,4620996,0.737,0.447,0.747
你要的全拿走,37BXaP8wCJrH0M3AdtSNyk,Tiger Hu,4615848,0.618,0.157,0.573
Beautiful People (feat. Khalid),70eFcWOvlMObDhURTqT4Fv,Ed Sheeran,4534302,0.64,0.546,0.647
怪美的,0cONHWTIfgEpAuVwbbwGgc,Jolin Tsai,4488621,0.767,0.58,0.625
绿色,6ZoJngyuPof3KsFhFKA5P5,Shirley Chen,4470531,0.703,0.392,0.56
2002,2BgEsaKNfHUdlh97KmvFyo,Anne-Marie,4350574,0.697,0.603,0.683
幾分之幾 - 電影<花甲大人轉男孩>主題曲,4F7ZAsndEIJXyFzJUHNlRu,Crowd Lu,4344261,0.519,0.425,0.342
