Track Name,spotify_id,Artist,Streams
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,5388572.0
Thunder,0tKcYR2II1VCQWT79i5NrW,Imagine Dragons,3079918.0
Something Just Like This,6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,2986535.0
Solo Dance,6HUnnBwYZqcED1eQztxMBN,Martin Jensen,2700074.0
Believer,0CcQNd8CINkwQfe1RDtGV6,Imagine Dragons,2679783.0
It Ain't Me (with Selena Gomez),3eR23VReFzcdmS7TYCrhCe,Kygo,2628959.0
OK,3bWAqKDWg6u1davspr5IkS,Robin Schulz,2563357.0
Despacito (Featuring Daddy Yankee),4aWmUDTfIPGksMNLV2rQP2,Luis Fonsi,2537450.0
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,Luis Fonsi,2507484.0
Paris,72jbDTw1piOOj770jWNeaG,The Chainsmokers,2446924.0
Galway Girl,0afhq8XCExXpqazXczTSve,Ed Sheeran,2446187.0
More Than You Know,3PEgB3fkiojxms35ntsTgs,Axwell /\ Ingrosso,2403153.0
Tuesday,7abpmGpF7PGep2rDU68GBR,Burak Yeter,2355700.0
I Like Me Better,1wjzFQodRWrPcQ0AnYnvQ9,Lauv,2234862.0
There's Nothing Holdin' Me Back,79cuOz3SPQTuFrp8WgftAu,Shawn Mendes,2206805.0
Swalla (feat. Nicki Minaj & Ty Dolla $ign),6kex4EBAj0WHXDKZMEJaaF,Jason Derulo,2160598.0
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3NdDpSvN911VPGivFlV5d0,ZAYN,2099825.0
Was du Liebe nennst,4hKWUzhQWsOkgT6LnDEASe,Bausa,2098193.0
Attention,4iLqG9SeJSnt0cSPICSjxv,Charlie Puth,2072788.0
Stay (with Alessia Cara),0dA2Mk56wEzDgegdC6R17g,Zedd,2043277.0
Scared to Be Lonely,3ebXMykcMXOcLeJ9xZ17XH,Martin Garrix,2029105.0
Havana,0ofbQMrRDsUaVKq2mGLEAb,Camila Cabello,2019138.0
Call On Me - Ryan Riback Extended Remix,78rIJddV4X0HkNAInEcYde,Starley,1989303.0
Castle on the Hill,6PCUP3dWmTjcTtXY02oFdT,Ed Sheeran,1964204.0
Mi Gente,2rb5MvYT7ZIxbKW5hfcHx8,J Balvin,1906988.0
New Rules,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,1856298.0
Pretty Girl - Cheat Codes X CADE Remix,1NDxZ7cFAo481dtYWdrUnR,Maggie Lindemann,1852188.0
Perfect,0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,1850909.0
Symphony (feat. Zara Larsson),1x5sYLZiu9r5E43kMlt9f8,Clean Bandit,1834244.0
rockstar,7wGoVu4Dady5GV0Sv4UIsx,Post Malone,1816458.0
Strip That Down,6EpRaXYhGOB3fj4V2uDkMJ,Liam Payne,1801902.0
Unforgettable,3B54sVLJ402zGa6Xm4YGNe,French Montana,1796403.0
Silence,7vGuf3Y35N4wmASOKLUVVU,Marshmello,1779857.0
Your Song,4c2W3VKsOFoIg2SFaO6DY5,Rita Ora,1762939.0
Mama,0NiXXAI876aGImAd6rTj8w,Jonas Blue,1735786.0
2U (feat. Justin Bieber),3A7qX2QjDlPnazUsRk5y0M,David Guetta,1722464.0
Dusk Till Dawn - Radio Edit,1j4kHkkpqZRBwE0A4CN4Yv,ZAYN,1644426.0
Weak,3E2Zh20GDCR9B1EYjfXWyv,AJR,1616132.0
Ohne mein Team,05Mp2UJulSttxQ4E6hQPH3,Bonez MC,1614937.0
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",3DXncPQOG4VBw3QHh3S817,DJ Khaled,1606678.0
Hot2Touch,1sBhJGPUKrdRycgKxve70v,Felix Jaehn,1570569.0
SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),7nKBxz47S9SD79N086fuhn,Enrique Iglesias,1527719.0
Alone,0JiVRyTJcJnmlwCZ854K4p,Alan Walker,1493929.0
Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK,Portugal. The Man,1484540.0
Rockabye (feat. Sean Paul & Anne-Marie),5knuzwU65gJK7IF5yJsuaW,Clean Bandit,1468779.0
All Time Low,1CnPYaKxTVb4LWOtiGOm0m,Jon Bellion,1444460.0
Primo,7y5chiQbuvviOYUfUmOPqo,RAF Camora,1423184.0
HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,1412587.0
Wild Thoughts (feat. Rihanna & Bryson Tiller),1OAh8uOEOvTDqkKFsKksCi,DJ Khaled,1399287.0
There for You,6jA8HL9i4QGzsj6fjoxp8Y,Martin Garrix,1399089.0
