Track Name,spotify_id,Artist,Streams
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,732342.0
HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,356221.0
Despacito (Featuring Daddy Yankee),4aWmUDTfIPGksMNLV2rQP2,Luis Fonsi,349312.0
New Rules,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,320654.0
rockstar,7wGoVu4Dady5GV0Sv4UIsx,Post Malone,290833.0
Mask Off,3rOSwuTsUlJp0Pu0MkN8r8,Future,278834.0
Believer,0CcQNd8CINkwQfe1RDtGV6,Imagine Dragons,277790.0
Wild Thoughts (feat. Rihanna & Bryson Tiller),1OAh8uOEOvTDqkKFsKksCi,DJ Khaled,273320.0
Starboy,5aAx2yezTd8zXrkmtKl66Z,The Weeknd,266188.0
Swalla (feat. Nicki Minaj & Ty Dolla $ign),6kex4EBAj0WHXDKZMEJaaF,Jason Derulo,265380.0
It Ain't Me (with Selena Gomez),3eR23VReFzcdmS7TYCrhCe,Kygo,264685.0
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3NdDpSvN911VPGivFlV5d0,ZAYN,263668.0
Havana,0ofbQMrRDsUaVKq2mGLEAb,Camila Cabello,263027.0
Attention,4iLqG9SeJSnt0cSPICSjxv,Charlie Puth,257608.0
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,Luis Fonsi,253222.0
Unforgettable,3B54sVLJ402zGa6Xm4YGNe,French Montana,240294.0
Thunder,0tKcYR2II1VCQWT79i5NrW,Imagine Dragons,238334.0
Something Just Like This,6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,236146.0
Stay (with Alessia Cara),0dA2Mk56wEzDgegdC6R17g,Zedd,235650.0
2U (feat. Justin Bieber),3A7qX2QjDlPnazUsRk5y0M,David Guetta,234676.0
There's Nothing Holdin' Me Back,79cuOz3SPQTuFrp8WgftAu,Shawn Mendes,231662.0
Mi Gente,2rb5MvYT7ZIxbKW5hfcHx8,J Balvin,226659.0
Scared to Be Lonely,3ebXMykcMXOcLeJ9xZ17XH,Martin Garrix,218481.0
Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK,Portugal. The Man,214859.0
Symphony (feat. Zara Larsson),1x5sYLZiu9r5E43kMlt9f8,Clean Bandit,209137.0
Galway Girl,0afhq8XCExXpqazXczTSve,Ed Sheeran,205023.0
Bad and Boujee (feat. Lil Uzi Vert),4Km5HrUvYTaSUfiSGPJeQR,Migos,200702.0
DNA.,6HZILIRieu8S0iqY8kIKhj,Kendrick Lamar,199129.0
Congratulations,3a1lNhkSLSkpJE4MSHpDu9,Post Malone,196086.0
Dusk Till Dawn - Radio Edit,1j4kHkkpqZRBwE0A4CN4Yv,ZAYN,193427.0
Call On Me - Ryan Riback Extended Remix,78rIJddV4X0HkNAInEcYde,Starley,190717.0
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",3DXncPQOG4VBw3QHh3S817,DJ Khaled,184168.0
Strip That Down,6EpRaXYhGOB3fj4V2uDkMJ,Liam Payne,181539.0
Rockabye (feat. Sean Paul & Anne-Marie),5knuzwU65gJK7IF5yJsuaW,Clean Bandit,177403.0
Paris,72jbDTw1piOOj770jWNeaG,The Chainsmokers,176629.0
I Feel It Coming,5GXAXm5YOmYT0kL5jHvYBt,The Weeknd,175688.0
Your Song,4c2W3VKsOFoIg2SFaO6DY5,Rita Ora,170788.0
You Don't Know Me - Radio Edit,00lNx0OcTJrS3MKHcB80HY,Jax Jones,167644.0
Crying in the Club,1SJtlNRJDeYHioymcvsqev,Camila Cabello,166965.0
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",5bcTCxgc7xVfSaMV3RuVke,Calvin Harris,163513.0
Mama,0NiXXAI876aGImAd6rTj8w,Jonas Blue,159161.0
Castle on the Hill,6PCUP3dWmTjcTtXY02oFdT,Ed Sheeran,157511.0
Perfect,0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,156650.0
goosebumps,6gBFPUFcJLzWGx4lenP6h2,Travis Scott,154783.0
That's What I Like,0KKkJNfGyhkQ5aFogxQAPU,Bruno Mars,154531.0
Party Monster,4F7A0DXBrmUAkp32uenhZt,The Weeknd,153592.0
Solo Dance,6HUnnBwYZqcED1eQztxMBN,Martin Jensen,153171.0
Look What You Made Me Do,6uFsE1JgZ20EXyU0JQZbUR,Taylor Swift,152183.0
Human,58zsLZPvfflaiIbNWoA22O,Rag'n'Bone Man,152102.0
No Promises (feat. Demi Lovato),1louJpMmzEicAn7lzDalPW,Cheat Codes,150412.0
