Track Name,spotify_id,Artist,Streams
Me Rehúso,6De0lHrwBfPfrhorm9q1Xl,Danny Ocean,14814076
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,14633410
Despacito (Featuring Daddy Yankee),4aWmUDTfIPGksMNLV2rQP2,Luis Fonsi,13846491
El Amante,3umS4y3uQDkqekNjVpiRUs,Nicky Jam,12210411
"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",5q2JbCNi4FcnglgPfxcV65,Anuel AA,10588692
Otra vez (feat. J Balvin),3QwBODjSEzelZyVjxPOHdq,Zion & Lennox,10559218
Una Lady Como Tú,7MHN1aCFtLXjownGhvEQlF,Manuel Turizo,10324674
Ahora Dice,22eADXu8DfOAUEDw4vU8qy,Chris Jedi,9618157
Felices los 4,0qYTZCo5Bwh1nsUFGZP3zn,Maluma,9595815
Sigo Extrañándote,6qDF4wWL49CAVbgT7yuHl8,J Balvin,8822142
Escápate Conmigo,2cnKEkpVUSV4wnjQiTWfH6,Wisin,8736658
Te Quiero Pa´Mi,3BY2mafsbsoKGqS380Xnuz,Don Omar,8452955
Mi Gente,2rb5MvYT7ZIxbKW5hfcHx8,J Balvin,8120858
Reggaetón Lento (Bailemos),3AEZUABDXNtecAOSC1qTfo,CNCO,8006295
Bonita,693iqPOQvhI7PobtR8CC8v,J Balvin,7884232
Si Tú La Ves (feat. Wisin),4yN6xPLopmTLvc27pO9LIE,Nicky Jam,7554152
Besame,7Ckhk1XW5NV2k4jpqtQNlz,Valentino,7416386
Me llamas (feat. Maluma) - Remix,5hEM0JchdVzQ5PwvSfITeX,Piso 21,7219107
Besándote,13X0XdLMOdtbXVtAj2ox4h,Piso 21,7194584
La Rompe Corazones,4okba5wu9mMLXx79DXLKi3,Daddy Yankee,6222514
Alguien Robo,5i50gKdLAjjIr7UxRT5IVy,Sebastian Yatra,6038837
Safari,6rQSrBHf7HlZjtcMZ4S4bO,J Balvin,5983295
"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",6stYbAJgTszHAHZMPxWWCY,IAmChino,5817598
Rockabye (feat. Sean Paul & Anne-Marie),5knuzwU65gJK7IF5yJsuaW,Clean Bandit,5717757
Robarte un Beso,4z3GJkrtH97Bj6fRta983T,Carlos Vives,5701298
Let Me Love You,4pdPtRcBmOSQDlJ3Fk945m,DJ Snake,5652608
Traicionera,5J1c3M4EldCfNxXwrwt8mT,Sebastian Yatra,5637140
Hey DJ,209gZgcfLq2aUuu51vOWBl,CNCO,5635431
Bailame Despacio,4OaTpLJIa2harufGxfOPUu,Xantos,5597330
Andas En Mi Cabeza,5mey7CLLuFToM2P68Qu1gF,Chino & Nacho,5531868
SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),7nKBxz47S9SD79N086fuhn,Enrique Iglesias,5473433
Chantaje (feat. Maluma),6mICuAdrwEjh6Y6lroV2Kg,Shakira,5366636
Vivo Pensando En Ti (feat. Maluma),0H7cz1bR7w9PulJL7Na774,Felipe Peláez,5124025
Vacaciones,3dQDid3IUNhZy1OehIfYfE,Wisin,5077731
I Feel It Coming,5GXAXm5YOmYT0kL5jHvYBt,The Weeknd,5054044
Ya No Me Duele Más,4JnJ9ACXmtLkpH61ZvFSaM,Silvestre Dangond,4989350
It Ain't Me (with Selena Gomez),3eR23VReFzcdmS7TYCrhCe,Kygo,4984762
Lumbra,6VHdcVbiKLYYOcMbIqBcuK,Cali Y El Dandee,4943100
Vente Pa' Ca (feat. Maluma),7DM4BPaS7uofFul3ywMe46,Ricky Martin,4908067
Something Just Like This,6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,4866646
Si Tu Novio Te Deja Sola,0RFFFGtPn6a58RHY3ccVYX,J Balvin,4658540
Chillax (feat. Ky-Mani Marley),1lxswgIpzV6HhENRvkflES,Farruko,4612957
Al Filo de Tu Amor,77a9893yxuz36cBUmBzA8E,Carlos Vives,4599637
Swalla (feat. Nicki Minaj & Ty Dolla $ign),6kex4EBAj0WHXDKZMEJaaF,Jason Derulo,4549802
Se Preparó,1m69ELEgE6k5ZWsap40ozt,Ozuna,4541395
Báilame,7lRsNbdOGykkMAgsqs4R1C,Nacho,4535543
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,Luis Fonsi,4479292
Dile Que Tu Me Quieres,20ZAJdsKB5IGbGj4ilRt2o,Ozuna,4442778
Déjala Que Vuelva (feat. Manuel Turizo),33bnxcjePIkcmNjEFTJX0l,Piso 21,4379741
That's What I Like,0KKkJNfGyhkQ5aFogxQAPU,Bruno Mars,4298512
