Track Name,spotify_id,Artist,Streams
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,264508
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,Luis Fonsi,160556
Something Just Like This,6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,133724
Attention,4iLqG9SeJSnt0cSPICSjxv,Charlie Puth,125987
Wild Thoughts (feat. Rihanna & Bryson Tiller),1OAh8uOEOvTDqkKFsKksCi,DJ Khaled,125138
Despacito (Featuring Daddy Yankee),4aWmUDTfIPGksMNLV2rQP2,Luis Fonsi,125099
Havana,0ofbQMrRDsUaVKq2mGLEAb,Camila Cabello,124846
New Rules,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,123134
It Ain't Me (with Selena Gomez),3eR23VReFzcdmS7TYCrhCe,Kygo,121739
Swalla (feat. Nicki Minaj & Ty Dolla $ign),6kex4EBAj0WHXDKZMEJaaF,Jason Derulo,114449
Unforgettable,3B54sVLJ402zGa6Xm4YGNe,French Montana,113579
Symphony (feat. Zara Larsson),1x5sYLZiu9r5E43kMlt9f8,Clean Bandit,112313
Believer,0CcQNd8CINkwQfe1RDtGV6,Imagine Dragons,111183
rockstar,7wGoVu4Dady5GV0Sv4UIsx,Post Malone,110761
HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,108614
There's Nothing Holdin' Me Back,79cuOz3SPQTuFrp8WgftAu,Shawn Mendes,104813
Mi Gente,2rb5MvYT7ZIxbKW5hfcHx8,J Balvin,99706
Thunder,0tKcYR2II1VCQWT79i5NrW,Imagine Dragons,95572
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3NdDpSvN911VPGivFlV5d0,ZAYN,94324
2U (feat. Justin Bieber),3A7qX2QjDlPnazUsRk5y0M,David Guetta,93290
Dusk Till Dawn - Radio Edit,1j4kHkkpqZRBwE0A4CN4Yv,ZAYN,93258
Stay (with Alessia Cara),0dA2Mk56wEzDgegdC6R17g,Zedd,92909
Mask Off,3rOSwuTsUlJp0Pu0MkN8r8,Future,87625
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",3DXncPQOG4VBw3QHh3S817,DJ Khaled,87204
1-800-273-8255,5tz69p7tJuGPeMGwNTxYuV,Logic,84439
Paris,72jbDTw1piOOj770jWNeaG,The Chainsmokers,83795
Scared to Be Lonely,3ebXMykcMXOcLeJ9xZ17XH,Martin Garrix,83548
Strip That Down,6EpRaXYhGOB3fj4V2uDkMJ,Liam Payne,82366
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",5bcTCxgc7xVfSaMV3RuVke,Calvin Harris,81819
Congratulations,3a1lNhkSLSkpJE4MSHpDu9,Post Malone,81351
Silence,7vGuf3Y35N4wmASOKLUVVU,Marshmello,80704
Mama,0NiXXAI876aGImAd6rTj8w,Jonas Blue,79871
Call On Me - Ryan Riback Extended Remix,78rIJddV4X0HkNAInEcYde,Starley,79325
That's What I Like,0KKkJNfGyhkQ5aFogxQAPU,Bruno Mars,78206
Galway Girl,0afhq8XCExXpqazXczTSve,Ed Sheeran,75233
Your Song,4c2W3VKsOFoIg2SFaO6DY5,Rita Ora,74215
More Than You Know,3PEgB3fkiojxms35ntsTgs,Axwell /\ Ingrosso,70442
Rockabye (feat. Sean Paul & Anne-Marie),5knuzwU65gJK7IF5yJsuaW,Clean Bandit,68556
Solo Dance,6HUnnBwYZqcED1eQztxMBN,Martin Jensen,67798
Perfect,0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,67651
There for You,6jA8HL9i4QGzsj6fjoxp8Y,Martin Garrix,67318
Issues,1sXUWdKx03aP9Gmzft58rt,Julia Michaels,67262
Slide (feat. Frank Ocean & Migos),7tr2za8SQg2CI8EDgrdtNl,Calvin Harris,66989
Say You Won't Let Go,5uCax9HTNlzGybIStD3vDh,James Arthur,66649
No Promises (feat. Demi Lovato),1louJpMmzEicAn7lzDalPW,Cheat Codes,64174
I Like Me Better,1wjzFQodRWrPcQ0AnYnvQ9,Lauv,63349
Pretty Girl - Cheat Codes X CADE Remix,1NDxZ7cFAo481dtYWdrUnR,Maggie Lindemann,62644
Castle on the Hill,6PCUP3dWmTjcTtXY02oFdT,Ed Sheeran,62074
Friends (with BloodPop®),7nZmah2llfvLDiUjm0kiyz,Justin Bieber,58590
Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK,Portugal. The Man,57952
