Track Name,spotify_id,Artist,Streams
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,951886
Something Just Like This,6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,496442
HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,473122
Thunder,0tKcYR2II1VCQWT79i5NrW,Imagine Dragons,466850
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,Luis Fonsi,457251
Scared to Be Lonely,3ebXMykcMXOcLeJ9xZ17XH,Martin Garrix,453449
It Ain't Me (with Selena Gomez),3eR23VReFzcdmS7TYCrhCe,Kygo,453015
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3NdDpSvN911VPGivFlV5d0,ZAYN,447400
Believer,0CcQNd8CINkwQfe1RDtGV6,Imagine Dragons,441077
Paris,72jbDTw1piOOj770jWNeaG,The Chainsmokers,435166
rockstar,7wGoVu4Dady5GV0Sv4UIsx,Post Malone,430380
Solo Dance,6HUnnBwYZqcED1eQztxMBN,Martin Jensen,404691
Congratulations,3a1lNhkSLSkpJE4MSHpDu9,Post Malone,395207
Symphony (feat. Zara Larsson),1x5sYLZiu9r5E43kMlt9f8,Clean Bandit,393708
There for You,6jA8HL9i4QGzsj6fjoxp8Y,Martin Garrix,384752
New Rules,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,382532
Stay (with Alessia Cara),0dA2Mk56wEzDgegdC6R17g,Zedd,377061
Call On Me - Ryan Riback Extended Remix,78rIJddV4X0HkNAInEcYde,Starley,373735
Castle on the Hill,6PCUP3dWmTjcTtXY02oFdT,Ed Sheeran,363332
Attention,4iLqG9SeJSnt0cSPICSjxv,Charlie Puth,361060
There's Nothing Holdin' Me Back,79cuOz3SPQTuFrp8WgftAu,Shawn Mendes,351442
Unforgettable,3B54sVLJ402zGa6Xm4YGNe,French Montana,348787
Despacito (Featuring Daddy Yankee),4aWmUDTfIPGksMNLV2rQP2,Luis Fonsi,345605
Mask Off,3rOSwuTsUlJp0Pu0MkN8r8,Future,340714
1-800-273-8255,5tz69p7tJuGPeMGwNTxYuV,Logic,337787
Galway Girl,0afhq8XCExXpqazXczTSve,Ed Sheeran,334213
Silence,7vGuf3Y35N4wmASOKLUVVU,Marshmello,314948
Havana,0ofbQMrRDsUaVKq2mGLEAb,Camila Cabello,313240
Issues,1sXUWdKx03aP9Gmzft58rt,Julia Michaels,312316
Dusk Till Dawn - Radio Edit,1j4kHkkpqZRBwE0A4CN4Yv,ZAYN,301829
Mi Gente,2rb5MvYT7ZIxbKW5hfcHx8,J Balvin,296068
More Than You Know,3PEgB3fkiojxms35ntsTgs,Axwell /\ Ingrosso,294228
Passionfruit,7hDc8b7IXETo14hHIHdnhd,Drake,293862
No Promises (feat. Demi Lovato),1louJpMmzEicAn7lzDalPW,Cheat Codes,293857
Perfect,0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,293829
2U (feat. Justin Bieber),3A7qX2QjDlPnazUsRk5y0M,David Guetta,292675
OK,3bWAqKDWg6u1davspr5IkS,Robin Schulz,291357
I Like Me Better,1wjzFQodRWrPcQ0AnYnvQ9,Lauv,289968
Strip That Down,6EpRaXYhGOB3fj4V2uDkMJ,Liam Payne,284409
Swalla (feat. Nicki Minaj & Ty Dolla $ign),6kex4EBAj0WHXDKZMEJaaF,Jason Derulo,273281
Starboy,5aAx2yezTd8zXrkmtKl66Z,The Weeknd,269609
Say You Won't Let Go,5uCax9HTNlzGybIStD3vDh,James Arthur,269531
Pretty Girl - Cheat Codes X CADE Remix,1NDxZ7cFAo481dtYWdrUnR,Maggie Lindemann,268370
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",5bcTCxgc7xVfSaMV3RuVke,Calvin Harris,264013
Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK,Portugal. The Man,263729
I Feel It Coming,5GXAXm5YOmYT0kL5jHvYBt,The Weeknd,256354
Redbone,3kxfsdsCpFgN412fpnW85Y,Childish Gambino,251886
All Time Low,1CnPYaKxTVb4LWOtiGOm0m,Jon Bellion,250476
Slide (feat. Frank Ocean & Migos),7tr2za8SQg2CI8EDgrdtNl,Calvin Harris,248797
Sign of the Times,5Ohxk2dO5COHF1krpoPigN,Harry Styles,248351
