Track Name,spotify_id,Artist,Streams
Despacito (Featuring Daddy Yankee),4aWmUDTfIPGksMNLV2rQP2,Luis Fonsi,77545641
Me Rehúso,6De0lHrwBfPfrhorm9q1Xl,Danny Ocean,63059052
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,59746057
Felices los 4,0qYTZCo5Bwh1nsUFGZP3zn,Maluma,51194412
SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),7nKBxz47S9SD79N086fuhn,Enrique Iglesias,43862967
El Amante,3umS4y3uQDkqekNjVpiRUs,Nicky Jam,38635457
Lumbra,6VHdcVbiKLYYOcMbIqBcuK,Cali Y El Dandee,37890214
Mi Gente,2rb5MvYT7ZIxbKW5hfcHx8,J Balvin,37823747
Reggaetón Lento (Bailemos),3AEZUABDXNtecAOSC1qTfo,CNCO,36429408
Ahora Dice,22eADXu8DfOAUEDw4vU8qy,Chris Jedi,34872486
La Rompe Corazones,4okba5wu9mMLXx79DXLKi3,Daddy Yankee,34832137
Mayores,7JNh1cfm0eXjqFVOzKLyau,Becky G,34178893
Otra vez (feat. J Balvin),3QwBODjSEzelZyVjxPOHdq,Zion & Lennox,33779990
"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",5q2JbCNi4FcnglgPfxcV65,Anuel AA,33743093
Escápate Conmigo,2cnKEkpVUSV4wnjQiTWfH6,Wisin,33646920
Chantaje (feat. Maluma),6mICuAdrwEjh6Y6lroV2Kg,Shakira,32886802
Me Enamoré,4qknM1pQz53QOyfDVTjcM9,Shakira,32485031
Hey DJ,209gZgcfLq2aUuu51vOWBl,CNCO,32470544
Una Lady Como Tú,7MHN1aCFtLXjownGhvEQlF,Manuel Turizo,32437361
Me llamas (feat. Maluma) - Remix,5hEM0JchdVzQ5PwvSfITeX,Piso 21,32393104
Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version,2Vdub5mY4lad7w64bFPUez,Pitbull,30838402
Bonita,693iqPOQvhI7PobtR8CC8v,J Balvin,28620460
Swalla (feat. Nicki Minaj & Ty Dolla $ign),6kex4EBAj0WHXDKZMEJaaF,Jason Derulo,27622132
Rockabye (feat. Sean Paul & Anne-Marie),5knuzwU65gJK7IF5yJsuaW,Clean Bandit,27373911
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,Luis Fonsi,27055072
Kung Fu,0B6GRS3vGtzu6w5BQXqWMq,Dasoul,26642131
La isla del amor (feat. Maki),0Gw9QC3RqHmTdGqHIWLHb6,Demarco Flamenco,26016832
Sigo Extrañándote,6qDF4wWL49CAVbgT7yuHl8,J Balvin,25459592
It Ain't Me (with Selena Gomez),3eR23VReFzcdmS7TYCrhCe,Kygo,24580638
Mala Mujer,6puxHBNwu2Nmm7uD3Rd2MP,C. Tangana,23963469
Gyal You A Party Animal - Remix,1AkTW13ysu0AJrwuM6UY0I,Charly Black,23574278
Ando buscando (feat. Piso 21),7BwJtE8KSbCQKOCTIAY3jX,Carlos Baute,23473857
Something Just Like This,6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,23315556
Attention,4iLqG9SeJSnt0cSPICSjxv,Charlie Puth,22962663
Báilame - Remix,3VClLWqNn80Llv0PJOsKgr,Nacho,22655771
Alguien Robo,5i50gKdLAjjIr7UxRT5IVy,Sebastian Yatra,22282724
Te Quiero Pa´Mi,3BY2mafsbsoKGqS380Xnuz,Don Omar,22180948
Safari,6rQSrBHf7HlZjtcMZ4S4bO,J Balvin,21652927
Vente Pa' Ca (feat. Maluma),7DM4BPaS7uofFul3ywMe46,Ricky Martin,21339236
Traicionera,5J1c3M4EldCfNxXwrwt8mT,Sebastian Yatra,21138370
Vacaciones,3dQDid3IUNhZy1OehIfYfE,Wisin,20602681
Se Preparó,1m69ELEgE6k5ZWsap40ozt,Ozuna,20175159
Sirenas,4unOsvr9C2NqI9aJXrxpCy,Taburete,20065835
Perro Fiel (feat. Nicky Jam),70lnL3QaSOIIyMa2X9aVRL,Shakira,20027606
Loco Enamorado,4N1c5rmWOzRmB9SMacr5wB,Abraham Mateo,19738175
Tú Me Obligaste,2abUdU32h3kVukSQiohU6P,Antonio José,19192518
Báilame,7lRsNbdOGykkMAgsqs4R1C,Nacho,18387484
Deja vu,46HdsiK0uR26B2dY9QPzda,Prince Royce,18351968
Que Va,7ofxPmTNMj2GP07g1VZa0O,Alex Sensation,18183616
La Bicicleta,0sXvAOmXgjR2QUqLK1MltU,Carlos Vives,18131856
