Track Name,spotify_id,Artist,Streams
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,45225780
Θ. Macarena,2UZW9WOPXdxw9YMG1bebS8,Damso,29445701
Mwaka Moon,1vVZLmZq8gN8pPCEBLjPvD,Kalash,20616393
Ε. Signaler,03aduXwm6cTqO9bb4XFQ2b,Damso,20295618
Despacito (Featuring Daddy Yankee),4aWmUDTfIPGksMNLV2rQP2,Luis Fonsi,19775817
Mask Off,3rOSwuTsUlJp0Pu0MkN8r8,Future,18092799
Call On Me - Ryan Riback Extended Remix,78rIJddV4X0HkNAInEcYde,Starley,17866157
Bené,00X2yv2vrtritPt2CZnUTZ,PNL,17410088
Be Mine,2KklXplRtxMsBYo474Es0w,Ofenbach,17268010
Salé,0uBu60Wd7yzm2sFrj2hSr6,Niska,17019614
Unforgettable,3B54sVLJ402zGa6Xm4YGNe,French Montana,16715345
Γ. Mosaïque solitaire,1E3zyoTHtJzsu5CjwIFIhY,Damso,16625548
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,Luis Fonsi,16566828
Réseaux,2Pu2Kcm1cwFg4dDSdmFip4,Niska,16485291
Chocolat (feat. Awa Imani),4fwtP5khM1iEoa6BP1QQsX,Lartiste,16267442
It Ain't Me (with Selena Gomez),3eR23VReFzcdmS7TYCrhCe,Kygo,15976960
Réseaux,2nY6MRHWpW0AGXMoGDJOjX,Niska,15804678
Attention,4iLqG9SeJSnt0cSPICSjxv,Charlie Puth,15675269
Onizuka,4GCIYE1x1TWJCChPkpy9by,PNL,15630683
Sunset Lover,0hNduWmlWmEmuwEFcYvRu1,Petit Biscuit,15563680
Believer,0CcQNd8CINkwQfe1RDtGV6,Imagine Dragons,15523187
N. J Respect R,75UFzgBCaVwJJ4IVIaatpe,Damso,14941277
I Feel It Coming,5GXAXm5YOmYT0kL5jHvYBt,The Weeknd,14862234
Mobali,6xcXAVbDuVT1pCsa2rmDHY,Siboy,14586184
Ghetto,3VdDQkNCQKPAL4nZlFKWlN,Benash,14399077
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",5bcTCxgc7xVfSaMV3RuVke,Calvin Harris,14223206
Jusqu'au dernier gramme,2jBleFNl3YK8lyJc1OvxXt,PNL,13899719
Α. Nwaar Is The New Black,57U26FwUclMqyZ5ylnPpw1,Damso,13801580
Tuba Life,2r6C2IEw533mDs3sam5Zxx,Niska,13776143
De l'autre côté (feat. Nekfeu),3ldfGgw7IoLHbaqmspX3ME,Ninho,13594425
Something Just Like This,6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,13513158
Thunder,0tKcYR2II1VCQWT79i5NrW,Imagine Dragons,13474298
Havana,0ofbQMrRDsUaVKq2mGLEAb,Camila Cabello,13374001
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3NdDpSvN911VPGivFlV5d0,ZAYN,13100160
Tout l'monde s'en fout,7syABtsvHvD3nO7OG91Ani,Sofiane,13068400
Swalla (feat. Nicki Minaj & Ty Dolla $ign),6kex4EBAj0WHXDKZMEJaaF,Jason Derulo,13029251
Rockabye (feat. Sean Paul & Anne-Marie),5knuzwU65gJK7IF5yJsuaW,Clean Bandit,12874443
B. #QuedusaalVie,4HvYhaXDmmAW6ZmPcgPZca,Damso,12853573
Mauvaise graine,4kKJ5CjwCtksszPMntho4N,Nekfeu,12733503
Scared to Be Lonely,3ebXMykcMXOcLeJ9xZ17XH,Martin Garrix,12677274
Symphony (feat. Zara Larsson),1x5sYLZiu9r5E43kMlt9f8,Clean Bandit,12602174
Stay (with Alessia Cara),0dA2Mk56wEzDgegdC6R17g,Zedd,12484927
Wild Thoughts (feat. Rihanna & Bryson Tiller),1OAh8uOEOvTDqkKFsKksCi,DJ Khaled,12328392
rockstar,7wGoVu4Dady5GV0Sv4UIsx,Post Malone,12184347
Medellín,1gI6FedOWXQ7aSj4FfEiGK,Niska,11946714
Mamacita,35gJuqfvrdlCA2MmAtaD3J,Ninho,11852758
HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,11447194
Fume à fond,2fgk04HR0nlgNysfX7fKF0,Lorenzo,11246745
Je m'en vais,2Vd1vVQaBilW0O6nmU5BkH,Vianney,11246738
Afro Trap Pt. 7 (La puissance),6x8j5V85ZJHtvOSjSamcVc,MHD,11238125
