Track Name,spotify_id,Artist,Streams
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,1708397
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,Luis Fonsi,995792
HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,816674
New Rules,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,789100
Attention,4iLqG9SeJSnt0cSPICSjxv,Charlie Puth,756543
Havana,0ofbQMrRDsUaVKq2mGLEAb,Camila Cabello,721901
rockstar,7wGoVu4Dady5GV0Sv4UIsx,Post Malone,721555
It Ain't Me (with Selena Gomez),3eR23VReFzcdmS7TYCrhCe,Kygo,701687
Believer,0CcQNd8CINkwQfe1RDtGV6,Imagine Dragons,692174
Wild Thoughts (feat. Rihanna & Bryson Tiller),1OAh8uOEOvTDqkKFsKksCi,DJ Khaled,672831
Something Just Like This,6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,672445
Unforgettable,3B54sVLJ402zGa6Xm4YGNe,French Montana,671282
Swalla (feat. Nicki Minaj & Ty Dolla $ign),6kex4EBAj0WHXDKZMEJaaF,Jason Derulo,668408
There's Nothing Holdin' Me Back,79cuOz3SPQTuFrp8WgftAu,Shawn Mendes,639715
Mask Off,3rOSwuTsUlJp0Pu0MkN8r8,Future,617866
Despacito (Featuring Daddy Yankee),4aWmUDTfIPGksMNLV2rQP2,Luis Fonsi,609952
Mi Gente,2rb5MvYT7ZIxbKW5hfcHx8,J Balvin,608841
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3NdDpSvN911VPGivFlV5d0,ZAYN,604172
Starboy,5aAx2yezTd8zXrkmtKl66Z,The Weeknd,585494
Dusk Till Dawn - Radio Edit,1j4kHkkpqZRBwE0A4CN4Yv,ZAYN,577775
Thunder,0tKcYR2II1VCQWT79i5NrW,Imagine Dragons,560325
Symphony (feat. Zara Larsson),1x5sYLZiu9r5E43kMlt9f8,Clean Bandit,556012
2U (feat. Justin Bieber),3A7qX2QjDlPnazUsRk5y0M,David Guetta,547151
Stay (with Alessia Cara),0dA2Mk56wEzDgegdC6R17g,Zedd,543747
Scared to Be Lonely,3ebXMykcMXOcLeJ9xZ17XH,Martin Garrix,510149
Strip That Down,6EpRaXYhGOB3fj4V2uDkMJ,Liam Payne,508495
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",3DXncPQOG4VBw3QHh3S817,DJ Khaled,505602
1-800-273-8255,5tz69p7tJuGPeMGwNTxYuV,Logic,503559
That's What I Like,0KKkJNfGyhkQ5aFogxQAPU,Bruno Mars,499952
Paris,72jbDTw1piOOj770jWNeaG,The Chainsmokers,489198
Rockabye (feat. Sean Paul & Anne-Marie),5knuzwU65gJK7IF5yJsuaW,Clean Bandit,484248
Congratulations,3a1lNhkSLSkpJE4MSHpDu9,Post Malone,468566
Call On Me - Ryan Riback Extended Remix,78rIJddV4X0HkNAInEcYde,Starley,468117
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",5bcTCxgc7xVfSaMV3RuVke,Calvin Harris,432319
Silence,7vGuf3Y35N4wmASOKLUVVU,Marshmello,429936
XO TOUR Llif3,2eMwDehkIC1j68U6FA3Eiq,Lil Uzi Vert,425550
Mama,0NiXXAI876aGImAd6rTj8w,Jonas Blue,422188
Your Song,4c2W3VKsOFoIg2SFaO6DY5,Rita Ora,417608
Bad and Boujee (feat. Lil Uzi Vert),4Km5HrUvYTaSUfiSGPJeQR,Migos,412065
There for You,6jA8HL9i4QGzsj6fjoxp8Y,Martin Garrix,407397
Human,58zsLZPvfflaiIbNWoA22O,Rag'n'Bone Man,407387
Pretty Girl - Cheat Codes X CADE Remix,1NDxZ7cFAo481dtYWdrUnR,Maggie Lindemann,406006
Perfect,0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,404616
Solo Dance,6HUnnBwYZqcED1eQztxMBN,Martin Jensen,400745
Galway Girl,0afhq8XCExXpqazXczTSve,Ed Sheeran,398980
I Feel It Coming,5GXAXm5YOmYT0kL5jHvYBt,The Weeknd,392306
Issues,1sXUWdKx03aP9Gmzft58rt,Julia Michaels,390758
More Than You Know,3PEgB3fkiojxms35ntsTgs,Axwell /\ Ingrosso,390119
Look What You Made Me Do,6uFsE1JgZ20EXyU0JQZbUR,Taylor Swift,387883
DNA.,6HZILIRieu8S0iqY8kIKhj,Kendrick Lamar,385161
