Track Name,spotify_id,Artist,Streams
Me Rehúso,6De0lHrwBfPfrhorm9q1Xl,Danny Ocean,3381217
Despacito (Featuring Daddy Yankee),4aWmUDTfIPGksMNLV2rQP2,Luis Fonsi,2845994
Felices los 4,0qYTZCo5Bwh1nsUFGZP3zn,Maluma,2277988
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,2266829
Escápate Conmigo,2cnKEkpVUSV4wnjQiTWfH6,Wisin,2262316
Otra vez (feat. J Balvin),3QwBODjSEzelZyVjxPOHdq,Zion & Lennox,2219042
Ahora Dice,22eADXu8DfOAUEDw4vU8qy,Chris Jedi,2182015
"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",5q2JbCNi4FcnglgPfxcV65,Anuel AA,2083825
Sigo Extrañándote,6qDF4wWL49CAVbgT7yuHl8,J Balvin,2050705
El Amante,3umS4y3uQDkqekNjVpiRUs,Nicky Jam,2043984
Una Lady Como Tú,7MHN1aCFtLXjownGhvEQlF,Manuel Turizo,2019924
Reggaetón Lento (Bailemos),3AEZUABDXNtecAOSC1qTfo,CNCO,1654523
Mi Gente,2rb5MvYT7ZIxbKW5hfcHx8,J Balvin,1644124
La Rompe Corazones,4okba5wu9mMLXx79DXLKi3,Daddy Yankee,1609697
Me llamas (feat. Maluma) - Remix,5hEM0JchdVzQ5PwvSfITeX,Piso 21,1524336
Hey DJ,209gZgcfLq2aUuu51vOWBl,CNCO,1511831
Bonita,693iqPOQvhI7PobtR8CC8v,J Balvin,1477659
Te Quiero Pa´Mi,3BY2mafsbsoKGqS380Xnuz,Don Omar,1310539
"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",2FrnTVSHjgnEylKGdHRUK1,Ozuna,1305942
Chantaje (feat. Maluma),6mICuAdrwEjh6Y6lroV2Kg,Shakira,1276856
SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),7nKBxz47S9SD79N086fuhn,Enrique Iglesias,1272329
Si Tú La Ves (feat. Wisin),4yN6xPLopmTLvc27pO9LIE,Nicky Jam,1260564
Mayores,7JNh1cfm0eXjqFVOzKLyau,Becky G,1232768
Safari,6rQSrBHf7HlZjtcMZ4S4bO,J Balvin,1227894
Traicionera,5J1c3M4EldCfNxXwrwt8mT,Sebastian Yatra,1197063
Que Va,7ofxPmTNMj2GP07g1VZa0O,Alex Sensation,1155457
"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",6stYbAJgTszHAHZMPxWWCY,IAmChino,1117590
Vacaciones,3dQDid3IUNhZy1OehIfYfE,Wisin,1103451
Se Preparó,1m69ELEgE6k5ZWsap40ozt,Ozuna,1086735
Something Just Like This,6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,1064925
Let Me Love You,4pdPtRcBmOSQDlJ3Fk945m,DJ Snake,1053227
Besándote,13X0XdLMOdtbXVtAj2ox4h,Piso 21,1051666
Báilame,7lRsNbdOGykkMAgsqs4R1C,Nacho,1048967
Si Tu Novio Te Deja Sola,0RFFFGtPn6a58RHY3ccVYX,J Balvin,1025096
Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version,2Vdub5mY4lad7w64bFPUez,Pitbull,1016538
Alguien Robo,5i50gKdLAjjIr7UxRT5IVy,Sebastian Yatra,1009206
Báilame - Remix,3VClLWqNn80Llv0PJOsKgr,Nacho,998698
Chillax (feat. Ky-Mani Marley),1lxswgIpzV6HhENRvkflES,Farruko,982209
Vente Pa' Ca (feat. Maluma),7DM4BPaS7uofFul3ywMe46,Ricky Martin,981861
It Ain't Me (with Selena Gomez),3eR23VReFzcdmS7TYCrhCe,Kygo,960525
Closer,7BKLCZ1jbUBVqRi2FVlTVw,The Chainsmokers,956569
Dile Que Tu Me Quieres,20ZAJdsKB5IGbGj4ilRt2o,Ozuna,924658
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,Luis Fonsi,921317
Scared to Be Lonely,3ebXMykcMXOcLeJ9xZ17XH,Martin Garrix,918025
Qué Gano Olvidándote (feat. Zion & Lennox) - Versión Urbana,3H179O48ynsu9q8LOnFQZY,Reik,887729
Robarte un Beso,4z3GJkrtH97Bj6fRta983T,Carlos Vives,877865
I Feel It Coming,5GXAXm5YOmYT0kL5jHvYBt,The Weeknd,869401
Bella y Sensual,0ERbK7qVqveCaBWIiYCrl3,Romeo Santos,869304
Andas En Mi Cabeza,5mey7CLLuFToM2P68Qu1gF,Chino & Nacho,868578
Soy Peor,5MT96Zz0ymUJNm8obKZQr0,Bad Bunny,867701
