Track Name,spotify_id,Artist,Streams
Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,21105019
Something Just Like This,6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,16965002
Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb,Luis Fonsi,14984971
Attention,4iLqG9SeJSnt0cSPICSjxv,Charlie Puth,14639662
That's What I Like,0KKkJNfGyhkQ5aFogxQAPU,Bruno Mars,13890693
Perfect,0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,13580523
Symphony (feat. Zara Larsson),1x5sYLZiu9r5E43kMlt9f8,Clean Bandit,13027886
Akad,5CwcXgsF9jcyqwkl5uxKnD,Payung Teduh,12862479
New Rules,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,12486328
Havana,0ofbQMrRDsUaVKq2mGLEAb,Camila Cabello,11714590
Say You Won't Let Go,5uCax9HTNlzGybIStD3vDh,James Arthur,11566798
Stay (with Alessia Cara),0dA2Mk56wEzDgegdC6R17g,Zedd,11231436
Versace on the Floor,0kN8xEmgMW9mh7UmDYHlJP,Bruno Mars,10955645
There for You,6jA8HL9i4QGzsj6fjoxp8Y,Martin Garrix,10515467
Scared to Be Lonely,3ebXMykcMXOcLeJ9xZ17XH,Martin Garrix,10275606
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",3DXncPQOG4VBw3QHh3S817,DJ Khaled,10262740
Thunder,0tKcYR2II1VCQWT79i5NrW,Imagine Dragons,10237117
2U (feat. Justin Bieber),3A7qX2QjDlPnazUsRk5y0M,David Guetta,10234465
It Ain't Me (with Selena Gomez),3eR23VReFzcdmS7TYCrhCe,Kygo,10106140
Back to You (feat. Bebe Rexha & Digital Farm Animals),7F9vK8hNFMml4GtHsaXui6,Louis Tomlinson,9927455
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",5bcTCxgc7xVfSaMV3RuVke,Calvin Harris,9743986
Paris,72jbDTw1piOOj770jWNeaG,The Chainsmokers,9475523
Cukup Tau,23V8GLR7IHBzc4ipiT5Zl2,Rizky Febian,9443802
Strip That Down,6EpRaXYhGOB3fj4V2uDkMJ,Liam Payne,9442256
Mama,0NiXXAI876aGImAd6rTj8w,Jonas Blue,9160593
Dusk Till Dawn - Radio Edit,1j4kHkkpqZRBwE0A4CN4Yv,ZAYN,8825221
Rockabye (feat. Sean Paul & Anne-Marie),5knuzwU65gJK7IF5yJsuaW,Clean Bandit,8385854
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3NdDpSvN911VPGivFlV5d0,ZAYN,8372957
Closer,7BKLCZ1jbUBVqRi2FVlTVw,The Chainsmokers,8312924
No Promises (feat. Demi Lovato),1louJpMmzEicAn7lzDalPW,Cheat Codes,8261336
Good Life (with G-Eazy & Kehlani),1Eck97uRMlprKOOJN9oO1E,G-Eazy,8256031
Untuk Perempuan Yang Sedang Di Pelukan,0urpBLpcm6DOGzs86rcKd8,Payung Teduh,8083121
There's Nothing Holdin' Me Back,79cuOz3SPQTuFrp8WgftAu,Shawn Mendes,8011921
Pretty Girl - Cheat Codes X CADE Remix,1NDxZ7cFAo481dtYWdrUnR,Maggie Lindemann,7980247
Silence,7vGuf3Y35N4wmASOKLUVVU,Marshmello,7878494
Kasmaran,6rB2whUL8s2Kt3wIxsnCGf,Jaz,7695039
I Like Me Better,1wjzFQodRWrPcQ0AnYnvQ9,Lauv,7144357
Young Dumb & Broke,5Z3GHaZ6ec9bsiI5BenrbY,Khalid,6938190
Too Good At Goodbyes - Edit,0mel2N9Ws9r4yLQn5QE21Y,Sam Smith,6788285
By Your Side,1D3ODoXHBLpdxolZRHWV1j,Jonas Blue,6622747
More Than You Know,3PEgB3fkiojxms35ntsTgs,Axwell /\ Ingrosso,6512360
Asal Kau Bahagia,41dswHw9sCLChDgXyVS4kC,Armada,6089050
Wolves,7EmGUiUaOSGDnUUQUDrOXC,Selena Gomez,5855237
Bad Things (with Camila Cabello),1PSBzsahR2AKwLJgx8ehBj,Machine Gun Kelly,5849753
How Long,32DGGj6KlNuBr6WaqRxpxi,Charlie Puth,5819035
All Good,3s8ik4CUIZXXGDBgD0EAZ5,Dipha Barus,5809396
Aku Tenang,7qiVdTMCRynOSQDNsqNyyV,Fourtwnty,5799998
Look What You Made Me Do,6uFsE1JgZ20EXyU0JQZbUR,Taylor Swift,5779934
Lonely Together (feat. Rita Ora),2OALaHcDdKkjYEpAr0Qzab,Avicii,5716967
Without You (feat. Sandro Cavazza),6WbADFqMvR8N5u0BvtsWQE,Avicii,5689598
